phase,run_dir,run_name,best_valid_mrr20,best_valid_test_mrr20,preset_tag,z_loss_lambda,balance_loss_lambda,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.n_eff,macro_1.cv_usage,macro_1.top1_max_frac,macro_1.entropy_mean,macro_1.route_jitter_adjacent,macro_1.family_top_expert_mean_share,mid_1.route_consistency_knn_js,mid_1.route_consistency_knn_score,mid_1.route_consistency_group_knn_js,mid_1.route_consistency_group_knn_score,mid_1.route_consistency_intra_group_knn_mean_js,mid_1.route_consistency_intra_group_knn_mean_score,mid_1.n_eff,mid_1.cv_usage,mid_1.top1_max_frac,mid_1.entropy_mean,mid_1.route_jitter_adjacent,mid_1.family_top_expert_mean_share,micro_1.route_consistency_knn_js,micro_1.route_consistency_knn_score,micro_1.route_consistency_group_knn_js,micro_1.route_consistency_group_knn_score,micro_1.route_consistency_intra_group_knn_mean_js,micro_1.route_consistency_intra_group_knn_mean_score,micro_1.n_eff,micro_1.cv_usage,micro_1.top1_max_frac,micro_1.entropy_mean,micro_1.route_jitter_adjacent,micro_1.family_top_expert_mean_share
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b2_20260317_212943_850563_pid289851,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b2_20260317_212943_850563_pid289851,0.0793,0.1601,base_b2,,,0.0,1.0,0.0,1.0,0.0,1.0,10.847305786539964,0.3259839169387842,0.1701646877733703,1.4952786075020639,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.017978928523723,0.7047247297651663,0.32674000541426995,1.2715672928069914,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.4278187200802765,0.7845688035827162,0.3122042566900912,1.3424813582084918,0.35946900707746093,0.0
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b3_20260317_222450_181633_pid290098,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b3_20260317_222450_181633_pid290098,0.0798,0.1616,base_b3,,,0.06907493120934552,0.933256747401452,0.029316946974937867,0.9711086257436403,0.07699897846185509,0.9259316250656957,9.66600986811024,0.49138961681065657,0.18416572140672577,1.6075959781426816,0.0,0.15080049633979797,0.07454213436680575,0.9281683654487136,0.03169877807913334,0.9687983614351863,0.09629143617882595,0.9087352658054367,10.381573609286862,0.39483425334589917,0.26801754939402683,1.7012864667931302,0.0,0.14701992273330688,0.032132184805356276,0.9683785686860583,0.009376583166762712,0.9906672399119724,0.03912987092157298,0.9616984102243953,7.906305570982531,0.7195664924124773,0.3564782187499301,1.4697716734051396,0.5186299795865981,0.21464788913726807
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b4_20260317_213853_434816_pid289891,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b4_20260317_213853_434816_pid289891,0.0807,0.1617,base_b4,,,0.03689628539913522,0.9637760878179698,0.009961963360033346,0.9900874926344476,0.043737552027795126,0.9572595154206313,9.886909140919716,0.46230517440124824,0.25187318079410786,1.7305160523246124,0.0,0.14810195565223694,0.022101971992592062,0.9781404870310467,0.006450155818583712,0.9935706017825588,0.022174814885241416,0.9780864209260658,8.417793542435819,0.6523430749075688,0.30218114536419916,1.6334083825679524,0.0,0.1889769732952118,0.005365042009721306,0.9946493241250406,0.0016804630950900373,0.9983209480924234,0.004384605361844322,0.9956261606498458,7.9475046059239345,0.7140782518293557,0.3602838688314797,1.6465069883514891,0.6280458140302412,0.19681966304779053
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b5_20260318_015913_095313_pid307006,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b5_20260318_015913_095313_pid307006,0.0804,0.162,base_b5,,,0.02902643105053372,0.9713907892482562,0.01108225812439702,0.9889789238780176,0.03534191898715929,0.9653844880611501,8.533713124541421,0.6373280570115976,0.22481972942074024,1.7268175392772285,0.0,0.17756810784339905,0.03943107165991521,0.9613362150165052,0.017607246846766934,0.9825468549623046,0.050083582690858455,0.9513554523155352,8.452824637069355,0.6477992788613057,0.365848037998331,1.6148945454865795,0.0,0.20127195119857788,0.0064636226897689586,0.9935572215853461,0.0034879686258920705,0.9965181072704441,0.015003276684824771,0.9852528531714324,9.210872362337778,0.5502801030540343,0.3946465846471887,1.70178968050214,0.5770538693786748,0.17709015309810638
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b6_20260317_214951_258693_pid289983,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b6_20260317_214951_258693_pid289983,0.0813,0.1619,base_b6,,,0.06915296722857939,0.9331839226014773,0.02797339575042089,0.9724142368081696,0.07304691829533524,0.929688244986975,10.25993090520541,0.41182349885036057,0.15021019448863115,1.5561505860262055,0.0,0.13914962112903595,0.048893200685364194,0.9522828274210927,0.024437545893860105,0.9758586333939386,0.0774780662934568,0.9255974821859854,7.699627082081066,0.7473399637544134,0.35199690357453683,1.339213285390756,0.0,0.2350853532552719,0.04963956468436394,0.951572342974828,0.023739445530772868,0.9765401185050581,0.05512223103637276,0.9466402855724695,9.096978331446852,0.5649063269821905,0.23500840106764034,1.3392416580460638,0.4027331956141745,0.18064294755458832
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b7_20260317_225119_028794_pid290224,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b7_20260317_225119_028794_pid290224,0.0807,0.1617,base_b7,,,0.06609308188376903,0.9360437315226203,0.026052970699127022,0.9742834797647856,0.08951904625211371,0.9148000507027758,8.350297357616839,0.6611160438920246,0.3046198041466148,1.5761124641542328,0.0,0.15899360179901123,0.053052796498172856,0.9483299426604692,0.01646222092985736,0.9836725409226248,0.07486034582627045,0.9287068973920355,7.23225612815029,0.8119319137355114,0.27156143518425296,1.4834053482276097,0.0,0.21172893047332764,0.03807252338997492,0.9626431242168549,0.016666908479429712,0.9834712160056966,0.05151855748801611,0.9499536564113377,7.573707380669486,0.764479503898591,0.39553255609474525,1.212662693341315,0.4288721289833637,0.27453410625457764
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s1_20260317_175227_351911_pid289466,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s1_20260317_175227_351911_pid289466,0.0812,0.1619,cand_a_s1,,,0.03650929612088861,0.9641491310077875,0.014480658092049127,0.985623682390557,0.025088490756288193,0.9752286746611086,11.391625629978934,0.2310969279850912,0.2285135144205277,1.9735434668205372,0.0,0.11833455413579941,0.03617610491803978,0.9644704305405901,0.019154850676255754,0.9810274377181458,0.01838483297902191,0.9817932449505804,9.564234771662678,0.5046529627819304,0.31698537028460716,1.6471184249725093,0.0,0.19575941562652588,0.02963485429070807,0.9707999522744856,0.011583630429196412,0.9884832015166706,0.018857502961207792,0.9813254862507934,11.320285236881949,0.2450382487464473,0.18951063501332313,1.949374216245271,0.5103643853365767,0.12630599737167358
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s2_20260317_175227_263467_pid289467,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s2_20260317_175227_263467_pid289467,0.0811,0.162,cand_a_s2,,,0.03953803065305873,0.9612333969616305,0.01715017787188356,0.9829960492946535,0.026725634248012366,0.9736396789038685,10.865779606168324,0.32308601370197493,0.24682806560663315,1.9607282161630502,0.0,0.12035512924194336,0.033675450450301105,0.9668852558952492,0.015550425947797014,0.9845698576316981,0.018019423367359625,0.9821586115362255,10.104392594292886,0.4331303974416023,0.2813048838057396,1.7737784350550487,0.0,0.18523982167243958,0.030537318293099337,0.9699242354749136,0.011800574109584594,0.9882687795925132,0.020281274486811537,0.9799244507716811,10.974495436128697,0.3056866137478765,0.2705143780189589,1.9692809483837732,0.4624992360253762,0.15070049464702606
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s3_20260317_175227_353265_pid289468,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s3_20260317_175227_353265_pid289468,0.0812,0.1621,cand_a_s3,,,0.04641066839357864,0.9546498371644898,0.019428778974751267,0.9807587433445307,0.031189984859315463,0.9693006845343163,10.880696116923335,0.32073463288740417,0.24004009244530355,1.8179984047340183,0.0,0.1345345675945282,0.03597253485889313,0.9646667878287347,0.01885672821713666,0.9813199476300624,0.020808610060592096,0.9794199125995043,9.258366108701901,0.5441736565776569,0.2844729029212447,1.4571404801347192,0.0,0.18189233541488647,0.04164969765821229,0.959205733741244,0.019073571832388378,0.98110717773463,0.025216823199851423,0.9751170056653402,11.321588666275384,0.24478936257489173,0.15282336279859587,1.7293248771022245,0.5154885159334548,0.12294301390647888
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s1_20260317_175227_272959_pid289469,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s1_20260317_175227_272959_pid289469,0.0807,0.1619,cand_b_s1,,,0.02188111840342615,0.978356536725113,0.01065791620810093,0.9893986781431183,0.010705876555361581,0.9893534508842723,11.664076894177953,0.16970500216767184,0.2590862412661337,2.105229052843946,0.0,0.11157114803791046,0.018921230948491286,0.9812566518545045,0.006402629858129331,0.9936178233018029,0.010489406719482383,0.9895817089761896,10.155844995059327,0.42612839625735327,0.3180055798302783,1.9894431218146418,0.0,0.17322325706481934,0.02477721389376987,0.9755272217318937,0.010257476581110557,0.9897949519173047,0.014319616570942235,0.9857994897419002,9.836885235568879,0.46893335693677407,0.30958885107849127,1.745425784369987,0.4851593345475437,0.173722505569458
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s2_20260317_192506_267731_pid289626,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s2_20260317_192506_267731_pid289626,0.0807,0.1621,cand_b_s2,,,0.026183744138519784,0.9741560776937783,0.012692265128053245,0.9873879419737781,0.013228006676263017,0.9868641287449915,11.061271017759648,0.29131774856832643,0.2788416147053362,1.9718285314198252,0.0,0.1308656483888626,0.02086924460421986,0.9793470111039325,0.007154578417201666,0.9928709546498975,0.011580846913347114,0.9885032683769532,9.933835332827234,0.45606210565937194,0.3148867813507485,1.9457244956003463,0.0,0.17979203164577484,0.0289250481424814,0.9714892766637113,0.01201850352838795,0.9880534302180894,0.017714858790702892,0.9824597418724988,9.682311923029006,0.4892581555468394,0.3046019057335329,1.658777674547282,0.4911244484103216,0.18323853611946106
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s3_20260317_193715_847967_pid289652,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s3_20260317_193715_847967_pid289652,0.0809,0.1619,cand_b_s3,,,0.022877975088855546,0.977381741417078,0.011442354601726308,0.9886228601638682,0.011324701087395982,0.9887438411812383,11.59946044570614,0.18582469244901031,0.24785051245393955,2.0693115216349867,0.0,0.1103769987821579,0.020133354726593916,0.9800679678959546,0.007002039943011236,0.9930224172220289,0.011104485259441615,0.9889704720503716,9.899118150799856,0.4606836449896203,0.3534779972570682,1.958868240692266,0.0,0.18789824843406677,0.02652039288229646,0.973828184469498,0.010999787225356604,0.9890604892223392,0.01616801303195385,0.9839762489644097,10.45479013456778,0.3844466392860818,0.24762901959205041,1.807496480270076,0.5252307203363933,0.15470030903816223
P6,experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P6/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s1_20260317_194731_518128_pid289680,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s1_20260317_194731_518128_pid289680,0.0803,0.1586,cand_c_s1,,,0.012760735986529633,0.987320336988254,0.0066223854719602284,0.9933994941975317,0.006705001099540565,0.9933180581818746,11.397908819431972,0.2298358032303091,0.24205366391702296,2.310764692919164,0.0,0.12155860662460327,0.0018065679639799484,0.998195062897689,0.0014655260080074272,0.9985355473508235,0.00033190290193933455,0.9996681590108593,11.845193009223292,0.11432162140631995,0.29004378399300174,2.42737158692644,0.0,0.09519840776920319,0.005233530366755847,0.9947801406935932,0.003482193567350339,0.9965238622374691,0.004081314333468121,0.9959452414752846,10.345360525962038,0.3999257385620085,0.5900927808988136,2.0410303116617112,0.4133310515957902,0.13833847641944885
