scope_mode,n,moe_top_k_values,expert_scale_values,mean_scope_norm_n_eff
global_flat,15,"[0, 1]","[3]",5.169772967076629
group_dense,45,"[0, 1]","[3]",2.1598610848258812
group_top2_pergroup,4,"[2]","[3]",3.102836250471949
