run_phase,run_name,scope,n_active,top1_raw_mean,best_valid_mrr20
P6_BASE_B2,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b2_20260317_212943_850563_pid289851,global,12,0.2697029832925772,0.0793
P6_BASE_B3,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b3_20260317_222450_181633_pid290098,group,12,0.2695538298502276,0.0798
P6_BASE_B4,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b4_20260317_213853_434816_pid289891,global,12,0.3047793983299289,0.0807
P6_BASE_B5,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b5_20260318_015913_095313_pid307006,group,12,0.32843811735542,0.0804
P6_BASE_B6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b6_20260317_214951_258693_pid289983,global,12,0.24573849971026943,0.0813
P6_BASE_B7,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b7_20260317_225119_028794_pid290224,group,12,0.3239045984752043,0.0807
P6_CAND_A_S1,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s1_20260317_175227_351911_pid289466,global,12,0.24500317323948598,0.0812
P6_CAND_A_S2,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s2_20260317_175227_263467_pid289467,global,12,0.26621577581044387,0.0811
P6_CAND_A_S3,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s3_20260317_175227_353265_pid289468,global,12,0.22577878605504806,0.0812
P6_CAND_B_S1,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s1_20260317_175227_272959_pid289469,group,12,0.29556022405830107,0.0807
P6_CAND_B_S2,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s2_20260317_192506_267731_pid289626,group,12,0.29944343392987255,0.0807
P6_CAND_B_S3,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s3_20260317_193715_847967_pid289652,group,12,0.2829858431010194,0.0809
P6_CAND_C_S1,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s1_20260317_194731_518128_pid289680,group,12,0.3740634096029461,0.0803
P6_CAND_C_S2,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s2_20260317_195243_809834_pid289704,group,12,0.24826292172203615,0.0801
P6_CAND_C_S3,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s3_20260317_203219_288991_pid289792,group,12,0.21200521142127568,0.08
P6_FEAT_W10_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_exp_20260318_041026_723950_pid371841,group,3,0.40903392569622965,0.0792
P6_FEAT_W10_FOC,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_foc_20260318_040405_363307_pid367968,group,3,0.5324546704044519,0.0794
P6_FEAT_W10_FOC_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_foc_exp_20260318_041739_105038_pid376102,group,6,0.3294717507109026,0.0798
P6_FEAT_W10_MEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_mem_20260318_004244_033219_pid290718,group,3,0.4654847747894886,0.0795
P6_FEAT_W10_MEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_mem_20260318_033951_791226_pid354503,group,3,0.4654847747894886,0.0794
P6_FEAT_W10_MEM_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_mem_exp_20260318_041800_188691_pid376196,group,6,0.40087299509807206,0.0801
P6_FEAT_W10_MEM_FOC,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_mem_foc_20260318_042915_956793_pid380787,group,6,0.37310211566700296,0.0798
P6_FEAT_W10_TEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_20260318_004702_225640_pid290742,group,3,0.47682491101132746,0.0793
P6_FEAT_W10_TEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_20260318_033554_474044_pid353014,group,3,0.47682491101132746,0.0793
P6_FEAT_W10_TEM_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_exp_20260318_042257_498641_pid378128,group,6,0.3106016029520449,0.0801
P6_FEAT_W10_TEM_FOC,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_foc_20260318_005935_945321_pid291470,group,6,0.32675864959456363,0.0797
P6_FEAT_W10_TEM_FOC,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_foc_20260318_035625_657689_pid364926,group,6,0.32675864959456363,0.0797
P6_FEAT_W10_TEM_MEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_mem_20260318_011504_048455_pid293317,group,6,0.36250178051921805,0.0797
P6_FEAT_W10_TEM_MEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_mem_20260318_035701_932857_pid365013,group,6,0.36250178051921805,0.0798
P6_FEAT_W5_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_exp_20260317_235820_105038_pid290507,group,3,0.42668921866715,0.0794
P6_FEAT_W5_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_exp_20260318_025118_675592_pid335693,group,3,0.42668921866715,0.0794
P6_FEAT_W5_FOC,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_foc_20260318_000741_758427_pid290539,group,3,0.5426642235332809,0.0794
P6_FEAT_W5_FOC,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_foc_20260318_025118_742663_pid335692,group,3,0.5426642235332809,0.0793
P6_FEAT_W5_FOC_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_foc_exp_20260318_034139_837745_pid355377,group,6,0.33447734023615466,0.0798
P6_FEAT_W5_MEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_mem_20260318_025118_643183_pid335691,group,3,0.4470852061412438,0.0796
P6_FEAT_W5_MEM_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_mem_exp_20260318_033824_645514_pid354105,group,6,0.3470256193410252,0.08
P6_FEAT_W5_MEM_FOC,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_mem_foc_20260318_002415_727927_pid290617,group,6,0.34602927434612996,0.0797
P6_FEAT_W5_MEM_FOC,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_mem_foc_20260318_031022_794926_pid344157,group,6,0.34602927434612996,0.08
P6_FEAT_W5_TEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_20260318_001630_281603_pid290587,group,3,0.48622903555146874,0.0792
P6_FEAT_W5_TEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_20260318_025118_672622_pid335690,group,3,0.48622903555146874,0.0793
P6_FEAT_W5_TEM_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_exp_20260318_002603_847174_pid290639,group,6,0.2890660831784002,0.0799
P6_FEAT_W5_TEM_EXP,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_exp_20260318_031158_880852_pid344554,group,6,0.2890660831784002,0.08
P6_FEAT_W5_TEM_FOC,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_foc_20260318_031347_115143_pid345295,group,6,0.36742086104790733,0.08
P6_FEAT_W5_TEM_MEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_mem_20260318_004058_775554_pid290696,group,6,0.379566425858434,0.0799
P6_FEAT_W5_TEM_MEM,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_mem_20260318_031956_650589_pid347426,group,6,0.379566425858434,0.0799
P6_RXI_X1_FAC_GAT,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_fac_gat_20260317_221910_986953_pid290071,global,12,0.25158978925364367,0.0808
P6_RXI_X1_FAC_GRO,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_fac_gro_20260317_231359_320399_pid290306,global,12,0.23085000309493395,0.0808
P6_RXI_X1_STA_GAT,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_sta_gat_20260317_215921_810654_pid290011,global,12,0.2497231339226386,0.0812
P6_RXI_X1_STA_GRO,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_sta_gro_20260317_214608_947938_pid289957,global,12,0.2977483050575695,0.0802
P6_RXI_X2_FAC_GAT,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x2_fac_gat_20260317_224557_758408_pid290177,group,12,0.2671703578414812,0.0799
P6_RXI_X2_FAC_GRO,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x2_fac_gro_20260317_234413_229436_pid290395,group,12,0.24089772473881368,0.0796
P6_RXI_X2_STA_GAT,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x2_sta_gat_20260317_222559_324538_pid290119,group,12,0.21872084516306575,0.0798
P6_RXI_X2_STA_GRO,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x2_sta_gro_20260317_221410_557534_pid290042,group,12,0.2590265798891939,0.0792
P6_SPEC_A_M0,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m0_20260317_224806_746454_pid290200,global,12,0.22965752132334902,0.0812
P6_SPEC_A_M1,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m1_20260317_223930_151780_pid290149,global,12,0.2385217104021848,0.0811
P6_SPEC_A_M2,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m2_20260317_231729_627901_pid290332,global,12,0.2676655472700818,0.0811
P6_SPEC_A_M3,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m3_20260318_000741_770063_pid290538,global,12,0.5586049976843929,0.0813
P6_SPEC_A_M4,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m4_20260317_230947_086647_pid290281,global,12,0.2238547066487384,0.0809
P6_SPEC_B_M0,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m0_20260317_230637_854572_pid290257,group,12,0.30785717961281256,0.0807
P6_SPEC_B_M1,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m1_20260317_234737_524461_pid290437,group,12,0.2572792473120685,0.0806
P6_SPEC_B_M2,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m2_20260318_003655_647173_pid290670,group,12,0.3096708854717835,0.0805
P6_SPEC_B_M3,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m3_20260317_234455_352619_pid290415,group,12,0.6240043075514151,0.0803
P6_SPEC_B_M4,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m4_20260317_232918_327533_pid290362,group,12,0.31807568194818264,0.0803
