phase,run_phase,log_file,best_valid_mrr20,test_mrr20,balance_loss_lambda,z_loss_lambda,gate_entropy_lambda,group_prior_align_lambda,factored_group_balance_lambda,feature_group_bias_lambda,feature_group_prior_temperature,route_smoothness_lambda,route_consistency_lambda,route_sharpness_lambda,route_monopoly_lambda,route_prior_lambda,route_prior_bias_scale,route_consistency_pairs
P5,P5_M0_C0,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/001_baseline_C0_20260317_065521.log,0.0809,0.1615,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M0_C0,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/001_baseline_C0_20260317_145857.log,0.059,0.1179,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M0_C1,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/002_baseline_C1_20260317_065521.log,0.0807,0.1621,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M0_C2,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/003_baseline_C2_20260317_065521.log,0.08,0.1582,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M0_C3,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/004_baseline_C3_20260317_065521.log,0.0799,0.1579,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M0_C4,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/005_baseline_C4_20260317_072147.log,0.0813,0.1619,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M0_C5,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/006_baseline_C5_20260317_072226.log,0.0801,0.1583,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M0_C6,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/007_baseline_C6_20260317_072050.log,0.0805,0.1617,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M0_C7,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/008_baseline_C7_20260317_072747.log,0.081,0.1622,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M1_C0,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/009_smoothness_C0_20260317_074722.log,0.0806,0.1619,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M1_C1,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/010_smoothness_C1_20260317_075131.log,0.0806,0.1623,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M1_C2,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/011_smoothness_C2_20260317_075301.log,0.0804,0.1586,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M1_C3,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/012_smoothness_C3_20260317_074752.log,0.0799,0.1577,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M1_C4,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/013_smoothness_C4_20260317_081232.log,0.081,0.1618,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M1_C5,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/014_smoothness_C5_20260317_082406.log,0.0802,0.158,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M1_C6,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/015_smoothness_C6_20260317_082227.log,0.0808,0.1617,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M1_C7,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/016_smoothness_C7_20260317_082757.log,0.0813,0.1619,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M2_C0,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/017_consistency_C0_20260317_083427.log,0.0804,0.1616,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,4.0
P5,P5_M2_C1,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/018_consistency_C1_20260317_085420.log,0.0805,0.162,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,4.0
P5,P5_M2_C2,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/019_consistency_C2_20260317_085013.log,0.0802,0.1587,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,4.0
P5,P5_M2_C3,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/020_consistency_C3_20260317_084913.log,0.0802,0.1587,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,4.0
P5,P5_M2_C4,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/021_consistency_C4_20260317_090017.log,0.0813,0.1616,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,4.0
P5,P5_M2_C5,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/022_consistency_C5_20260317_092601.log,0.0804,0.1587,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,4.0
P5,P5_M2_C6,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/023_consistency_C6_20260317_092849.log,0.0807,0.162,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,4.0
