run_name,run_phase,best_valid_mrr20,expert_count,moe_top_k,active_cap,macro_n_eff,macro_n_eff_norm,macro_cv_usage,macro_top1_max_frac,macro_top1_x_cap,macro_knn_js,micro_n_eff,micro_n_eff_norm,micro_cv_usage,micro_top1_max_frac,micro_top1_x_cap,micro_knn_js
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b2_20260317_212943_850563_pid289851,P6_BASE_B2,0.0793,12.0,1.0,1.0,10.847305786539964,10.847305786539964,0.3259839169387842,0.1701646877733703,0.1701646877733703,0.0,7.4278187200802765,7.4278187200802765,0.7845688035827162,0.3122042566900912,0.3122042566900912,0.0
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b3_20260317_222450_181633_pid290098,P6_BASE_B3,0.0798,12.0,1.0,1.0,9.66600986811024,9.66600986811024,0.49138961681065657,0.18416572140672577,0.18416572140672577,0.06907493120934552,7.906305570982531,7.906305570982531,0.7195664924124773,0.3564782187499301,0.3564782187499301,0.032132184805356276
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b4_20260317_213853_434816_pid289891,P6_BASE_B4,0.0807,12.0,1.0,1.0,9.886909140919716,9.886909140919716,0.46230517440124824,0.25187318079410786,0.25187318079410786,0.03689628539913522,7.9475046059239345,7.9475046059239345,0.7140782518293557,0.3602838688314797,0.3602838688314797,0.005365042009721306
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b5_20260318_015913_095313_pid307006,P6_BASE_B5,0.0804,12.0,1.0,1.0,8.533713124541421,8.533713124541421,0.6373280570115976,0.22481972942074024,0.22481972942074024,0.02902643105053372,9.210872362337778,9.210872362337778,0.5502801030540343,0.3946465846471887,0.3946465846471887,0.0064636226897689586
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b6_20260317_214951_258693_pid289983,P6_BASE_B6,0.0813,12.0,1.0,1.0,10.25993090520541,10.25993090520541,0.41182349885036057,0.15021019448863115,0.15021019448863115,0.06915296722857939,9.096978331446852,9.096978331446852,0.5649063269821905,0.23500840106764034,0.23500840106764034,0.04963956468436394
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b7_20260317_225119_028794_pid290224,P6_BASE_B7,0.0807,12.0,1.0,1.0,8.350297357616839,8.350297357616839,0.6611160438920246,0.3046198041466148,0.3046198041466148,0.06609308188376903,7.573707380669486,7.573707380669486,0.764479503898591,0.39553255609474525,0.39553255609474525,0.03807252338997492
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s1_20260317_175227_351911_pid289466,P6_CAND_A_S1,0.0812,12.0,0.0,12.0,11.391625629978934,0.9493021358315779,0.2310969279850912,0.2285135144205277,2.7421621730463324,0.03650929612088861,11.320285236881949,0.9433571030734957,0.2450382487464473,0.18951063501332313,2.2741276201598777,0.02963485429070807
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s2_20260317_175227_263467_pid289467,P6_CAND_A_S2,0.0811,12.0,0.0,12.0,10.865779606168324,0.9054816338473604,0.32308601370197493,0.24682806560663315,2.9619367872795976,0.03953803065305873,10.974495436128697,0.9145412863440581,0.3056866137478765,0.2705143780189589,3.2461725362275065,0.030537318293099337
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s3_20260317_175227_353265_pid289468,P6_CAND_A_S3,0.0812,12.0,0.0,12.0,10.880696116923335,0.906724676410278,0.32073463288740417,0.24004009244530355,2.8804811093436427,0.04641066839357864,11.321588666275384,0.9434657221896153,0.24478936257489173,0.15282336279859587,1.8338803535831505,0.04164969765821229
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s1_20260317_175227_272959_pid289469,P6_CAND_B_S1,0.0807,12.0,0.0,12.0,11.664076894177953,0.9720064078481627,0.16970500216767184,0.2590862412661337,3.109034895193605,0.02188111840342615,9.836885235568879,0.8197404362974066,0.46893335693677407,0.30958885107849127,3.7150662129418954,0.02477721389376987
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s2_20260317_192506_267731_pid289626,P6_CAND_B_S2,0.0807,12.0,0.0,12.0,11.061271017759648,0.9217725848133039,0.29131774856832643,0.2788416147053362,3.3460993764640343,0.026183744138519784,9.682311923029006,0.8068593269190839,0.4892581555468394,0.3046019057335329,3.6552228688023947,0.0289250481424814
