group,metric,spearman,n
all,n_eff,0.167992,64
all,g_n_eff,0.674484,64
all,top1,-0.118952,64
all,g_top1,-0.608102,64
all,knn,0.184300,64
global_flat,n_eff,-0.449323,15
global_flat,g_n_eff,-0.003624,15
global_flat,top1,0.433016,15
global_flat,g_top1,0.269956,15
global_flat,knn,0.250026,15
group_scope,n_eff,0.665851,49
group_scope,g_n_eff,0.666335,49
group_scope,top1,-0.584923,49
group_scope,g_top1,-0.672018,49
group_scope,knn,-0.307997,49
