run_phase,combo,best_valid_mrr20,test_mrr20,route_smoothness_lambda,route_consistency_lambda,route_sharpness_lambda,route_monopoly_lambda,route_prior_lambda,macro_n_eff_scope_norm,macro_cv_usage,macro_top1_over_scope_uniform,macro_knn_js
P6_SPEC_A_M0,SPEC_A_M0,0.0812,0.1622,0.0,0.0,0.0,0.0,0.0,0.9197201591325084,0.295444602992809,2.8288531368087577,0.04291025381740604
P6_SPEC_A_M1,SPEC_A_M1,0.0811,0.1618,0.04,0.0,,,0.0,0.8560780709472775,0.41002154618437453,2.8475927753055594,0.05295623552760874
P6_SPEC_A_M2,SPEC_A_M2,0.0811,0.162,0.01,0.04,,,0.0,0.9678083133127308,0.18237961798188793,4.595319117518743,0.02043103746746444
P6_SPEC_A_M3,SPEC_A_M3,0.0813,0.1619,0.01,0.0,0.01,0.04,0.0,0.28885955507971334,1.5690409073519436,6.211680056916954,0.07158323287662087
P6_SPEC_A_M4,SPEC_A_M4,0.0809,0.1609,0.02,0.03,,,0.01,0.9435937099886856,0.24449548141671773,2.381974508185168,0.02797531577380333
P6_SPEC_B_M0,SPEC_B_M0,0.0807,0.162,0.0,0.0,0.0,0.0,0.0,3.894009318334616,0.16498117402252035,0.7454979897844807,0.022841137639141227
P6_SPEC_B_M1,SPEC_B_M1,0.0806,0.1619,0.04,0.0,,,0.0,3.8961738878313716,0.16324330721755667,0.6635456308855016,0.023531375432541322
P6_SPEC_B_M2,SPEC_B_M2,0.0805,0.1618,0.01,0.04,,,0.0,3.9228876191752193,0.1402029265221445,0.797824000429562,0.015963411187831376
P6_SPEC_B_M3,SPEC_B_M3,0.0803,0.1617,0.01,0.0,0.01,0.04,0.0,1.2404862374308299,1.4914897533807232,2.0913221781473803,0.040588665395828935
P6_SPEC_B_M4,SPEC_B_M4,0.0803,0.1607,0.02,0.03,,,0.01,3.684365177553475,0.2926922055276571,0.9210210149742599,0.022440864871206
