early_stopped,epochs_run,feature_ablation.feature_shuffle_delta_mrr,feature_ablation.feature_zero_delta_mrr,feature_ablation.route_change_under_feature_shuffle,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,0.0,0.0,0.0,0.0665,ok,0.1382,0.1211,1
True,11,0.0,0.0,0.0,0.0666,ok,0.1478,0.1354,2
True,30,0.0,0.0,0.0,0.0753,ok,0.1752,0.1558,3
True,28,0.0,0.0,0.0,0.075,ok,0.1744,0.1556,4
True,23,0.0,0.0,0.0,0.0752,ok,0.1745,0.1555,5
True,11,0.0,0.0,0.0,0.0664,ok,0.143,0.1267,6
True,11,0.0,0.0,0.0,0.0669,ok,0.152,0.1432,7
True,23,0.0,0.0,0.0,0.0752,ok,0.1746,0.1548,8
True,17,0.0,0.0,0.0,0.0747,ok,0.1735,0.1561,9
True,11,0.0,0.0,0.0,0.0667,ok,0.1494,0.1389,10
