model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
GRU4Rec,0.199100,0.166200,0.199100,0.166200,0.199100,0.166200,P14_FAD_D01_M02_GRU4REC_H3_S1,FAD_LASTFM0_03_GRU4REC_H3_S1,lastfm0.03,H3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p14_fad_d01_m02_gru4rec_h3_s1_20260327_184826_639856_pid315729.json,2026-03-27T19:36:37.618037Z
GRU4Rec,0.201000,0.166200,0.201000,0.166200,0.201000,0.165400,P14_FAD_D01_M02_GRU4REC_H2_S1,FAD_LASTFM0_03_GRU4REC_H2_S1,lastfm0.03,H2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p14_fad_d01_m02_gru4rec_h2_s1_20260327_184826_656250_pid315730.json,2026-03-27T19:38:00.764695Z
SASRec,0.243100,0.211800,0.243100,0.211800,0.243100,0.211800,P14_FAD_D01_M01_SASREC_H2_S1,FAD_LASTFM0_03_SASREC_H2_S1,lastfm0.03,H2,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/SASRec/lastfm0.03_SASRec_p14_fad_d01_m01_sasrec_h2_s1_20260327_184826_721812_pid315727.json,2026-03-27T20:27:43.875274Z
DuoRec,0.243100,0.211800,0.233300,0.200800,0.233300,0.200800,P14_FAD_D01_M04_DUOREC_H1_S1,FAD_LASTFM0_03_DUOREC_H1_S1,lastfm0.03,H1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/DuoRec/lastfm0.03_DuoRec_p14_fad_d01_m04_duorec_h1_s1_20260327_202748_846370_pid316045.json,2026-03-27T21:20:18.182920Z
TiSASRec,0.247200,0.211800,0.247200,0.207500,0.247200,0.207500,P14_FAD_D01_M03_TISASREC_H2_S1,FAD_LASTFM0_03_TISASREC_H2_S1,lastfm0.03,H2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/TiSASRec/lastfm0.03_TiSASRec_p14_fad_d01_m03_tisasrec_h2_s1_20260327_193805_553362_pid315919.json,2026-03-27T21:33:37.075079Z
SASRec,0.247200,0.211800,0.243100,0.211800,0.240100,0.210200,P14_FAD_D01_M01_SASREC_H3_S1,FAD_LASTFM0_03_SASREC_H3_S1,lastfm0.03,H3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/SASRec/lastfm0.03_SASRec_p14_fad_d01_m01_sasrec_h3_s1_20260327_184826_604120_pid315728.json,2026-03-27T21:41:55.668010Z
TiSASRec,0.247200,0.211800,0.247200,0.207500,0.240600,0.204000,P14_FAD_D01_M03_TISASREC_H3_S1,FAD_LASTFM0_03_TISASREC_H3_S1,lastfm0.03,H3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/TiSASRec/lastfm0.03_TiSASRec_p14_fad_d01_m03_tisasrec_h3_s1_20260327_193642_585373_pid315896.json,2026-03-27T22:05:07.181724Z
SIGMA,0.247200,0.211800,0.028100,0.035400,0.028100,0.035400,P14_FAD_D01_M05_SIGMA_H4_S1,FAD_LASTFM0_03_SIGMA_H4_S1,lastfm0.03,H4,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/SIGMA/lastfm0.03_SIGMA_p14_fad_d01_m05_sigma_h4_s1_20260327_213342_245810_pid316129.json,2026-03-27T22:31:36.870206Z
DuoRec,0.247200,0.211800,0.236100,0.202500,0.236100,0.202500,P14_FAD_D01_M04_DUOREC_H2_S1,FAD_LASTFM0_03_DUOREC_H2_S1,lastfm0.03,H2,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/DuoRec/lastfm0.03_DuoRec_p14_fad_d01_m04_duorec_h2_s1_20260327_212023_168239_pid316100.json,2026-03-27T22:41:04.535724Z
BSARec,0.247200,0.211800,0.235900,0.203800,0.235900,0.203800,P14_FAD_D01_M06_BSAREC_H4_S1,FAD_LASTFM0_03_BSAREC_H4_S1,lastfm0.03,H4,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/lastfm0.03/BSARec/lastfm0.03_BSARec_p14_fad_d01_m06_bsarec_h4_s1_20260327_220512_460942_pid316187.json,2026-03-27T22:56:26.555037Z
