stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
macro,macro@1,best_valid,session,final,final.expert,expert,6,GroupConditionalProductWrapper,,,,0.9195420060887373,0.9905126733009557,0.22658451295062051,0.0,0.9981348175846292,0.001866924034053468,5.943076039805734,0.09786792552864773,0.3554870941255171,1.6475980967624568
macro,macro@1,best_valid,session,final,final.group,group,2,GroupConditionalProductWrapper,,,,0.9638809370991203,0.9961981430825418,0.033525965004127745,0.0,0.9993006546986188,0.0006995899573791304,1.9923962861650837,0.06177628040313721,0.5167629825020639,0.6681113539457332
macro,macro@1,best_valid,session,final,final.intra.Focus,intra,3,GroupConditionalProductWrapper,,,,0.8316495455231774,0.9929860057774978,0.24583022907731444,0.0,0.9980003650579661,0.002001636881194822,2.9789580173324937,0.08404448564218027,0.49722015271820963,0.9136604105770113
macro,macro@1,best_valid,session,final,final.intra.Tempo,intra,3,GroupConditionalProductWrapper,,,,0.9552294983369192,0.9983887746769925,0.3757357925752908,0.0,0.9995494924763094,0.00045060903269318766,2.9951663240309774,0.04017309724768706,0.5838238617168605,1.049426865371213
