model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,candidate_id,candidate_source,source_stage,transfer_from_dataset,anchor_run_id,pass_name,batch_profile,result_path,timestamp_utc
TiSASRec,,,,,,,P24_I2_D07_MTISASREC_C01_I2_TISASREC_ANCHOR_S1,I2_RETAIL_ROCKET_TISASREC_I2_TISASREC_ANCHOR_S1,retail_rocket,I2_TISASREC_ANCHOR,1,4,run_fail,8,False,False,I2_TISASREC_ANCHOR,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_TISASREC_XFER_FOURSQUARE_FAD_H3_R1_C2_PASS3_MAXI_S1,pass2,pass2:bs256/512,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/TiSASRec/retail_rocket_TiSASRec_p24_i2_d07_mtisasrec_c01_i2_tisasrec_anchor_s1_20260412_154818_623082_pid208348.json,2026-04-12T15:48:24.435417Z
DuoRec,0.277100,0.277400,0.277100,0.277400,0.277100,0.277400,P24_I2_D10_MDUOREC_C02_I2_DUOREC_WIDTH_UP_S1,I2_RETAIL_ROCKET_DUOREC_I2_DUOREC_WIDTH_UP_S1,retail_rocket,I2_DUOREC_WIDTH_UP,1,6,run_complete,8,False,True,I2_DUOREC_WIDTH_UP,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_DUOREC_RR_DUO_STAGEH_REC1_LIGHT_S1,pass2,pass2:bs640/768,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/DuoRec/retail_rocket_DuoRec_p24_i2_d10_mduorec_c02_i2_duorec_width_up_s1_20260412_154818_600140_pid208350.json,2026-04-12T16:11:54.031803Z
DuoRec,0.277100,0.277400,0.277100,0.277400,0.275700,0.276700,P24_I2_D10_MDUOREC_C07_I2_DUOREC_FB01_S1,I2_RETAIL_ROCKET_DUOREC_I2_DUOREC_FB01_S1,retail_rocket,I2_DUOREC_FB01,1,7,run_complete,8,False,True,I2_DUOREC_FB01,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_DUOREC_RR_DUO_STAGEH_REC1_LIGHT_S1,pass2,pass2:bs640/768,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/DuoRec/retail_rocket_DuoRec_p24_i2_d10_mduorec_c07_i2_duorec_fb01_s1_20260412_154818_661222_pid208351.json,2026-04-12T16:14:15.249425Z
FEARec,0.282700,0.281400,0.282700,0.281400,0.282700,0.281400,P24_I2_D12_MFEAREC_C02_I2_FEAREC_WIDTH_UP_S1,I2_RETAIL_ROCKET_FEAREC_I2_FEAREC_WIDTH_UP_S1,retail_rocket,I2_FEAREC_WIDTH_UP,1,5,run_complete,8,False,True,I2_FEAREC_WIDTH_UP,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_FEAREC_RR_FEA_STAGEH_REC1_LIGHT_S1,pass2,pass2:bs640/768,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/FEARec/retail_rocket_FEARec_p24_i2_d12_mfearec_c02_i2_fearec_width_up_s1_20260412_154818_623139_pid208349.json,2026-04-12T16:20:58.104734Z
FEARec,0.282700,0.281400,0.282700,0.281400,0.278700,0.279500,P24_I2_D12_MFEAREC_C07_I2_FEAREC_FB01_S1,I2_RETAIL_ROCKET_FEAREC_I2_FEAREC_FB01_S1,retail_rocket,I2_FEAREC_FB01,1,6,run_complete,8,False,True,I2_FEAREC_FB01,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_FEAREC_RR_FEA_STAGEH_REC1_LIGHT_S1,pass2,pass2:bs640/768,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/FEARec/retail_rocket_FEARec_p24_i2_d12_mfearec_c07_i2_fearec_fb01_s1_20260412_161158_255289_pid210873.json,2026-04-12T16:44:42.027328Z
FEARec,0.282700,0.281400,0.282700,0.281400,0.280100,0.280000,P24_I2_D12_MFEAREC_C01_I2_FEAREC_ANCHOR_S1,I2_RETAIL_ROCKET_FEAREC_I2_FEAREC_ANCHOR_S1,retail_rocket,I2_FEAREC_ANCHOR,1,7,run_complete,8,False,True,I2_FEAREC_ANCHOR,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_FEAREC_RR_FEA_STAGEH_REC1_LIGHT_S1,pass2,pass2:bs640/768,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/FEARec/retail_rocket_FEARec_p24_i2_d12_mfearec_c01_i2_fearec_anchor_s1_20260412_162341_621409_pid212403.json,2026-04-12T17:01:06.175554Z
FEARec,0.282700,0.281400,0.282700,0.281400,0.278400,0.277400,P24_I2_D12_MFEAREC_C03_I2_FEAREC_WIDTH_DN_S1,I2_RETAIL_ROCKET_FEAREC_I2_FEAREC_WIDTH_DN_S1,retail_rocket,I2_FEAREC_WIDTH_DN,1,5,run_complete,8,False,True,I2_FEAREC_WIDTH_DN,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_FEAREC_RR_FEA_STAGEH_REC1_LIGHT_S1,pass2,pass2:bs640/768,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/FEARec/retail_rocket_FEARec_p24_i2_d12_mfearec_c03_i2_fearec_width_dn_s1_20260412_162402_790740_pid212452.json,2026-04-12T17:05:40.533572Z
FEARec,0.282700,0.281400,0.282700,0.281400,0.276400,0.277100,P24_I2_D12_MFEAREC_C04_I2_FEAREC_DEPTH_UP_S1,I2_RETAIL_ROCKET_FEAREC_I2_FEAREC_DEPTH_UP_S1,retail_rocket,I2_FEAREC_DEPTH_UP,1,4,run_complete,8,False,True,I2_FEAREC_DEPTH_UP,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_FEAREC_RR_FEA_STAGEH_REC1_LIGHT_S1,pass2,pass2:bs640/768,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/FEARec/retail_rocket_FEARec_p24_i2_d12_mfearec_c04_i2_fearec_depth_up_s1_20260412_162808_141738_pid212879.json,2026-04-12T17:14:04.155802Z
FEARec,0.282700,0.281400,0.282700,0.281400,0.218700,0.220600,P24_I2_D12_MFEAREC_C05_I2_FEAREC_SHORT_HI_S1,I2_RETAIL_ROCKET_FEAREC_I2_FEAREC_SHORT_HI_S1,retail_rocket,I2_FEAREC_SHORT_HI,1,6,run_complete,8,False,True,I2_FEAREC_SHORT_HI,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_FEAREC_RR_FEA_STAGEH_REC1_LIGHT_S1,pass2,pass2:bs640/768,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/FEARec/retail_rocket_FEARec_p24_i2_d12_mfearec_c05_i2_fearec_short_hi_s1_20260412_164446_227935_pid214570.json,2026-04-12T17:16:53.402256Z
FEARec,0.282700,0.281400,0.282700,0.281400,0.275900,0.276500,P24_I2_D12_MFEAREC_C06_I2_FEAREC_REG_RELIEF_S1,I2_RETAIL_ROCKET_FEAREC_I2_FEAREC_REG_RELIEF_S1,retail_rocket,I2_FEAREC_REG_RELIEF,1,7,run_complete,8,False,True,I2_FEAREC_REG_RELIEF,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_RETAIL_ROCKET_FEAREC_RR_FEA_STAGEH_REC1_LIGHT_S1,pass2,pass2:bs640/768,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/retail_rocket/FEARec/retail_rocket_FEARec_p24_i2_d12_mfearec_c06_i2_fearec_reg_relief_s1_20260412_170110_435739_pid215804.json,2026-04-12T17:38:02.859007Z
