early_stopped,epochs_run,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.n_eff,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.stage_delta_norm,micro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1841,0.1597,1
True,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0786,ok,0.1867,0.1608,2
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1859,0.1608,3
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0788,ok,0.185,0.1599,4
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0785,ok,0.1857,0.1612,5
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789,ok,0.1865,0.1609,6
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1877,0.1605,7
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1851,0.1603,8
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1864,0.1608,9
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0788,ok,0.186,0.1603,10
True,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0786,ok,0.1876,0.161,11
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789,ok,0.1871,0.1598,12
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0788,ok,0.1866,0.161,13
True,27,0.0,0.43124672099987016,0.0,2.0064295635569853,0.4376181960105896,-0.03550354018807411,10.118266917041849,0.0,0.0,2.8579205445552716,0.22020417614723234,0.0,0.9981757402963716,0.0,1.9629410822694964,0.7922252416610718,0.15951651334762573,6.010955691851573,0.19429891576721386,0.07567534155065195,3.980692554371473,0.903464909042502,0.0,0.7179972911477897,0.0,1.8985533808634083,0.5257242918014526,4.01240868086461e-05,7.91807257801516,0.0,0.0,4.262410455589763,0.5607237223329686,0.0795,ok,0.1845,0.1602,14
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789,ok,0.1841,0.1602,15
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1866,0.1611,16
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1839,0.1596,17
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1856,0.1599,18
True,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0786,ok,0.1871,0.161,19
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0788,ok,0.1857,0.1608,20
