model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,candidate_id,candidate_source,source_stage,transfer_from_dataset,result_path,timestamp_utc
FAME,0.080800,0.077300,0.080800,0.077300,0.080800,0.077300,P22_SG_D04_M09_C02_FAME_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,SG_MOVIELENS1M_FAME_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2,1,7,run_complete,7,False,True,XFER_foursquare_FAD_H1_R1_C2,final_transfer,Final_all_datasets,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FAME/movielens1m_FAME_p22_sg_d04_m09_c02_fame_xfer_foursquare_fad_h1_r1_c2_s1_20260407_155247_690211_pid336888.json,2026-04-07T17:07:39.608006Z
FAME,0.080800,0.077300,0.080800,0.077300,0.078200,0.073000,P22_SG_D04_M09_C01_FAME_XFER_LASTFM0_03_FAD_H3_R1_C1_S3,SG_MOVIELENS1M_FAME_XFER_LASTFM0_03_FAD_H3_R1_C1_S3,movielens1m,XFER_LASTFM0_03_FAD_H3_R1_C1,3,6,run_complete,7,False,True,XFER_lastfm0.03_FAD_H3_R1_C1,final_transfer,Final_all_datasets,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FAME/movielens1m_FAME_p22_sg_d04_m09_c01_fame_xfer_lastfm0_03_fad_h3_r1_c1_s3_20260407_155247_669101_pid336887.json,2026-04-07T17:57:14.815569Z
FAME,0.080800,0.077300,0.080800,0.077300,0.080300,0.074600,P22_SG_D04_M09_C01_FAME_XFER_LASTFM0_03_FAD_H3_R1_C1_S1,SG_MOVIELENS1M_FAME_XFER_LASTFM0_03_FAD_H3_R1_C1_S1,movielens1m,XFER_LASTFM0_03_FAD_H3_R1_C1,1,4,run_complete,7,False,True,XFER_lastfm0.03_FAD_H3_R1_C1,final_transfer,Final_all_datasets,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FAME/movielens1m_FAME_p22_sg_d04_m09_c01_fame_xfer_lastfm0_03_fad_h3_r1_c1_s1_20260407_155247_661579_pid336885.json,2026-04-07T17:58:50.992030Z
FAME,0.083100,0.077300,0.083100,0.077300,0.083100,0.076600,P22_SG_D04_M09_C01_FAME_XFER_LASTFM0_03_FAD_H3_R1_C1_S2,SG_MOVIELENS1M_FAME_XFER_LASTFM0_03_FAD_H3_R1_C1_S2,movielens1m,XFER_LASTFM0_03_FAD_H3_R1_C1,2,5,run_complete,7,False,True,XFER_lastfm0.03_FAD_H3_R1_C1,final_transfer,Final_all_datasets,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FAME/movielens1m_FAME_p22_sg_d04_m09_c01_fame_xfer_lastfm0_03_fad_h3_r1_c1_s2_20260407_155247_698787_pid336886.json,2026-04-07T18:01:49.250901Z
FAME,0.083100,0.077300,0.083100,0.077300,0.080500,0.071700,P22_SG_D04_M09_C02_FAME_XFER_FOURSQUARE_FAD_H1_R1_C2_S2,SG_MOVIELENS1M_FAME_XFER_FOURSQUARE_FAD_H1_R1_C2_S2,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2,2,7,run_complete,7,False,True,XFER_foursquare_FAD_H1_R1_C2,final_transfer,Final_all_datasets,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FAME/movielens1m_FAME_p22_sg_d04_m09_c02_fame_xfer_foursquare_fad_h1_r1_c2_s2_20260407_170744_644204_pid337024.json,2026-04-07T18:32:17.249178Z
FAME,0.083100,0.077900,0.083100,0.077900,0.082200,0.077900,P22_SG_D04_M09_C02_FAME_XFER_FOURSQUARE_FAD_H1_R1_C2_S3,SG_MOVIELENS1M_FAME_XFER_FOURSQUARE_FAD_H1_R1_C2_S3,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2,3,6,run_complete,7,False,True,XFER_foursquare_FAD_H1_R1_C2,final_transfer,Final_all_datasets,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FAME/movielens1m_FAME_p22_sg_d04_m09_c02_fame_xfer_foursquare_fad_h1_r1_c2_s3_20260407_175719_769971_pid337070.json,2026-04-07T19:19:10.204546Z
FEARec,0.083100,0.077900,0.064500,0.059500,0.064500,0.059500,P22_SG_D04_M07_C01_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S2,SG_MOVIELENS1M_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S2,movielens1m,XFER_LASTFM0_03_FAD_H2_R1_C1,2,5,run_complete,6,False,True,XFER_lastfm0.03_FAD_H2_R1_C1,final_transfer,Final_all_datasets,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FEARec/movielens1m_FEARec_p22_sg_d04_m07_c01_fearec_xfer_lastfm0_03_fad_h2_r1_c1_s2_20260407_180154_256303_pid337114.json,2026-04-07T19:26:05.698590Z
FEARec,0.083100,0.077900,0.064500,0.060200,0.063500,0.060200,P22_SG_D04_M07_C01_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S1,SG_MOVIELENS1M_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S1,movielens1m,XFER_LASTFM0_03_FAD_H2_R1_C1,1,4,run_complete,6,False,True,XFER_lastfm0.03_FAD_H2_R1_C1,final_transfer,Final_all_datasets,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FEARec/movielens1m_FEARec_p22_sg_d04_m07_c01_fearec_xfer_lastfm0_03_fad_h2_r1_c1_s1_20260407_175856_014601_pid337093.json,2026-04-07T19:26:30.804225Z
FEARec,0.083100,0.077900,0.064500,0.060200,0.057400,0.050100,P22_SG_D04_M07_C01_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S3,SG_MOVIELENS1M_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S3,movielens1m,XFER_LASTFM0_03_FAD_H2_R1_C1,3,7,run_complete,6,False,True,XFER_lastfm0.03_FAD_H2_R1_C1,final_transfer,Final_all_datasets,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FEARec/movielens1m_FEARec_p22_sg_d04_m07_c01_fearec_xfer_lastfm0_03_fad_h2_r1_c1_s3_20260407_183222_436069_pid337154.json,2026-04-07T19:38:55.629913Z
FEARec,0.083100,0.077900,0.067500,0.063700,0.067500,0.063700,P22_SG_D04_M07_C02_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S3,SG_MOVIELENS1M_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S3,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2,3,4,run_complete,6,False,True,XFER_foursquare_FAD_H1_R1_C2,final_transfer,Final_all_datasets,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FEARec/movielens1m_FEARec_p22_sg_d04_m07_c02_fearec_xfer_foursquare_fad_h1_r1_c2_s3_20260407_192636_730882_pid337243.json,2026-04-07T20:10:44.639224Z
FEARec,0.083100,0.077900,0.067500,0.064100,0.066700,0.064100,P22_SG_D04_M07_C02_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S2,SG_MOVIELENS1M_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S2,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2,2,5,run_complete,6,False,True,XFER_foursquare_FAD_H1_R1_C2,final_transfer,Final_all_datasets,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FEARec/movielens1m_FEARec_p22_sg_d04_m07_c02_fearec_xfer_foursquare_fad_h1_r1_c2_s2_20260407_192610_936745_pid337222.json,2026-04-07T20:15:13.978242Z
FEARec,0.083100,0.077900,0.067900,0.064100,0.067900,0.062300,P22_SG_D04_M07_C02_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,SG_MOVIELENS1M_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2,1,6,run_complete,6,False,True,XFER_foursquare_FAD_H1_R1_C2,final_transfer,Final_all_datasets,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageg_cross6x9_anchor2_core5/P22/movielens1m/FEARec/movielens1m_FEARec_p22_sg_d04_m07_c02_fearec_xfer_foursquare_fad_h1_r1_c2_s1_20260407_191915_872443_pid337200.json,2026-04-07T20:19:12.296052Z
