stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
micro,micro@1,best_valid,token,primitive,primitive.d_cond.Exposure,intra,3,ScalarGroupConditionalProductWrapper,feature,1.0,,0.9892964606219178,0.9843719975852481,0.7796312226502599,0.0,0.9998151290189518,0.0001848880717944472,2.953115992755744,0.12600068745015003,0.8530874817668399,1.0868532487751057
micro,micro@1,best_valid,token,primitive,primitive.d_cond.Focus,intra,3,ScalarGroupConditionalProductWrapper,feature,1.0,,0.3062602084464122,0.5496136652567949,0.5580843026517559,0.0,0.9951857644332284,0.004825861326589963,1.6488409957703847,0.9052401511299565,0.7053895351011706,0.3364612285292853
micro,micro@1,best_valid,token,primitive,primitive.d_cond.Memory,intra,3,ScalarGroupConditionalProductWrapper,feature,1.0,,0.3628970230182812,0.4461423714333003,0.97178067846056,0.0,0.9984958676831733,0.0015052646594444115,1.338427114299901,1.1141979064286378,0.9811871189737068,0.39868312900895764
micro,micro@1,best_valid,token,primitive,primitive.d_cond.Tempo,intra,3,ScalarGroupConditionalProductWrapper,feature,1.0,,0.8531900918265984,0.790337961346249,0.9571380483973518,0.0,0.9985222845924946,0.0014788083057125556,2.371013884038747,0.5150547917170885,0.9714253655982347,0.9373251194505741
micro,micro@1,best_valid,token,primitive,primitive.e_scalar,group,4,ScalarGroupConditionalProductWrapper,feature,1.0,,0.8840640239063318,0.777051339102932,0.7497600079789555,0.0,0.9996319995929835,0.00036806813578293577,3.108205356411728,0.5356455445289612,0.8123200059842166,1.2255729712103078
micro,micro@1,best_valid,token,wrapper,wrapper.group,group,4,ScalarGroupConditionalProductWrapper,,,,0.8840640239063318,0.777051339102932,0.7497600079789555,0.0,0.9996319995929835,0.00036806813578293577,3.108205356411728,0.5356455445289612,0.8123200059842166,1.2255729712103078
micro,micro@1,best_valid,token,wrapper,wrapper.intra.Exposure,intra,3,ScalarGroupConditionalProductWrapper,,,,0.9892964606219178,0.9843719975852481,0.7796312226502599,0.0,0.9998151290189518,0.0001848880717944472,2.953115992755744,0.12600068745015003,0.8530874817668399,1.0868532487751057
micro,micro@1,best_valid,token,wrapper,wrapper.intra.Focus,intra,3,ScalarGroupConditionalProductWrapper,,,,0.3062602084464122,0.5496136652567949,0.5580843026517559,0.0,0.9951857644332284,0.004825861326589963,1.6488409957703847,0.9052401511299565,0.7053895351011706,0.3364612285292853
micro,micro@1,best_valid,token,wrapper,wrapper.intra.Memory,intra,3,ScalarGroupConditionalProductWrapper,,,,0.3628970230182812,0.4461423714333003,0.97178067846056,0.0,0.9984958676831733,0.0015052646594444115,1.338427114299901,1.1141979064286378,0.9811871189737068,0.39868312900895764
micro,micro@1,best_valid,token,wrapper,wrapper.intra.Tempo,intra,3,ScalarGroupConditionalProductWrapper,,,,0.8531900918265984,0.790337961346249,0.9571380483973518,0.0,0.9985222845924946,0.0014788083057125556,2.371013884038747,0.5150547917170885,0.9714253655982347,0.9373251194505741
