dataset,model,combo_id,combo_kind,priority,est_runtime_sec,runtime_class,max_evals,epochs,patience,seed,run_phase,space_yaml,base_params_json,search_json
beauty,bsarec,K5,shock,critical,60.0,very_fast,16,100,7,2026041665,BASELINE2_ADDTUNE2_BEAUTY_BSAREC_K5,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_bsarec_K5.yaml,"{""bsarec_alpha"": 0.7, ""bsarec_c"": 2, ""dropout"": 0.2, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 21, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0003}","{""MAX_ITEM_LIST_LENGTH"": [21, 25], ""bsarec_alpha"": [0.7, 0.78], ""learning_rate"": [0.00020813, 0.00028619, 0.00037464, 0.0004579, 0.00052034, 0.00059839, 0.00070245, 0.00085856, 0.00104067], ""weight_decay"": [0.00024, 0.00042]}"
beauty,bsarec,K6,high_reg,critical,60.0,very_fast,16,100,7,2026041666,BASELINE2_ADDTUNE2_BEAUTY_BSAREC_K6,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_bsarec_K6.yaml,"{""bsarec_alpha"": 0.34, ""bsarec_c"": 5, ""dropout"": 0.195, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 22, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.00048}","{""MAX_ITEM_LIST_LENGTH"": [22, 26], ""bsarec_alpha"": [0.34, 0.42], ""learning_rate"": [0.00020813, 0.00028619, 0.00037464, 0.0004579, 0.00052034, 0.00059839, 0.00070245, 0.00085856, 0.00104067], ""weight_decay"": [0.000384, 0.000672]}"
beauty,fame,K1,test_best,critical,70.8,very_fast,16,100,7,2026041641,BASELINE2_ADDTUNE2_BEAUTY_FAME_K1,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fame_K1.yaml,"{""dropout"": 0.1, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 20, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}","{""MAX_ITEM_LIST_LENGTH"": [20, 24], ""learning_rate"": [0.00014432, 0.00018677, 0.0002445, 0.00029884, 0.00033959, 0.00039053, 0.00045844, 0.00056032, 0.00067918], ""num_experts"": [2, 3], ""weight_decay"": [8e-05, 0.00014]}"
beauty,fame,K2,low_reg,critical,70.8,very_fast,16,100,7,2026041642,BASELINE2_ADDTUNE2_BEAUTY_FAME_K2,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fame_K2.yaml,"{""dropout"": 0.07, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 26, ""num_experts"": 3, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 5e-05}","{""MAX_ITEM_LIST_LENGTH"": [26, 30], ""learning_rate"": [0.00014432, 0.00018677, 0.0002445, 0.00029884, 0.00033959, 0.00039053, 0.00045844, 0.00056032, 0.00067918], ""num_experts"": [3, 4], ""weight_decay"": [4e-05, 7e-05]}"
beauty,fame,K3,aggressive,critical,70.8,very_fast,16,100,7,2026041643,BASELINE2_ADDTUNE2_BEAUTY_FAME_K3,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fame_K3.yaml,"{""dropout"": 0.095, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 25, ""num_experts"": 3, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 7.5e-05}","{""MAX_ITEM_LIST_LENGTH"": [25, 29], ""learning_rate"": [0.00014432, 0.00018677, 0.0002445, 0.00029884, 0.00033959, 0.00039053, 0.00045844, 0.00056032, 0.00067918], ""num_experts"": [3, 4], ""weight_decay"": [6e-05, 0.000105]}"
beauty,fame,K4,conservative,critical,70.8,very_fast,16,100,7,2026041644,BASELINE2_ADDTUNE2_BEAUTY_FAME_K4,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fame_K4.yaml,"{""dropout"": 0.11, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 19, ""n_heads"": 4, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.00018}","{""MAX_ITEM_LIST_LENGTH"": [15, 19], ""learning_rate"": [0.00014432, 0.00018677, 0.0002445, 0.00029884, 0.00033959, 0.00039053, 0.00045844, 0.00056032, 0.00067918], ""weight_decay"": [0.000144, 0.000252]}"
beauty,fame,K5,shock,critical,70.8,very_fast,16,100,7,2026041645,BASELINE2_ADDTUNE2_BEAUTY_FAME_K5,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fame_K5.yaml,"{""dropout"": 0.15, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 16, ""num_experts"": 4, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.00015}","{""MAX_ITEM_LIST_LENGTH"": [16, 20], ""learning_rate"": [0.00014432, 0.00018677, 0.0002445, 0.00029884, 0.00033959, 0.00039053, 0.00045844, 0.00056032, 0.00067918], ""num_experts"": [4, 5], ""weight_decay"": [0.00012, 0.00021]}"
beauty,fame,K6,high_reg,critical,70.8,very_fast,16,100,7,2026041646,BASELINE2_ADDTUNE2_BEAUTY_FAME_K6,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fame_K6.yaml,"{""dropout"": 0.125, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 17, ""n_heads"": 4, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.00024}","{""MAX_ITEM_LIST_LENGTH"": [17, 21], ""learning_rate"": [0.00014432, 0.00018677, 0.0002445, 0.00029884, 0.00033959, 0.00039053, 0.00045844, 0.00056032, 0.00067918], ""num_experts"": [2, 3], ""weight_decay"": [0.000192, 0.000336]}"
beauty,fame,K7,alt_shock,critical,70.8,very_fast,16,100,7,2026041647,BASELINE2_ADDTUNE2_BEAUTY_FAME_K7,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fame_K7.yaml,"{""dropout"": 0.13, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 16, ""n_heads"": 4, ""num_experts"": 4, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.00015}","{""MAX_ITEM_LIST_LENGTH"": [16, 20], ""learning_rate"": [0.00014432, 0.00018677, 0.0002445, 0.00029884, 0.00033959, 0.00039053, 0.00045844, 0.00056032, 0.00067918], ""num_experts"": [4, 5], ""weight_decay"": [0.00012, 0.00021]}"
beauty,fearec,K1,test_best,critical,239.7,fast,14,100,7,2026041621,BASELINE2_ADDTUNE2_BEAUTY_FEAREC_K1,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fearec_K1.yaml,"{""contrast"": ""un"", ""dropout"": 0.12, ""embedding_size"": 128, ""global_ratio"": 0.85, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 22, ""n_heads"": 2, ""n_layers"": 2, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.00015}","{""MAX_ITEM_LIST_LENGTH"": [22, 26], ""learning_rate"": [0.0001257, 0.00016267, 0.00021295, 0.00026028, 0.00029577, 0.00034014, 0.00039929, 0.00048802, 0.00059154], ""tau"": [0.2, 0.23], ""weight_decay"": [0.00012, 0.00021]}"
