question,dataset_scope,dataset,model_name,model,status,error,benchmark_epochs,build_sec,train_sec,infer_sec,total_params,active_params,timestamp_utc,train_time_ratio,infer_time_ratio
cost,dynamic,beauty,SASRec,SASRec,planned,,1,,,,,,2026-04-19T18:10:45.740786Z,,
cost,dynamic,beauty,RouteRec-dense,FeaturedMoE_N3,planned,,1,,,,,,2026-04-19T18:10:45.740808Z,,
cost,dynamic,beauty,RouteRec-sparse-final,FeaturedMoE_N3,planned,,1,,,,,,2026-04-19T18:10:45.740814Z,,
cost,stable,beauty,SASRec,SASRec,planned,,1,,,,,,2026-04-19T18:10:46.131673Z,,
cost,stable,beauty,RouteRec-dense,FeaturedMoE_N3,planned,,1,,,,,,2026-04-19T18:10:46.131692Z,,
cost,stable,beauty,RouteRec-sparse-final,FeaturedMoE_N3,planned,,1,,,,,,2026-04-19T18:10:46.131697Z,,
