dataset,group,stage_name,routed_family,usage_share
KuaiRecLargeStrictPosV2_0.2,memory_plus,macro,tempo,0.2412
KuaiRecLargeStrictPosV2_0.2,memory_plus,macro,focus,0.2062
KuaiRecLargeStrictPosV2_0.2,memory_plus,macro,memory,0.3093
KuaiRecLargeStrictPosV2_0.2,memory_plus,macro,exposure,0.2491
KuaiRecLargeStrictPosV2_0.2,memory_plus,mid,tempo,0.236
KuaiRecLargeStrictPosV2_0.2,memory_plus,mid,focus,0.2256
KuaiRecLargeStrictPosV2_0.2,memory_plus,mid,memory,0.2935
KuaiRecLargeStrictPosV2_0.2,memory_plus,mid,exposure,0.2251
KuaiRecLargeStrictPosV2_0.2,memory_plus,micro,tempo,0.2441
KuaiRecLargeStrictPosV2_0.2,memory_plus,micro,focus,0.2114
KuaiRecLargeStrictPosV2_0.2,memory_plus,micro,memory,0.3005
KuaiRecLargeStrictPosV2_0.2,memory_plus,micro,exposure,0.2217
KuaiRecLargeStrictPosV2_0.2,focus_plus,macro,tempo,0.2327
KuaiRecLargeStrictPosV2_0.2,focus_plus,macro,focus,0.3295
KuaiRecLargeStrictPosV2_0.2,focus_plus,macro,memory,0.2176
KuaiRecLargeStrictPosV2_0.2,focus_plus,macro,exposure,0.2109
KuaiRecLargeStrictPosV2_0.2,focus_plus,mid,tempo,0.2242
KuaiRecLargeStrictPosV2_0.2,focus_plus,mid,focus,0.3376
KuaiRecLargeStrictPosV2_0.2,focus_plus,mid,memory,0.225
KuaiRecLargeStrictPosV2_0.2,focus_plus,mid,exposure,0.2102
KuaiRecLargeStrictPosV2_0.2,focus_plus,micro,tempo,0.231
KuaiRecLargeStrictPosV2_0.2,focus_plus,micro,focus,0.3375
KuaiRecLargeStrictPosV2_0.2,focus_plus,micro,memory,0.2033
KuaiRecLargeStrictPosV2_0.2,focus_plus,micro,exposure,0.2254
KuaiRecLargeStrictPosV2_0.2,tempo_plus,macro,tempo,0.3034
KuaiRecLargeStrictPosV2_0.2,tempo_plus,macro,focus,0.2257
KuaiRecLargeStrictPosV2_0.2,tempo_plus,macro,memory,0.2224
KuaiRecLargeStrictPosV2_0.2,tempo_plus,macro,exposure,0.222
KuaiRecLargeStrictPosV2_0.2,tempo_plus,mid,tempo,0.2937
KuaiRecLargeStrictPosV2_0.2,tempo_plus,mid,focus,0.2205
KuaiRecLargeStrictPosV2_0.2,tempo_plus,mid,memory,0.2326
KuaiRecLargeStrictPosV2_0.2,tempo_plus,mid,exposure,0.231
KuaiRecLargeStrictPosV2_0.2,tempo_plus,micro,tempo,0.3164
KuaiRecLargeStrictPosV2_0.2,tempo_plus,micro,focus,0.2034
KuaiRecLargeStrictPosV2_0.2,tempo_plus,micro,memory,0.2293
KuaiRecLargeStrictPosV2_0.2,tempo_plus,micro,exposure,0.2279
KuaiRecLargeStrictPosV2_0.2,exploration_plus,macro,tempo,0.2635
KuaiRecLargeStrictPosV2_0.2,exploration_plus,macro,focus,0.2405
KuaiRecLargeStrictPosV2_0.2,exploration_plus,macro,memory,0.2014
KuaiRecLargeStrictPosV2_0.2,exploration_plus,macro,exposure,0.2762
KuaiRecLargeStrictPosV2_0.2,exploration_plus,mid,tempo,0.2801
KuaiRecLargeStrictPosV2_0.2,exploration_plus,mid,focus,0.2342
KuaiRecLargeStrictPosV2_0.2,exploration_plus,mid,memory,0.2184
KuaiRecLargeStrictPosV2_0.2,exploration_plus,mid,exposure,0.2687
KuaiRecLargeStrictPosV2_0.2,exploration_plus,micro,tempo,0.2753
KuaiRecLargeStrictPosV2_0.2,exploration_plus,micro,focus,0.2544
KuaiRecLargeStrictPosV2_0.2,exploration_plus,micro,memory,0.1853
KuaiRecLargeStrictPosV2_0.2,exploration_plus,micro,exposure,0.272
beauty,memory_plus,macro,tempo,0.2558
beauty,memory_plus,macro,focus,0.218
beauty,memory_plus,macro,memory,0.3037
beauty,memory_plus,macro,exposure,0.224
beauty,memory_plus,mid,tempo,0.2509
beauty,memory_plus,mid,focus,0.2184
beauty,memory_plus,mid,memory,0.3117
beauty,memory_plus,mid,exposure,0.2325
beauty,memory_plus,micro,tempo,0.2534
beauty,memory_plus,micro,focus,0.2159
beauty,memory_plus,micro,memory,0.2951
beauty,memory_plus,micro,exposure,0.2257
beauty,focus_plus,macro,tempo,0.2339
beauty,focus_plus,macro,focus,0.3258
beauty,focus_plus,macro,memory,0.2229
beauty,focus_plus,macro,exposure,0.2408
beauty,focus_plus,mid,tempo,0.2387
beauty,focus_plus,mid,focus,0.3267
beauty,focus_plus,mid,memory,0.232
beauty,focus_plus,mid,exposure,0.2159
beauty,focus_plus,micro,tempo,0.2096
beauty,focus_plus,micro,focus,0.3199
beauty,focus_plus,micro,memory,0.2013
beauty,focus_plus,micro,exposure,0.2165
beauty,tempo_plus,macro,tempo,0.3102
beauty,tempo_plus,macro,focus,0.2368
beauty,tempo_plus,macro,memory,0.2333
beauty,tempo_plus,macro,exposure,0.2378
beauty,tempo_plus,mid,tempo,0.3183
beauty,tempo_plus,mid,focus,0.1979
beauty,tempo_plus,mid,memory,0.2324
beauty,tempo_plus,mid,exposure,0.2477
beauty,tempo_plus,micro,tempo,0.2952
beauty,tempo_plus,micro,focus,0.2314
beauty,tempo_plus,micro,memory,0.2334
beauty,tempo_plus,micro,exposure,0.2358
beauty,exploration_plus,macro,tempo,0.2763
beauty,exploration_plus,macro,focus,0.2627
beauty,exploration_plus,macro,memory,0.2118
beauty,exploration_plus,macro,exposure,0.2825
beauty,exploration_plus,mid,tempo,0.2654
beauty,exploration_plus,mid,focus,0.2315
beauty,exploration_plus,mid,memory,0.2183
