dataset,model,bin_type,group,test_seen_mrr20
KuaiRecLargeStrictPosV2_0.2,RouteRec,session,short (1-3),0.3364
KuaiRecLargeStrictPosV2_0.2,RouteRec,session,medium (4-8),0.3449
KuaiRecLargeStrictPosV2_0.2,RouteRec,session,long (9+),0.3565
KuaiRecLargeStrictPosV2_0.2,RouteRec,freq,tail (1-5),0.3297
KuaiRecLargeStrictPosV2_0.2,RouteRec,freq,mid (6-20),0.3446
KuaiRecLargeStrictPosV2_0.2,RouteRec,freq,head (21+),0.3506
KuaiRecLargeStrictPosV2_0.2,SASRec,session,short (1-3),0.3336
KuaiRecLargeStrictPosV2_0.2,SASRec,session,medium (4-8),0.3346
KuaiRecLargeStrictPosV2_0.2,SASRec,session,long (9+),0.3425
KuaiRecLargeStrictPosV2_0.2,SASRec,freq,tail (1-5),0.3252
KuaiRecLargeStrictPosV2_0.2,SASRec,freq,mid (6-20),0.3306
KuaiRecLargeStrictPosV2_0.2,SASRec,freq,head (21+),0.3434
KuaiRecLargeStrictPosV2_0.2,BestBaseline,session,short (1-3),0.3277
KuaiRecLargeStrictPosV2_0.2,BestBaseline,session,medium (4-8),0.3405
KuaiRecLargeStrictPosV2_0.2,BestBaseline,session,long (9+),0.349
KuaiRecLargeStrictPosV2_0.2,BestBaseline,freq,tail (1-5),0.3356
KuaiRecLargeStrictPosV2_0.2,BestBaseline,freq,mid (6-20),0.3429
KuaiRecLargeStrictPosV2_0.2,BestBaseline,freq,head (21+),0.3463
beauty,RouteRec,session,short (1-3),0.0713
beauty,RouteRec,session,medium (4-8),0.0855
beauty,RouteRec,session,long (9+),0.088
beauty,RouteRec,freq,tail (1-5),0.0795
beauty,RouteRec,freq,mid (6-20),0.0875
beauty,RouteRec,freq,head (21+),0.0906
beauty,SASRec,session,short (1-3),0.0639
beauty,SASRec,session,medium (4-8),0.0831
beauty,SASRec,session,long (9+),0.0867
beauty,SASRec,freq,tail (1-5),0.0727
beauty,SASRec,freq,mid (6-20),0.0742
beauty,SASRec,freq,head (21+),0.0852
beauty,BestBaseline,session,short (1-3),0.072
beauty,BestBaseline,session,medium (4-8),0.0821
beauty,BestBaseline,session,long (9+),0.0886
beauty,BestBaseline,freq,tail (1-5),0.0739
beauty,BestBaseline,freq,mid (6-20),0.0788
beauty,BestBaseline,freq,head (21+),0.0896
foursquare,RouteRec,session,short (1-3),0.1654
foursquare,RouteRec,session,medium (4-8),0.1765
foursquare,RouteRec,session,long (9+),0.1851
foursquare,RouteRec,freq,tail (1-5),0.1616
foursquare,RouteRec,freq,mid (6-20),0.1704
foursquare,RouteRec,freq,head (21+),0.1868
foursquare,SASRec,session,short (1-3),0.161
foursquare,SASRec,session,medium (4-8),0.1678
foursquare,SASRec,session,long (9+),0.1827
foursquare,SASRec,freq,tail (1-5),0.1603
foursquare,SASRec,freq,mid (6-20),0.1735
foursquare,SASRec,freq,head (21+),0.1782
foursquare,BestBaseline,session,short (1-3),0.1692
foursquare,BestBaseline,session,medium (4-8),0.1783
foursquare,BestBaseline,session,long (9+),0.1803
foursquare,BestBaseline,freq,tail (1-5),0.1659
foursquare,BestBaseline,freq,mid (6-20),0.1749
foursquare,BestBaseline,freq,head (21+),0.1851
