model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
GRU4Rec,0.011500,,0.011500,,0.011500,,P14_FAD_D00_M02_GRU4REC_H1_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_GRU4REC_H1_S1,KuaiRecLargeStrictPosV2_0.2,H1,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/GRU4Rec/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p14_fad_d00_m02_gru4rec_h1_s1_20260326_163545_530408_pid211646.json,2026-03-26T16:41:42.166047Z
SASRec,0.012200,,0.012200,,0.012200,,P14_FAD_D00_M01_SASREC_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_SASREC_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/SASRec/KuaiRecLargeStrictPosV2_0.2_SASRec_p14_fad_d00_m01_sasrec_h4_s1_20260326_163545_428034_pid211645.json,2026-03-26T16:46:09.718896Z
SASRec,0.013000,,0.013000,,0.013000,,P14_FAD_D00_M01_SASREC_H1_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_SASREC_H1_S1,KuaiRecLargeStrictPosV2_0.2,H1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/SASRec/KuaiRecLargeStrictPosV2_0.2_SASRec_p14_fad_d00_m01_sasrec_h1_s1_20260326_163545_302177_pid211643.json,2026-03-26T16:47:25.051287Z
GRU4Rec,0.013000,,0.012600,,0.012600,,P14_FAD_D00_M02_GRU4REC_H3_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_GRU4REC_H3_S1,KuaiRecLargeStrictPosV2_0.2,H3,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/GRU4Rec/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p14_fad_d00_m02_gru4rec_h3_s1_20260326_164149_147263_pid212373.json,2026-03-26T16:50:13.478778Z
GRU4Rec,0.013000,,0.012600,,0.012400,,P14_FAD_D00_M02_GRU4REC_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_GRU4REC_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/GRU4Rec/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p14_fad_d00_m02_gru4rec_h4_s1_20260326_164616_769018_pid212410.json,2026-03-26T16:54:29.021530Z
SASRec,0.013200,,0.013200,,0.013200,,P14_FAD_D00_M01_SASREC_H3_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_SASREC_H3_S1,KuaiRecLargeStrictPosV2_0.2,H3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/SASRec/KuaiRecLargeStrictPosV2_0.2_SASRec_p14_fad_d00_m01_sasrec_h3_s1_20260326_163545_396063_pid211644.json,2026-03-26T16:55:08.341241Z
TiSASRec,0.013200,,0.011500,,0.011500,,P14_FAD_D00_M03_TISASREC_H1_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_TISASREC_H1_S1,KuaiRecLargeStrictPosV2_0.2,H1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/TiSASRec/KuaiRecLargeStrictPosV2_0.2_TiSASRec_p14_fad_d00_m03_tisasrec_h1_s1_20260326_164732_111166_pid212434.json,2026-03-26T16:59:44.898048Z
TiSASRec,0.013200,,0.012300,,0.012300,,P14_FAD_D00_M03_TISASREC_H3_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_TISASREC_H3_S1,KuaiRecLargeStrictPosV2_0.2,H3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/TiSASRec/KuaiRecLargeStrictPosV2_0.2_TiSASRec_p14_fad_d00_m03_tisasrec_h3_s1_20260326_165515_438551_pid212532.json,2026-03-26T17:26:55.808780Z
TiSASRec,0.013200,,0.012300,,0.011900,,P14_FAD_D00_M03_TISASREC_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_TISASREC_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/TiSASRec/KuaiRecLargeStrictPosV2_0.2_TiSASRec_p14_fad_d00_m03_tisasrec_h4_s1_20260326_165436_031811_pid212509.json,2026-03-26T17:39:35.843742Z
SIGMA,0.013200,,0.009100,,0.009100,,P14_FAD_D00_M05_SIGMA_H1_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_SIGMA_H1_S1,KuaiRecLargeStrictPosV2_0.2,H1,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/SIGMA/KuaiRecLargeStrictPosV2_0.2_SIGMA_p14_fad_d00_m05_sigma_h1_s1_20260326_173943_021663_pid212677.json,2026-03-26T18:06:13.757811Z
BSARec,0.013200,,0.011700,,0.011700,,P14_FAD_D00_M06_BSAREC_H3_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_BSAREC_H3_S1,KuaiRecLargeStrictPosV2_0.2,H3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/BSARec/KuaiRecLargeStrictPosV2_0.2_BSARec_p14_fad_d00_m06_bsarec_h3_s1_20260326_180621_073940_pid212820.json,2026-03-26T18:20:11.858037Z
DuoRec,0.013200,,0.010800,,0.010800,,P14_FAD_D00_M04_DUOREC_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_DUOREC_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/DuoRec/KuaiRecLargeStrictPosV2_0.2_DuoRec_p14_fad_d00_m04_duorec_h4_s1_20260326_172702_963428_pid212633.json,2026-03-26T23:11:11.593336Z
BSARec,0.013200,,0.011700,,0.010600,,P14_FAD_D00_M06_BSAREC_H1_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_BSAREC_H1_S1,KuaiRecLargeStrictPosV2_0.2,H1,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/BSARec/KuaiRecLargeStrictPosV2_0.2_BSARec_p14_fad_d00_m06_bsarec_h1_s1_20260326_231118_760618_pid213271.json,2026-03-26T23:21:12.547109Z
DuoRec,0.013200,,0.011900,,0.011900,,P14_FAD_D00_M04_DUOREC_H1_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_DUOREC_H1_S1,KuaiRecLargeStrictPosV2_0.2,H1,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/DuoRec/KuaiRecLargeStrictPosV2_0.2_DuoRec_p14_fad_d00_m04_duorec_h1_s1_20260326_165020_556910_pid212471.json,2026-03-26T23:45:11.323266Z
SIGMA,0.013200,,0.010100,,0.010100,,P14_FAD_D00_M05_SIGMA_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_SIGMA_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,5,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/SIGMA/KuaiRecLargeStrictPosV2_0.2_SIGMA_p14_fad_d00_m05_sigma_h4_s1_20260327_003544_632310_pid217860.json,2026-03-27T00:36:52.799052Z
SASRec,0.013200,,0.013200,,0.007800,,P14_FAD_D00_M01_SASREC_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_SASREC_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,5,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/SASRec/KuaiRecLargeStrictPosV2_0.2_SASRec_p14_fad_d00_m01_sasrec_h4_s1_20260327_003816_494776_pid219438.json,2026-03-27T00:38:33.531586Z
GRU4Rec,0.013200,,0.012600,,0.004200,,P14_FAD_D00_M02_GRU4REC_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_GRU4REC_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,5,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/GRU4Rec/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p14_fad_d00_m02_gru4rec_h4_s1_20260327_003840_940325_pid219694.json,2026-03-27T00:38:54.870568Z
TiSASRec,0.013200,,0.012300,,0.010000,,P14_FAD_D00_M03_TISASREC_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_TISASREC_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,5,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/TiSASRec/KuaiRecLargeStrictPosV2_0.2_TiSASRec_p14_fad_d00_m03_tisasrec_h4_s1_20260327_003902_303648_pid219821.json,2026-03-27T00:39:25.177405Z
