early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1634,ok,0.1675,0.1633,1
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1645,ok,0.1675,0.164,2
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1645,ok,0.1691,0.1644,3
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1631,ok,0.165,0.1612,4
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1367,ok,0.1544,0.1357,5
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1641,ok,0.1675,0.1634,6
True,5,1.0,1.0,0.0,0.1517123579978943,0.0,1.3739731148061032,0.19933851063251495,0.14852337539196014,0.0,0.0,9.467086657401649e-09,1.0,1.0,5.931217154654655,3.910004630791665,5.931217154654655,0.0,1.0,0.0,1.0,-2.52217306584372e-09,1.0000000025221731,2.4426753912146484e-05,0.9999755735444186,2.4426912564968368e-05,0.9999755733857696,0.0,0.0,9.16633736008736,5.931217154654655,0.9870941784531584,0.1647,ok,0.1678,0.1641,7
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0952,ok,0.123,0.0944,8
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1634,ok,0.1678,0.1635,9
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1647,ok,0.1678,0.1641,10
