early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2329,ok,0.2922,0.2306,1
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2305,ok,0.2909,0.2311,2
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2118,ok,0.2638,0.2193,3
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213,ok,0.2686,0.2188,4
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213,ok,0.2585,0.2129,5
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2308,ok,0.2928,0.2297,6
False,100,1.0,1.0,0.0,0.10798160782511211,0.0,1.7711756461574881,0.42834657430648804,0.24848230183124542,0.0,0.09285353046247875,0.6835379728490111,1.982903776687512,0.818925258785805,6.043789446585172,5.930846100643505,6.043789446585172,0.0,1.0,0.0,1.0,0.0,1.0,0.0002134081818719763,0.9997866145880343,0.0007875989385022467,0.9992127452539723,0.0009668611510776314,0.9990336061085613,0.0,0.0,7.142494352909912,6.043789446585172,0.6831084425506273,0.235,ok,0.288,0.232,7
True,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2335,ok,0.2853,0.2316,8
True,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2342,ok,0.2872,0.2316,9
True,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2341,ok,0.2901,0.232,10
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2309,ok,0.2938,0.2292,11
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2309,ok,0.2938,0.2299,12
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2197,ok,0.2832,0.2215,13
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2128,ok,0.2686,0.2196,14
True,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2347,ok,0.2872,0.2313,15
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2268,ok,0.2808,0.2273,16
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2251,ok,0.2792,0.2271,17
True,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2345,ok,0.2899,0.2317,18
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2153,ok,0.275,0.2171,19
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2181,ok,0.2779,0.2197,20
