tier,selected_family,expert_name,expert_index,minus,plus,usage_plus,usage_minus,usage_delta
permissive,exposure,Tempo_a,0,0.0528133511543273,0.0698442757129669,0.0698442757129669,0.0528133511543273,0.017030924558639603
permissive,exposure,Tempo_b,1,0.0624730251729488,0.0667127221822738,0.0667127221822738,0.0624730251729488,0.004239697009324993
permissive,exposure,Tempo_c,2,0.0751324445009231,0.0767811462283134,0.0767811462283134,0.0751324445009231,0.0016487017273903032
permissive,exposure,Tempo_d,3,0.0360099598765373,0.0348354130983352,0.0348354130983352,0.0360099598765373,-0.0011745467782021055
permissive,exposure,Focus_a,4,0.0416898354887962,0.0427158661186695,0.0427158661186695,0.0416898354887962,0.0010260306298733035
permissive,exposure,Focus_b,5,0.0574643090367317,0.0557873882353305,0.0557873882353305,0.0574643090367317,-0.0016769208014012008
permissive,exposure,Focus_c,6,0.0620257519185543,0.0733467414975166,0.0733467414975166,0.0620257519185543,0.011320989578962305
permissive,exposure,Focus_d,7,0.0734156817197799,0.0624282695353031,0.0624282695353031,0.0734156817197799,-0.010987412184476797
permissive,exposure,Memory_a,8,0.0495474301278591,0.0435594730079174,0.0435594730079174,0.0495474301278591,-0.0059879571199417045
permissive,exposure,Memory_b,9,0.0700967758893966,0.0698654651641845,0.0698654651641845,0.0700967758893966,-0.00023131072521209717
permissive,exposure,Memory_c,10,0.0472058355808258,0.045278787612915,0.045278787612915,0.0472058355808258,-0.0019270479679108013
permissive,exposure,Memory_d,11,0.0768439248204231,0.0784146413207054,0.0784146413207054,0.0768439248204231,0.0015707165002823015
permissive,exposure,Exposure_a,12,0.0687062665820121,0.0636046603322029,0.0636046603322029,0.0687062665820121,-0.005101606249809196
permissive,exposure,Exposure_b,13,0.0932644456624984,0.089299201965332,0.089299201965332,0.0932644456624984,-0.003965243697166401
permissive,exposure,Exposure_c,14,0.0681518763303756,0.0724477618932724,0.0724477618932724,0.0681518763303756,0.004295885562896798
permissive,exposure,Exposure_d,15,0.0651590898633003,0.0550781972706317,0.0550781972706317,0.0651590898633003,-0.010080892592668596
permissive,focus,Tempo_a,0,0.0690916180610656,0.0479494109749794,0.0479494109749794,0.0690916180610656,-0.021142207086086204
permissive,focus,Tempo_b,1,0.0838072672486305,0.0658181384205818,0.0658181384205818,0.0838072672486305,-0.017989128828048692
permissive,focus,Tempo_c,2,0.0960923954844474,0.0766672194004058,0.0766672194004058,0.0960923954844474,-0.019425176084041595
permissive,focus,Tempo_d,3,0.0418836250901222,0.0392710119485855,0.0392710119485855,0.0418836250901222,-0.0026126131415366988
permissive,focus,Focus_a,4,0.0597794465720653,0.0590623281896114,0.0590623281896114,0.0597794465720653,-0.0007171183824538976
permissive,focus,Focus_b,5,0.053053181618452,0.0697485730051994,0.0697485730051994,0.053053181618452,0.016695391386747402
permissive,focus,Focus_c,6,0.0517754554748535,0.064527504146099,0.064527504146099,0.0517754554748535,0.012752048671245492
