tier,selected_family,routed_family,minus,plus,usage_plus,usage_minus,usage_delta
permissive,exposure,exposure,0.2952816784381866,0.2804298102855682,0.2804298102855682,0.2952816784381866,-0.014851868152618408
permissive,exposure,focus,0.2345955818891525,0.2342782616615295,0.2342782616615295,0.2345955818891525,-0.00031732022762298584
permissive,exposure,memory,0.2436939626932144,0.2371183633804321,0.2371183633804321,0.2436939626932144,-0.006575599312782288
permissive,exposure,tempo,0.2264287918806076,0.2481735795736313,0.2481735795736313,0.2264287918806076,0.02174478769302368
permissive,focus,exposure,0.254366397857666,0.2719844579696655,0.2719844579696655,0.254366397857666,0.01761806011199951
permissive,focus,focus,0.2158407270908355,0.2644934356212616,0.2644934356212616,0.2158407270908355,0.04865270853042611
permissive,focus,memory,0.2389179915189743,0.2338162958621978,0.2338162958621978,0.2389179915189743,-0.0051016956567765115
permissive,focus,tempo,0.2908748984336853,0.2297057807445526,0.2297057807445526,0.2908748984336853,-0.06116911768913269
permissive,memory,exposure,0.2411788403987884,0.2625845670700073,0.2625845670700073,0.2411788403987884,0.021405726671218928
permissive,memory,focus,0.198114275932312,0.1971835196018219,0.1971835196018219,0.198114275932312,-0.0009307563304901123
permissive,memory,memory,0.2230664491653442,0.2413370460271835,0.2413370460271835,0.2230664491653442,0.018270596861839294
permissive,memory,tempo,0.3376403748989105,0.298894852399826,0.298894852399826,0.3376403748989105,-0.03874552249908453
permissive,tempo,exposure,0.2422513216733932,0.2572863399982452,0.2572863399982452,0.2422513216733932,0.01503501832485199
permissive,tempo,focus,0.2256995290517807,0.221818670630455,0.221818670630455,0.2256995290517807,-0.0038808584213257113
permissive,tempo,memory,0.2109575867652893,0.2335863262414932,0.2335863262414932,0.2109575867652893,0.02262873947620389
permissive,tempo,tempo,0.3210915625095367,0.2873086631298065,0.2873086631298065,0.3210915625095367,-0.03378289937973017
pure,exposure,exposure,0.2637373507022857,0.298111230134964,0.298111230134964,0.2637373507022857,0.03437387943267828
pure,exposure,focus,0.251340240240097,0.2627201378345489,0.2627201378345489,0.251340240240097,0.011379897594451904
pure,exposure,memory,0.2398495227098465,0.2526815235614776,0.2526815235614776,0.2398495227098465,0.012832000851631109
pure,exposure,tempo,0.2450729012489318,0.1864871233701706,0.1864871233701706,0.2450729012489318,-0.05858577787876121
pure,focus,exposure,0.2597696781158447,0.2671293318271637,0.2671293318271637,0.2597696781158447,0.00735965371131897
pure,focus,focus,0.2073098123073578,0.2718599736690521,0.2718599736690521,0.2073098123073578,0.06455016136169434
pure,focus,memory,0.2593794167041778,0.2175056487321853,0.2175056487321853,0.2593794167041778,-0.04187376797199249
pure,focus,tempo,0.2735410928726196,0.243504986166954,0.243504986166954,0.2735410928726196,-0.03003610670566556
pure,memory,exposure,0.2427726536989212,0.2710284888744354,0.2710284888744354,0.2427726536989212,0.02825583517551422
pure,memory,focus,0.2152499258518219,0.2137405574321746,0.2137405574321746,0.2152499258518219,-0.0015093684196473
pure,memory,memory,0.2172613590955734,0.2328707128763198,0.2328707128763198,0.2172613590955734,0.015609353780746404
pure,memory,tempo,0.3247160613536834,0.2823602557182312,0.2823602557182312,0.3247160613536834,-0.042355805635452215
pure,tempo,exposure,0.2398287504911422,0.27609384059906,0.27609384059906,0.2398287504911422,0.03626509010791781
pure,tempo,focus,0.1876685321331024,0.2292843759059906,0.2292843759059906,0.1876685321331024,0.04161584377288821
pure,tempo,memory,0.2253721803426742,0.2546287775039673,0.2546287775039673,0.2253721803426742,0.029256597161293085
pure,tempo,tempo,0.347130537033081,0.2399929910898208,0.2399929910898208,0.347130537033081,-0.10713754594326019
