dataset,case_name,case_type,stage,group_name,expert_rank_or_slot,selected_mass,base_rank,seed_id,setting_key,data_status
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,macro,memory,group_total,0.3852,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,macro,tempo,group_total,0.2812,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,macro,focus,group_total,0.1787,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,macro,exposure,group_total,0.159,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,mid,memory,group_total,0.3496,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,mid,focus,group_total,0.2498,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,mid,tempo,group_total,0.2236,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,mid,exposure,group_total,0.1803,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,micro,memory,group_total,0.4037,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,micro,tempo,group_total,0.2396,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,micro,focus,group_total,0.2004,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Repeat-heavy,repeat_heavy,micro,exposure,group_total,0.15,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Fast exploratory,fast_exploratory,macro,tempo,group_total,0.3646,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Fast exploratory,fast_exploratory,macro,exposure,group_total,0.2617,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Fast exploratory,fast_exploratory,macro,memory,group_total,0.205,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Fast exploratory,fast_exploratory,macro,focus,group_total,0.1655,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Fast exploratory,fast_exploratory,mid,tempo,group_total,0.3904,1,1,behavior_guided,dummy
KuaiRecLargeStrictPosV2_0.2,Fast exploratory,fast_exploratory,mid,exposure,group_total,0.2793,1,1,behavior_guided,dummy
