dataset,setting_key,variant_label,stage_name,routed_family,usage_share,base_rank,seed_id,data_status
KuaiRecLargeStrictPosV2_0.2,hidden_only,Hidden only,macro@1,focus,0.0312,1,1,real
KuaiRecLargeStrictPosV2_0.2,hidden_only,Hidden only,macro@1,memory,0.09,1,1,real
KuaiRecLargeStrictPosV2_0.2,hidden_only,Hidden only,macro@1,exposure,0.0653,1,1,real
KuaiRecLargeStrictPosV2_0.2,hidden_only,Hidden only,macro@1,tempo,0.0602,1,3,real
KuaiRecLargeStrictPosV2_0.2,hidden_only,Hidden only,macro@1,focus,0.0332,1,3,real
KuaiRecLargeStrictPosV2_0.2,hidden_only,Hidden only,macro@1,memory,0.0838,1,3,real
KuaiRecLargeStrictPosV2_0.2,hidden_only,Hidden only,macro@1,exposure,0.0498,1,3,real
KuaiRecLargeStrictPosV2_0.2,mixed_hidden_behavior,Mixed,macro@1,tempo,0.0604,1,3,real
KuaiRecLargeStrictPosV2_0.2,mixed_hidden_behavior,Mixed,macro@1,focus,0.0327,1,3,real
KuaiRecLargeStrictPosV2_0.2,mixed_hidden_behavior,Mixed,macro@1,memory,0.0832,1,3,real
KuaiRecLargeStrictPosV2_0.2,mixed_hidden_behavior,Mixed,macro@1,exposure,0.0496,1,3,real
beauty,hidden_only,Hidden only,macro@1,tempo,0.337,1,1,real
beauty,hidden_only,Hidden only,macro@1,focus,0.1587,1,1,real
beauty,hidden_only,Hidden only,macro@1,memory,0.1935,1,1,real
beauty,hidden_only,Hidden only,macro@1,exposure,0.3108,1,1,real
beauty,mixed_hidden_behavior,Mixed,macro@1,tempo,0.3329,1,1,real
beauty,mixed_hidden_behavior,Mixed,macro@1,focus,0.161,1,1,real
beauty,mixed_hidden_behavior,Mixed,macro@1,memory,0.1969,1,1,real
beauty,mixed_hidden_behavior,Mixed,macro@1,exposure,0.3092,1,1,real
beauty,behavior_guided,Behavior-guided,macro@1,tempo,0.3278,1,1,real
beauty,behavior_guided,Behavior-guided,macro@1,focus,0.1682,1,1,real
beauty,behavior_guided,Behavior-guided,macro@1,memory,0.1942,1,1,real
beauty,behavior_guided,Behavior-guided,macro@1,exposure,0.3098,1,1,real
beauty,hidden_only,Hidden only,macro@1,tempo,0.0479,2,1,real
beauty,hidden_only,Hidden only,macro@1,focus,0.0598,2,1,real
beauty,hidden_only,Hidden only,macro@1,memory,0.0643,2,1,real
beauty,hidden_only,Hidden only,macro@1,exposure,0.0559,2,1,real
beauty,mixed_hidden_behavior,Mixed,macro@1,tempo,0.0482,2,1,real
beauty,mixed_hidden_behavior,Mixed,macro@1,focus,0.0603,2,1,real
beauty,mixed_hidden_behavior,Mixed,macro@1,memory,0.0662,2,1,real
beauty,mixed_hidden_behavior,Mixed,macro@1,exposure,0.0575,2,1,real
beauty,behavior_guided,Behavior-guided,macro@1,tempo,0.0483,2,1,real
beauty,behavior_guided,Behavior-guided,macro@1,focus,0.06,2,1,real
beauty,behavior_guided,Behavior-guided,macro@1,memory,0.0664,2,1,real
beauty,behavior_guided,Behavior-guided,macro@1,exposure,0.0573,2,1,real
foursquare,hidden_only,Hidden only,macro@1,tempo,0.0603,1,1,real
foursquare,hidden_only,Hidden only,macro@1,focus,0.0691,1,1,real
foursquare,hidden_only,Hidden only,macro@1,memory,0.0721,1,1,real
foursquare,hidden_only,Hidden only,macro@1,exposure,0.0553,1,1,real
foursquare,mixed_hidden_behavior,Mixed,macro@1,tempo,0.0604,1,1,real
foursquare,mixed_hidden_behavior,Mixed,macro@1,focus,0.0692,1,1,real
foursquare,mixed_hidden_behavior,Mixed,macro@1,memory,0.0722,1,1,real
foursquare,mixed_hidden_behavior,Mixed,macro@1,exposure,0.0554,1,1,real
foursquare,behavior_guided,Behavior-guided,macro@1,tempo,0.0603,1,1,real
foursquare,behavior_guided,Behavior-guided,macro@1,focus,0.0687,1,1,real
foursquare,behavior_guided,Behavior-guided,macro@1,memory,0.0722,1,1,real
foursquare,behavior_guided,Behavior-guided,macro@1,exposure,0.0552,1,1,real
foursquare,hidden_only,Hidden only,macro@1,tempo,0.0623,2,1,real
foursquare,hidden_only,Hidden only,macro@1,focus,0.0578,2,1,real
foursquare,hidden_only,Hidden only,macro@1,memory,0.0597,2,1,real
foursquare,hidden_only,Hidden only,macro@1,exposure,0.057,2,1,real
foursquare,mixed_hidden_behavior,Mixed,macro@1,tempo,0.062,2,1,real
foursquare,mixed_hidden_behavior,Mixed,macro@1,focus,0.0601,2,1,real
foursquare,mixed_hidden_behavior,Mixed,macro@1,memory,0.0593,2,1,real
foursquare,mixed_hidden_behavior,Mixed,macro@1,exposure,0.0551,2,1,real
foursquare,behavior_guided,Behavior-guided,macro@1,tempo,0.0603,2,1,real
foursquare,behavior_guided,Behavior-guided,macro@1,focus,0.0579,2,1,real
foursquare,behavior_guided,Behavior-guided,macro@1,memory,0.0626,2,1,real
foursquare,behavior_guided,Behavior-guided,macro@1,exposure,0.056,2,1,real
