dataset,model,config_rank,seed_count,mean_valid_score,mean_test_score,config_json,result_paths_json
KuaiRecLargeStrictPosV2_0.2,duorec,1,3,0.02480506919524055,0.315034255110711,"{""MAX_ITEM_LIST_LENGTH"": 10, ""attn_dropout_prob"": 0.15, ""dropout_ratio"": 0.1, ""embedding_size"": 64, ""hidden_dropout_prob"": 0.05, ""hidden_size"": 96, ""inner_size"": 224, ""learning_rate"": 0.00086844, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""n_heads"": 4, ""n_layers"": 3, ""tau"": 0.18, ""weight_decay"": 0.0001}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_DuoRec_s3_kuaireclargestrictposv2_0_2_duorec_c2_seed3_20260418_130844_004502_pid633259.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_DuoRec_s3_kuaireclargestrictposv2_0_2_duorec_c2_seed2_20260418_130836_996294_pid633207.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_DuoRec_s3_kuaireclargestrictposv2_0_2_duorec_c2_seed1_20260418_130832_319728_pid633179.json""]"
KuaiRecLargeStrictPosV2_0.2,fame,1,3,0.020848148148148147,0.2558270086934351,"{""MAX_ITEM_LIST_LENGTH"": 20, ""attn_dropout_prob"": 0.1, ""dropout_ratio"": 0.12, ""embedding_size"": 160, ""hidden_dropout_prob"": 0.05, ""hidden_size"": 160, ""inner_size"": 256, ""learning_rate"": 0.00139965, ""num_experts"": 4, ""num_heads"": 8, ""num_layers"": 3, ""weight_decay"": 0.00023699524606632798}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FAME_s3_kuaireclargestrictposv2_0_2_fame_c2_seed2_20260418_131323_985251_pid634222.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FAME_s3_kuaireclargestrictposv2_0_2_fame_c2_seed1_20260418_131312_194058_pid634183.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FAME_s3_kuaireclargestrictposv2_0_2_fame_c2_seed3_20260418_131340_142919_pid634271.json""]"
KuaiRecLargeStrictPosV2_0.2,fdsa,1,3,0.0228,0.3029037037037037,"{""MAX_ITEM_LIST_LENGTH"": 20, ""attn_dropout_prob"": 0.08, ""attribute_hidden_size"": 96, ""dropout_ratio"": 0.12, ""embedding_size"": 128, ""hidden_dropout_prob"": 0.05, ""hidden_size"": 128, ""inner_size"": 320, ""lambda_attr"": 0.018, ""learning_rate"": 0.00058124, ""n_heads"": 4, ""n_layers"": 2, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""weight_decay"": 5e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FDSA_s3_kuaireclargestrictposv2_0_2_fdsa_c2_seed1_20260418_131444_979599_pid634479.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FDSA_s3_kuaireclargestrictposv2_0_2_fdsa_c2_seed2_20260418_131551_081697_pid634734.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FDSA_s3_kuaireclargestrictposv2_0_2_fdsa_c2_seed3_20260418_131611_520618_pid634838.json""]"
KuaiRecLargeStrictPosV2_0.2,fearec,1,2,0.025127192305761797,0.32993935254496576,"{""MAX_ITEM_LIST_LENGTH"": 30, ""attn_dropout_prob"": 0.1, ""dropout_ratio"": 0.12, ""embedding_size"": 96, ""hidden_dropout_prob"": 0.05, ""hidden_size"": 160, ""inner_size"": 256, ""learning_rate"": 0.00111485, ""lmd"": 0.05, ""lmd_sem"": 0.0, ""n_heads"": 4, ""n_layers"": 2, ""tau"": 0.22, ""weight_decay"": 0.00015}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FEARec_s3_kuaireclargestrictposv2_0_2_fearec_c1_seed1_20260418_130614_299889_pid632276.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FEARec_s3_kuaireclargestrictposv2_0_2_fearec_c1_seed2_20260418_130616_932378_pid632303.json""]"
KuaiRecLargeStrictPosV2_0.2,gru4rec,1,4,0.024023081555299915,0.18188129925597168,"{""MAX_ITEM_LIST_LENGTH"": 10, ""dropout_prob"": 0.15, ""dropout_ratio"": 0.1, ""embedding_size"": 192, ""hidden_dropout_prob"": 0.2, ""hidden_size"": 96, ""inner_size"": 256, ""learning_rate"": 0.00139555, ""num_layers"": 1, ""weight_decay"": 0.0001}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_s3_kuaireclargestrictposv2_0_2_gru4rec_c1_seed1_20260418_131616_034831_pid634864.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_s3_kuaireclargestrictposv2_0_2_gru4rec_c1_seed2_20260418_131631_342732_pid634921.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_s3_kuaireclargestrictposv2_0_2_gru4rec_c1_seed4_20260418_131713_884575_pid635184.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_s3_kuaireclargestrictposv2_0_2_gru4rec_c1_seed3_20260418_131709_282993_pid635158.json""]"
beauty,duorec,1,2,0.10620023042613816,0.08375555555555556,"{""MAX_ITEM_LIST_LENGTH"": 10, ""attn_dropout_prob"": 0.08, ""dropout_ratio"": 0.12, ""embedding_size"": 128, ""hidden_dropout_prob"": 0.05, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.00033674, ""lmd"": 0.06, ""lmd_sem"": 0.0, ""n_heads"": 4, ""n_layers"": 3, ""tau"": 0.18, ""weight_decay"": 0.0001}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_DuoRec_s3_beauty_duorec_c2_seed1_20260418_125400_709946_pid627849.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_DuoRec_s3_beauty_duorec_c2_seed2_20260418_125400_749668_pid627852.json""]"
beauty,fame,1,3,0.023114668117147744,0.02513661493424915,"{""MAX_ITEM_LIST_LENGTH"": 10, ""attn_dropout_prob"": 0.08, ""dropout_ratio"": 0.12, ""embedding_size"": 160, ""hidden_dropout_prob"": 0.12, ""hidden_size"": 64, ""inner_size"": 256, ""learning_rate"": 0.00243852, ""num_experts"": 5, ""num_heads"": 1, ""num_layers"": 1, ""weight_decay"": 0.0001504868294019483}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FAME_s3_beauty_fame_c1_seed3_20260418_125400_654074_pid627855.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FAME_s3_beauty_fame_c1_seed2_20260418_125400_775862_pid627854.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FAME_s3_beauty_fame_c1_seed1_20260418_125400_754109_pid627853.json""]"
beauty,fdsa,1,3,0.11512019133776952,0.09511851851851853,"{""MAX_ITEM_LIST_LENGTH"": 30, ""attn_dropout_prob"": 0.15, ""attribute_hidden_size"": 160, ""dropout_ratio"": 0.12, ""embedding_size"": 96, ""hidden_dropout_prob"": 0.1, ""hidden_size"": 192, ""inner_size"": 320, ""lambda_attr"": 0.15, ""learning_rate"": 0.000546, ""n_heads"": 2, ""n_layers"": 2, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""weight_decay"": 5e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FDSA_s3_beauty_fdsa_c2_seed2_20260418_125458_186061_pid628355.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FDSA_s3_beauty_fdsa_c2_seed3_20260418_125500_224685_pid628394.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FDSA_s3_beauty_fdsa_c2_seed1_20260418_125456_426583_pid628300.json""]"
beauty,fearec,1,4,0.01967087458589616,0.011564078182974027,"{""MAX_ITEM_LIST_LENGTH"": 10, ""attn_dropout_prob"": 0.12, ""dropout_ratio"": 0.12, ""embedding_size"": 128, ""hidden_dropout_prob"": 0.1, ""hidden_size"": 160, ""inner_size"": 256, ""learning_rate"": 0.00082629, ""lmd"": 0.05, ""lmd_sem"": 0.1, ""n_heads"": 2, ""n_layers"": 1, ""tau"": 0.22, ""weight_decay"": 0.000216}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FEARec_s3_beauty_fearec_c2_seed1_20260418_125236_694946_pid627109.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FEARec_s3_beauty_fearec_c2_seed2_20260418_125236_677972_pid627110.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FEARec_s3_beauty_fearec_c2_seed3_20260418_125236_649372_pid627112.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_FEARec_s3_beauty_fearec_c2_seed4_20260418_125236_859133_pid627111.json""]"
beauty,gru4rec,1,3,0.09208371555972593,0.036770514915036405,"{""MAX_ITEM_LIST_LENGTH"": 10, ""dropout_prob"": 0.25, ""embedding_size"": 160, ""hidden_dropout_prob"": 0.2, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.0040343, ""num_layers"": 1, ""weight_decay"": 1.49e-06}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_GRU4Rec_s3_beauty_gru4rec_c2_seed1_20260418_125531_632982_pid628574.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_GRU4Rec_s3_beauty_gru4rec_c2_seed3_20260418_125534_098430_pid628594.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_GRU4Rec_s3_beauty_gru4rec_c2_seed2_20260418_125533_457073_pid628590.json""]"
