early_stopped,epochs_run,feature_ablation.feature_shuffle_delta_mrr,feature_ablation.feature_zero_delta_mrr,feature_ablation.route_change_under_feature_shuffle,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.n_eff,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.stage_delta_norm,micro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,18,0.004299999999999998,0.0,0.0,9.365968138547546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121109530747323,0.0,16.565955448024894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44126892041559,0.0,14.153542798375613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9221536146564,0.0,0.0764,ok,0.1797,0.1582,1
True,18,0.0039000000000000007,0.0,0.0,9.772806846949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.258955306286588,0.0,16.973153281736195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.416522236432678,0.0,14.88404076129951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.230719140604399,0.0,0.0763,ok,0.1797,0.1581,2
True,79,0.003500000000000003,0.0,0.0,7.715491831918148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7816432619917197,0.0,14.809898937292337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.274200909102896,0.0,5.803520301540003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1799584921022097,0.0,0.0763,ok,0.179,0.1567,3
True,41,0.004599999999999993,0.0,0.0,10.422755755234428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313249935723327,0.0,18.1333546490164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.630183336849322,0.0,12.403047373556246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.044775418952059,0.0,0.0765,ok,0.1791,0.1577,4
True,30,0.003799999999999998,0.0,0.0,9.327539752650177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106395776198513,0.0,14.453796608828648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.050147259506355,0.0,11.307696719582301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9986102641606456,0.0,0.0764,ok,0.1788,0.1573,5
True,25,0.0040000000000000036,0.0,0.0,8.137189329413006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53735541868836,0.0,17.21743117451611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.106002782026264,0.0,8.595232731000475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7577033120616,0.0,0.0766,ok,0.179,0.1577,6
True,11,0.0,0.0,0.0,4.124361889206793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51991641560308,0.0,2.403417912095881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.593267142094299,0.0,2.4293652719727334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4429422358723167,0.0,0.0645,ok,0.1095,0.101,7
True,28,0.0039000000000000007,0.0,0.0,6.412896702441854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.687297075246559,0.0,11.495576446389958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.671948094114234,0.0,5.636169555271347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861197779323348,0.0,0.0763,ok,0.1783,0.1569,8
True,41,0.004199999999999995,0.0,0.0,9.194441468672538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84646404132166,0.0,14.569871051104899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.397559464163282,0.0,9.068301629001635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.604581567098254,0.0,0.0765,ok,0.1792,0.1572,9
True,63,0.004199999999999995,0.0,0.0,10.092020957491693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.043181398660408,0.0,15.726010297452666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7044672287854015,0.0,11.108367339539054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79580421654976,0.0,0.0765,ok,0.1794,0.1573,10
