dataset,dataset_raw,model,metric,metric_value,run_group,run_axis,run_phase,timestamp,source_type,source_file,n_completed,n_trials,parent_result,best_params_json
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.100000,fmoe_rule,hparam,RULE,2026-03-06T11:39:25.700547,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_rule/hparam/RULE/ML1/FMoEv2/20260306_084521_974_hparam_RULE_R1_P2DB_G7_C1_movielens1m_E128_R64_B6144.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.098800,fmoe_rule,hparam,RULE,2026-03-06T13:54:51.929121,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_rule/hparam/RULE/ML1/FMoEv2/20260306_112910_286_hparam_RULE_R1_P2DB_G5_C2_movielens1m_E192_R96_B4096.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.098500,fmoe_rule,hparam,RULE,2026-03-06T11:29:09.034725,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_rule/hparam/RULE/ML1/FMoEv2/20260306_084521_968_hparam_RULE_R1_P2DB_G5_C1_movielens1m_E160_R96_B6144.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.098200,fmoe_v2,hparam,P2DB,2026-03-05T22:16:46.202651,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P2DB/ML1/FMoEv2/20260305_162951_587_hparam_P2DB_G5_C1_serial_L7_E128_R64_B3072.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097800,fmoe_rule,hparam,RULE,2026-03-06T14:17:00.483595,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_rule/hparam/RULE/ML1/FMoEv2/20260306_113927_017_hparam_RULE_R1_P2DB_G7_C2_movielens1m_E160_R80_B4096.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097700,fmoe_v2,hparam,P2DB,2026-03-06T00:54:25.221773,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P2DB/ML1/FMoEv2/20260305_204003_556_hparam_P2DB_G4_C2_serial_L7_E128_R64_B8192.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097600,fmoe_v2,hparam,P1S,2026-03-05T10:46:44.729625,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P1S/ML1/FMoEv2/20260305_094113_020_hparam_P1S_G6_C1_serial_L17.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097600,fmoe_v2,hparam,P1S,2026-03-05T11:02:39.044426,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P1S/ML1/FMoEv2/20260305_094113_021_hparam_P1S_G7_C1_serial_L19.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097500,fmoe_v2,hparam,P1S,2026-03-05T11:50:32.907747,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P1S/ML1/FMoEv2/20260305_104036_759_hparam_P1S_G3_C2_serial_L7.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097500,fmoe_v2,hparam,P2DB,2026-03-06T03:31:19.977434,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P2DB/ML1/FMoEv2/20260305_233151_332_hparam_P2DB_G2_C3_serial_L7_E160_R80_B6144.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097400,fmoe_v2,hparam,P2DB,2026-03-06T03:42:18.418703,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P2DB/ML1/FMoEv2/20260306_000119_039_hparam_P2DB_G6_C3_serial_L7_E128_R64_B4096.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097400,fmoe_v2,hparam,P2DB,2026-03-06T05:37:09.344948,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P2DB/ML1/FMoEv2/20260306_011034_686_hparam_P2DB_G3_C3_serial_L7_E160_R80_B8192.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097300,fmoe_v2,hparam,P1S,2026-03-05T12:25:44.677580,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P1S/ML1/FMoEv2/20260305_104646_080_hparam_P1S_G6_C2_serial_L18.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v3,mrr@20,0.097300,fmoe_v3,hparam,P2ROUTER,2026-03-10T07:24:35.952830,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v3/hparam/P2ROUTER/ML1/FMoEv3/20260310_052919_286_hparam_P2ROUTER_C00_LEGACY.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.097200,fmoe_v2,hparam,P1S,2026-03-05T12:26:23.804680,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P1S/ML1/FMoEv2/20260305_111006_104_hparam_P1S_G5_C2_serial_L16.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.096900,fmoe_v2,hparam,P1S,2026-03-05T14:19:31.661397,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P1S/ML1/FMoEv2/20260305_132301_673_hparam_P1S_G1_C2_parallel_L13.log,0,0,,
movielens1m,movielens1m,FeaturedMoE_v2,mrr@20,0.096900,fmoe_v2,hparam,P2DB,2026-03-06T17:06:46.210152,log_fallback,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_v2/hparam/P2DB/ML1/FMoEv2/20260306_130000_231_hparam_P2DB_G0_C2_parallel_L13_E128_R64_B4096.log,0,0,,
