early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1697,ok,0.1748,0.1681,1
True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1698,ok,0.174,0.1683,2
True,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1701,ok,0.1751,0.1685,3
True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1703,ok,0.1754,0.1689,4
True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1694,ok,0.1765,0.1686,5
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1704,ok,0.1757,0.1694,6
True,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1702,ok,0.174,0.1689,7
True,7,1.0,1.0,0.0,0.05993318185210228,0.0,1.3789339350376033,0.32799553871154785,0.23287665843963623,0.0,0.0,6.901085577813634e-09,1.0,1.0,7.327006552006552,3.985683368295018,7.327006552006552,0.0,1.0,0.0,1.0,-2.847614751759039e-09,1.0000000028476148,2.8378836385480634e-05,0.9999716215662899,2.837903978653433e-05,0.9999716213628946,0.0,0.0,9.286985565110566,7.327006552006552,0.721395190492402,0.1705,ok,0.1746,0.1688,8
True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1693,ok,0.1754,0.1683,9
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1695,ok,0.174,0.1681,10
