early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,14,1.0,1.0,0.0,0.04740201591861343,0.0,1.383652601861595,0.24011728167533875,0.1625334918498993,0.0,0.0,8.177629608780497e-09,1.0,1.0,6.370789823914824,3.9910322467304917,6.370789823914824,0.0,1.0,0.0,1.0,-3.4578179128502617e-09,1.0000000034578178,2.2328635431071497e-05,0.9999776716138511,2.2328777811809085e-05,0.9999776714714735,0.0,0.0,9.35977340977341,6.370789823914824,0.6523784469685247,0.1709,ok,0.1759,0.1684,1
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1705,ok,0.1765,0.168,2
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1652,ok,0.1743,0.1644,3
True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1702,ok,0.1748,0.1684,4
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1697,ok,0.1743,0.1678,5
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1664,ok,0.1751,0.1634,6
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1643,ok,0.174,0.1643,7
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1677,ok,0.1762,0.1664,8
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1671,ok,0.1713,0.1658,9
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1677,ok,0.1762,0.1664,10
