early_stopped,epochs_run,feature_ablation.feature_shuffle_delta_mrr,feature_ablation.feature_zero_delta_mrr,feature_ablation.route_change_under_feature_shuffle,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,-0.0006999999999999992,0.0,0.0,4.22878943950741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.437240750751543,0.0,2.6240997969516378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.867433729101841,0.0,0.0567,ok,0.0987,0.0805,1
True,22,0.0038000000000000117,0.0,0.0,12.274231976161595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.541403819023258,0.0,25.65566953219767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.420554361584305,0.0,0.0763,ok,0.1782,0.158,2
True,11,-0.00010000000000000286,0.0,0.0,4.162886525301936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9089083348715783,0.0,2.633250487843468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1587805643821527,0.0,0.0644,ok,0.1095,0.0979,3
True,27,0.0031999999999999945,0.0,0.0,11.582205415062496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.306127709508992,0.0,19.896400835926375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.681532982173936,0.0,0.0764,ok,0.1794,0.158,4
True,18,0.0031000000000000055,0.0,0.0,11.527017957913612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.829892690918201,0.0,20.884451637571857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.026856771794737,0.0,0.0762,ok,0.1787,0.1577,5
True,21,0.003699999999999995,0.0,0.0,11.638749274827276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.836043886134697,0.0,22.253190100733082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35866235298771,0.0,0.0764,ok,0.179,0.1579,6
True,22,0.003700000000000009,0.0,0.0,12.881533806233849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.104380867306577,0.0,28.56757390169295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.923377590844364,0.0,0.0763,ok,0.1784,0.158,7
True,16,0.0031000000000000055,0.0,0.0,12.798160698275407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.268149672353779,0.0,20.53734112124888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.098477961341702,0.0,0.0761,ok,0.1774,0.1576,8
True,22,0.0032999999999999974,0.0,0.0,12.097533423870049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.536710797821845,0.0,25.318304348399344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.540195170349666,0.0,0.0764,ok,0.1778,0.158,9
True,11,0.0,0.0,0.0,3.992025160197247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3794269528571803,0.0,2.5416886347304994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5305829235008703,0.0,0.0659,ok,0.1398,0.1272,10
