avg_epoch_time_sec,early_stopped,epochs_run,micro_1.alpha_effective,micro_1.alpha_value,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.factored_group_entropy_mean,micro_1.group_cv_usage,micro_1.group_entropy_mean,micro_1.group_n_eff,micro_1.group_top1_max_frac,micro_1.moe_delta_norm,micro_1.n_eff,micro_1.residual_delta_norm,micro_1.route_consistency_feature_group_knn_exposure_js,micro_1.route_consistency_feature_group_knn_exposure_score,micro_1.route_consistency_feature_group_knn_focus_js,micro_1.route_consistency_feature_group_knn_focus_score,micro_1.route_consistency_feature_group_knn_mean_js,micro_1.route_consistency_feature_group_knn_mean_score,micro_1.route_consistency_feature_group_knn_memory_js,micro_1.route_consistency_feature_group_knn_memory_score,micro_1.route_consistency_feature_group_knn_tempo_js,micro_1.route_consistency_feature_group_knn_tempo_score,micro_1.route_consistency_group_knn_js,micro_1.route_consistency_group_knn_score,micro_1.route_consistency_intra_group_knn_mean_js,micro_1.route_consistency_intra_group_knn_mean_score,micro_1.route_consistency_knn_js,micro_1.route_consistency_knn_score,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.shared_delta_norm,micro_1.stage_delta_norm,micro_1.top1_max_frac,mrr@20,status,test_eval_targets_per_sec,test_eval_time_sec,test_hr@10,test_mrr@20,trial
23.085835858395225,True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3714,ok,18941.041277830718,1.1076476573944092,0.5614,0.3718,1
24.625469094828556,True,19,1.0,1.0,0.0,0.2044943137617614,0.0,2.286605845507383,0.8926363587379456,0.6796090006828308,0.0,0.09239558175267043,1.3389189456193056,3.9661417788189905,0.2936852026390198,14.844512066229614,11.518327684205396,14.844512066229614,0.024135176741343415,0.9761537475563552,0.04044244199262185,0.9603644395841355,0.03529208885289016,0.9653440270581248,0.03912671642713497,0.961628847253824,0.03746402025046041,0.9632290738381848,0.008048486939353179,0.9919838154118759,0.01570611569155049,0.9844200955476027,0.023755117643312493,0.9765248141783472,0.6115776586021969,0.38388054431663166,8.339114440963213,14.844512066229614,0.19061262959472197,0.3718,ok,18534.447730461336,1.131946325302124,0.5613,0.3719,2
23.201670071657965,True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3705,ok,18853.050034986656,1.1128172874450684,0.56,0.3698,3
