avg_epoch_time_sec,early_stopped,epochs_run,mrr@20,status,test_hr@10,test_inference_time_sec,test_mrr@20,trial
0.21940064430236816,True,11,0.0028,ok,0.0,0.024328947067260742,0.0001,1
0.16077720324198405,True,15,0.0035,ok,0.0029,0.01897454261779785,0.0005,2
0.18039092264677348,True,19,0.0034,ok,0.0,0.01983785629272461,0.0004,3
0.1531198501586914,True,15,0.0035,ok,0.0,0.018694400787353516,0.0005,4
0.1588977575302124,True,14,0.0036,ok,0.0,0.019834280014038086,0.0005,5
0.15559901793797812,True,12,0.0029,ok,0.0,0.019214868545532227,0.0,6
0.1782127995240061,True,38,0.0098,ok,0.0029,0.01838397979736328,0.0035,7
0.15037432312965393,True,16,0.0035,ok,0.0,0.02061176300048828,0.0006,8
0.1786932349205017,True,16,0.0034,ok,0.0,0.018489837646484375,0.0005,9
0.16387403011322021,True,16,0.0034,ok,0.0,0.018680334091186523,0.0005,10
0.17818520235460858,True,43,0.0102,ok,0.0029,0.018960952758789062,0.0032,11
0.1567707187251041,True,19,0.0032,ok,0.0029,0.01893138885498047,0.0011,12
0.15638273640682823,True,19,0.0031,ok,0.0029,0.024784564971923828,0.0011,13
0.16374483861421285,True,19,0.0033,ok,0.0029,0.029762983322143555,0.0009,14
0.15551465436031944,True,19,0.0036,ok,0.0,0.018137693405151367,0.0006,15
0.18200141588846844,True,15,0.0036,ok,0.0,0.019992351531982422,0.0006,16
