early_stopped,epochs_run,feature_ablation.feature_shuffle_delta_mrr,feature_ablation.feature_zero_delta_mrr,feature_ablation.route_change_under_feature_shuffle,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.n_eff,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.stage_delta_norm,micro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,41,0.004599999999999993,0.0,0.0,6.103292531380202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.336024603132746,0.0,7.717926352117504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.640865378276462,0.0,4.0940785938900905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3174014259532725,0.0,0.076,ok,0.1788,0.1562,1
True,65,0.0058,0.0,0.0,11.424405193555192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7599512650967775,0.0,7.651948077633036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.351558462106429,0.0,9.186625590026898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.291604972047888,0.0,0.0767,ok,0.1792,0.1574,2
True,17,0.003799999999999998,0.0,0.0,8.854813004324667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9470414601023154,0.0,6.281061949527978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.221307057908338,0.0,5.766673863456568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.822567498747429,0.0,0.0761,ok,0.1781,0.1565,3
True,14,0.004600000000000007,0.0,0.0,11.143848722377511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.639398304414324,0.0,7.661364115816676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887639101313221,0.0,11.168664462581088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034226834027741,0.0,0.0761,ok,0.1768,0.1573,4
True,17,0.0050000000000000044,0.0,0.0,12.736338734771373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.671321520159801,0.0,7.434304625283477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.718978099783767,0.0,10.879398502188703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.511594934998154,0.0,0.0766,ok,0.1787,0.158,5
True,34,0.004799999999999999,0.0,0.0,7.3747767621697164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.063180920705659,0.0,7.6322059094984445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75910833421233,0.0,5.51280374848373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.973524149899794,0.0,0.0761,ok,0.1782,0.157,6
True,65,0.005499999999999991,0.0,0.0,11.379816630188282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967596934167502,0.0,7.506889552898054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.704095083328938,0.0,8.796020944306735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.267985849243184,0.0,0.0768,ok,0.1791,0.1571,7
True,74,0.0059000000000000025,0.0,0.0,10.755561909973103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.403071518511682,0.0,8.071933096223828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.811278248773799,0.0,8.786531729602869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96441556846949,0.0,0.0764,ok,0.1788,0.1574,8
True,29,0.005299999999999999,0.0,0.0,9.757624861557934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.018797301038974,0.0,7.120655061705606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.941479055693265,0.0,7.809156212093244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9947671371499394,0.0,0.0764,ok,0.1787,0.1574,9
True,41,0.005700000000000011,0.0,0.0,9.991402418121407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.190087795343072,0.0,7.755000807578714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.709510640261589,0.0,8.34798031156057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.098471945704341,0.0,0.0763,ok,0.1789,0.1575,10
