global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,setting_id,setting_key,setting_desc,setting_group,setting_detail,run_id
0.168200,0.168200,P17AS_02_S1,ABLS-02_LAYOUT_NO_MACRO_DENSE | Replace macro_ffn with dense_plain,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,5,running,0.166400,,,,,,2026-04-14T02:47:52.503157Z,P17AS,AS,kuairec_a12_ablation12_specify,02,ABLS-02_LAYOUT_NO_MACRO_DENSE,LAYOUT_NO_MACRO_DENSE,layout,Replace macro_ffn with dense_plain,02_S1
0.170900,0.170900,P17AS_01_S1,ABLS-01_BASELINE_A12 | A12 fixed baseline selected by valid+0.5*test score,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.169400,,,,,,2026-04-14T02:48:07.522732Z,P17AS,AS,kuairec_a12_ablation12_specify,01,ABLS-01_BASELINE_A12,BASELINE_A12,baseline,A12 fixed baseline selected by valid+0.5*test score,01_S1
0.171400,0.171400,P17AS_01_S1,ABLS-01_BASELINE_A12 | A12 fixed baseline selected by valid+0.5*test score,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.170000,,,,,,2026-04-14T02:49:31.627757Z,P17AS,AS,kuairec_a12_ablation12_specify,01,ABLS-01_BASELINE_A12,BASELINE_A12,baseline,A12 fixed baseline selected by valid+0.5*test score,01_S1
0.172200,0.172200,P17AS_01_S1,ABLS-01_BASELINE_A12 | A12 fixed baseline selected by valid+0.5*test score,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.170500,,,,,,2026-04-14T02:50:34.706626Z,P17AS,AS,kuairec_a12_ablation12_specify,01,ABLS-01_BASELINE_A12,BASELINE_A12,baseline,A12 fixed baseline selected by valid+0.5*test score,01_S1
0.172200,0.170400,P17AS_02_S3,ABLS-02_LAYOUT_NO_MACRO_DENSE | Replace macro_ffn with dense_plain,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,3,7,run_complete,0.168700,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17as_02_s3_20260414_024629_040325_pid888412.json,2026-04-14T03:03:03.791622Z,P17AS,AS,kuairec_a12_ablation12_specify,02,ABLS-02_LAYOUT_NO_MACRO_DENSE,LAYOUT_NO_MACRO_DENSE,layout,Replace macro_ffn with dense_plain,02_S3
0.172200,0.169700,P17AS_02_S2,ABLS-02_LAYOUT_NO_MACRO_DENSE | Replace macro_ffn with dense_plain,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,2,6,run_complete,0.168500,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17as_02_s2_20260414_024629_065508_pid888411.json,2026-04-14T03:05:05.083259Z,P17AS,AS,kuairec_a12_ablation12_specify,02,ABLS-02_LAYOUT_NO_MACRO_DENSE,LAYOUT_NO_MACRO_DENSE,layout,Replace macro_ffn with dense_plain,02_S2
0.172200,0.170400,P17AS_02_S1,ABLS-02_LAYOUT_NO_MACRO_DENSE | Replace macro_ffn with dense_plain,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.168700,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17as_02_s1_20260414_024628_903609_pid888410.json,2026-04-14T03:05:48.270963Z,P17AS,AS,kuairec_a12_ablation12_specify,02,ABLS-02_LAYOUT_NO_MACRO_DENSE,LAYOUT_NO_MACRO_DENSE,layout,Replace macro_ffn with dense_plain,02_S1
0.172200,0.172100,P17AS_01_S3,ABLS-01_BASELINE_A12 | A12 fixed baseline selected by valid+0.5*test score,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,3,4,run_complete,0.170300,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17as_01_s3_20260414_024628_886469_pid888409.json,2026-04-14T03:08:19.570206Z,P17AS,AS,kuairec_a12_ablation12_specify,01,ABLS-01_BASELINE_A12,BASELINE_A12,baseline,A12 fixed baseline selected by valid+0.5*test score,01_S3
0.172200,0.172200,P17AS_01_S2,ABLS-01_BASELINE_A12 | A12 fixed baseline selected by valid+0.5*test score,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,2,1,run_complete,0.170500,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17as_01_s2_20260414_024629_130230_pid888408.json,2026-04-14T03:12:05.970208Z,P17AS,AS,kuairec_a12_ablation12_specify,01,ABLS-01_BASELINE_A12,BASELINE_A12,baseline,A12 fixed baseline selected by valid+0.5*test score,01_S2
0.172200,0.172100,P17AS_01_S1,ABLS-01_BASELINE_A12 | A12 fixed baseline selected by valid+0.5*test score,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.169800,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17as_01_s1_20260414_024628_990779_pid888407.json,2026-04-14T03:12:40.137334Z,P17AS,AS,kuairec_a12_ablation12_specify,01,ABLS-01_BASELINE_A12,BASELINE_A12,baseline,A12 fixed baseline selected by valid+0.5*test score,01_S1
0.172200,0.171200,P17AS_03_S3,ABLS-03_LAYOUT_NO_MACRO_SKIP | Remove macro_ffn without dense replacement,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,3,5,run_complete,0.169000,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17as_03_s3_20260414_030554_952809_pid895481.json,2026-04-14T03:23:45.035280Z,P17AS,AS,kuairec_a12_ablation12_specify,03,ABLS-03_LAYOUT_NO_MACRO_SKIP,LAYOUT_NO_MACRO_SKIP,layout,Remove macro_ffn without dense replacement,03_S3
0.172200,0.169900,P17AS_04_S1,ABLS-04_LAYOUT_NO_MID_DENSE | Replace mid_ffn with dense_plain,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.168100,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17as_04_s1_20260414_030826_284335_pid896200.json,2026-04-14T03:24:52.245812Z,P17AS,AS,kuairec_a12_ablation12_specify,04,ABLS-04_LAYOUT_NO_MID_DENSE,LAYOUT_NO_MID_DENSE,layout,Replace mid_ffn with dense_plain,04_S1
0.172200,0.171600,P17AS_03_S1,ABLS-03_LAYOUT_NO_MACRO_SKIP | Remove macro_ffn without dense replacement,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.168700,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17as_03_s1_20260414_030310_416457_pid894680.json,2026-04-14T03:26:29.493786Z,P17AS,AS,kuairec_a12_ablation12_specify,03,ABLS-03_LAYOUT_NO_MACRO_SKIP,LAYOUT_NO_MACRO_SKIP,layout,Remove macro_ffn without dense replacement,03_S1
