early_stopped,epochs_run,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.n_eff,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.stage_delta_norm,micro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0554,ok,0.1247,0.0991,1
True,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1848,0.1585,2
True,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1862,0.1598,3
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,ok,0.126,0.1008,4
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0563,ok,0.1268,0.1025,5
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0795,ok,0.1848,0.1598,6
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1828,0.1587,7
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0543,ok,0.1227,0.0958,8
True,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1863,0.1594,9
True,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1839,0.16,10
True,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,ok,0.1851,0.16,11
True,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1853,0.16,12
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0549,ok,0.1235,0.0974,13
True,31,0.0,0.24101710346290162,0.0,1.8189025192995232,0.6316068172454834,0.18851953744888306,11.34119822945199,0.0,0.0,3.4675770743236116,0.19114162790541583,0.0,0.4966549725337335,0.0,1.996358538144315,0.7258689403533936,0.09180543571710587,9.625672336481106,0.3999022112481512,0.2386539959478466,2.8475163709802356,0.6274870404302778,0.0,0.3088649642805766,0.0,1.9842556626803545,0.5019348859786987,0.12084272503852844,10.95492700101389,0.0,0.0,3.9307936150189864,0.1598798121561547,0.0799,ok,0.1848,0.1602,14
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1835,0.1597,15
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1853,0.1596,16
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0565,ok,0.1278,0.1029,17
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0554,ok,0.1247,0.099,18
True,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799,ok,0.1851,0.1604,19
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0543,ok,0.1236,0.0981,20
