dataset,slice_name,relative_gain,route_concentration,dominant_family
Beauty,Repeat-prone,0.011,0.68,Memory
Beauty,Fast-moving,0.015,0.61,Tempo
Beauty,Narrow-focus,0.007,0.72,Focus
Beauty,Exploratory,0.014,0.57,Exposure
KuaiRec,Repeat-prone,0.008,0.64,Memory
KuaiRec,Fast-moving,0.014,0.60,Tempo
KuaiRec,Narrow-focus,0.006,0.67,Focus
KuaiRec,Exploratory,0.013,0.56,Exposure
Retail Rocket,Repeat-prone,0.006,0.66,Memory
Retail Rocket,Fast-moving,0.011,0.59,Tempo
Retail Rocket,Narrow-focus,0.005,0.69,Focus
Retail Rocket,Exploratory,0.010,0.55,Exposure
