slice_name,family,value
Repeat-prone,Tempo,0.34
Repeat-prone,Focus,0.49
Repeat-prone,Memory,0.88
Repeat-prone,Exposure,0.41
Fast-moving,Tempo,0.91
Fast-moving,Focus,0.37
Fast-moving,Memory,0.29
Fast-moving,Exposure,0.45
Narrow-focus,Tempo,0.36
Narrow-focus,Focus,0.93
Narrow-focus,Memory,0.47
Narrow-focus,Exposure,0.32
Exploratory,Tempo,0.58
Exploratory,Focus,0.33
Exploratory,Memory,0.28
Exploratory,Exposure,0.89
