dataset,variant,ndcg20,effective_experts,route_entropy,top_share
Beauty,dense_global,0.108,7.8,1.92,0.23
Beauty,global_top8,0.107,6.0,1.73,0.33
Beauty,global_top4,0.106,4.2,1.47,0.46
Beauty,global_top2,0.103,2.4,0.98,0.66
Beauty,group_dense,0.107,5.4,1.64,0.35
Beauty,group_top2,0.105,3.6,1.21,0.56
Beauty,group_top1,0.104,2.5,0.86,0.72
KuaiRec,dense_global,0.152,7.4,1.85,0.25
KuaiRec,global_top8,0.151,5.9,1.66,0.34
KuaiRec,global_top4,0.150,4.1,1.42,0.48
KuaiRec,global_top2,0.147,2.3,0.95,0.67
KuaiRec,group_dense,0.151,5.2,1.57,0.37
KuaiRec,group_top2,0.149,3.5,1.18,0.58
KuaiRec,group_top1,0.148,2.4,0.84,0.73
Retail Rocket,dense_global,0.355,7.6,1.88,0.24
Retail Rocket,global_top8,0.355,6.1,1.71,0.32
Retail Rocket,global_top4,0.353,4.4,1.46,0.45
Retail Rocket,global_top2,0.349,2.5,0.99,0.64
Retail Rocket,group_dense,0.354,5.5,1.61,0.36
Retail Rocket,group_top2,0.352,3.8,1.20,0.54
Retail Rocket,group_top1,0.351,2.6,0.88,0.70
ML-1M,dense_global,0.096,7.3,1.76,0.27
ML-1M,global_top8,0.096,5.8,1.58,0.36
ML-1M,global_top4,0.095,4.0,1.34,0.49
ML-1M,global_top2,0.093,2.2,0.91,0.68
ML-1M,group_dense,0.095,5.0,1.49,0.39
ML-1M,group_top2,0.094,3.3,1.10,0.60
ML-1M,group_top1,0.093,2.3,0.79,0.75
