dataset,slice_name,variant,ndcg20,hr10
Beauty,repeat-heavy,best_baseline,0.086,0.141
Beauty,repeat-heavy,shared_ffn,0.089,0.145
Beauty,repeat-heavy,dense_route_rec,0.095,0.152
Beauty,repeat-heavy,group_top1,0.094,0.151
Beauty,fast-tempo,best_baseline,0.078,0.134
Beauty,fast-tempo,shared_ffn,0.081,0.138
Beauty,fast-tempo,dense_route_rec,0.089,0.147
Beauty,fast-tempo,group_top1,0.09,0.148
Beauty,focused,best_baseline,0.091,0.147
Beauty,focused,shared_ffn,0.093,0.149
Beauty,focused,dense_route_rec,0.097,0.154
Beauty,focused,group_top1,0.096,0.153
Beauty,exploration-heavy,best_baseline,0.074,0.127
Beauty,exploration-heavy,shared_ffn,0.079,0.133
Beauty,exploration-heavy,dense_route_rec,0.088,0.144
Beauty,exploration-heavy,group_top1,0.089,0.145
KuaiRec,repeat-heavy,best_baseline,0.143,0.177
KuaiRec,repeat-heavy,shared_ffn,0.146,0.181
KuaiRec,repeat-heavy,dense_route_rec,0.151,0.187
KuaiRec,repeat-heavy,group_top1,0.15,0.186
KuaiRec,fast-tempo,best_baseline,0.139,0.172
KuaiRec,fast-tempo,shared_ffn,0.144,0.178
KuaiRec,fast-tempo,dense_route_rec,0.153,0.188
KuaiRec,fast-tempo,group_top1,0.154,0.189
KuaiRec,focused,best_baseline,0.141,0.174
KuaiRec,focused,shared_ffn,0.145,0.179
KuaiRec,focused,dense_route_rec,0.149,0.184
KuaiRec,focused,group_top1,0.149,0.185
KuaiRec,exploration-heavy,best_baseline,0.136,0.169
KuaiRec,exploration-heavy,shared_ffn,0.141,0.175
KuaiRec,exploration-heavy,dense_route_rec,0.152,0.186
KuaiRec,exploration-heavy,group_top1,0.153,0.187
Retail Rocket,repeat-heavy,best_baseline,0.352,0.462
Retail Rocket,repeat-heavy,shared_ffn,0.355,0.467
Retail Rocket,repeat-heavy,dense_route_rec,0.359,0.472
Retail Rocket,repeat-heavy,group_top1,0.358,0.47
Retail Rocket,fast-tempo,best_baseline,0.344,0.455
Retail Rocket,fast-tempo,shared_ffn,0.349,0.461
Retail Rocket,fast-tempo,dense_route_rec,0.356,0.469
Retail Rocket,fast-tempo,group_top1,0.355,0.467
Retail Rocket,focused,best_baseline,0.347,0.458
Retail Rocket,focused,shared_ffn,0.351,0.463
Retail Rocket,focused,dense_route_rec,0.355,0.467
Retail Rocket,focused,group_top1,0.356,0.468
Retail Rocket,exploration-heavy,best_baseline,0.338,0.449
Retail Rocket,exploration-heavy,shared_ffn,0.344,0.456
Retail Rocket,exploration-heavy,dense_route_rec,0.353,0.466
Retail Rocket,exploration-heavy,group_top1,0.352,0.465
