dataset,variant,effective_experts,route_entropy,group_effective,top_share
Beauty,dense_route_rec,6.8,1.47,3.6,0.34
Beauty,global_top4,4.0,1.19,2.8,0.42
Beauty,group_top1,4.0,1.02,4.0,0.49
Beauty,sequence_only,5.7,1.38,3.2,0.37
Beauty,shared_ffn,1.0,0.0,1.0,1.0
KuaiRec,dense_route_rec,7.1,1.5,3.7,0.33
KuaiRec,global_top4,4.0,1.16,2.9,0.45
KuaiRec,group_top1,4.0,0.98,4.0,0.52
KuaiRec,sequence_only,5.9,1.41,3.3,0.36
KuaiRec,shared_ffn,1.0,0.0,1.0,1.0
Retail Rocket,dense_route_rec,6.5,1.39,3.4,0.36
Retail Rocket,global_top4,4.0,1.11,2.7,0.46
Retail Rocket,group_top1,4.0,0.94,4.0,0.53
Retail Rocket,sequence_only,5.6,1.31,3.1,0.39
Retail Rocket,shared_ffn,1.0,0.0,1.0,1.0
