dataset,variant,ndcg20,hr10
Beauty,dense_global,0.113,0.171
Beauty,global_top2,0.111,0.168
Beauty,global_top4,0.112,0.17
Beauty,group_dense,0.115,0.174
Beauty,group_top1,0.114,0.173
Beauty,group_top2,0.115,0.175
KuaiRec,dense_global,0.156,0.189
KuaiRec,global_top2,0.153,0.186
KuaiRec,global_top4,0.155,0.188
KuaiRec,group_dense,0.158,0.191
KuaiRec,group_top1,0.156,0.189
KuaiRec,group_top2,0.157,0.19
Retail Rocket,dense_global,0.358,0.472
Retail Rocket,global_top2,0.353,0.467
Retail Rocket,global_top4,0.356,0.47
Retail Rocket,group_dense,0.361,0.475
Retail Rocket,group_top1,0.359,0.473
Retail Rocket,group_top2,0.36,0.474
ML-1M,dense_global,0.094,0.154
ML-1M,global_top2,0.095,0.155
ML-1M,global_top4,0.095,0.156
ML-1M,group_dense,0.094,0.154
ML-1M,group_top1,0.096,0.157
ML-1M,group_top2,0.095,0.156
