Family,Macro,Mid,Micro
Tempo,Context-valid ratio; inter-session gap; pace trend,Prefix-valid ratio; mean/std interval; session age,Last gap; short-window pace; pace deviation
Focus,Theme entropy; dominant mass; shift rate,Category entropy; top-1 mass; switch rate,Immediate switch; suffix entropy; suffix uniqueness
Memory,Repeat intensity; overlap; repeat trend,Item uniqueness; repeat rate; novelty rate,Reconsumption flag; suffix repeat rate; longest run
Exposure,Mean popularity; spread; entropy; trend,Popularity mean/std; entropy; drift,Last-item popularity; suffix spread; entropy
