dataset,variant,ndcg20,hr10
Beauty,SASRec,0.084,0.135
Beauty,BSARec,0.034,0.052
Beauty,DuoRec,0.083,0.115
Beauty,RouteRec,0.108,0.162
Foursquare,SASRec,0.217,0.323
Foursquare,BSARec,0.174,0.246
Foursquare,DuoRec,0.209,0.32
Foursquare,RouteRec,0.218,0.323
KuaiRec,SASRec,0.1,0.106
KuaiRec,BSARec,0.089,0.092
KuaiRec,DuoRec,0.097,0.1
KuaiRec,RouteRec,0.111,0.106
Retail Rocket,SASRec,0.428,0.561
Retail Rocket,BSARec,0.403,0.47
Retail Rocket,DuoRec,0.406,0.538
Retail Rocket,RouteRec,0.433,0.561
