Aspect,Main paper configuration
Backbone layout,self-attention -> macro -> mid -> self-attention -> micro
Stage execution,Serial
Routing granularity,"Macro/mid sequence-wise, micro position-wise"
Router composition,Shared scalar-group conditional router
Expert mixing,Dense softmax mixture
Macro history window,H=5 recent sessions
Core auxiliary terms,Route consistency + z-loss
