dataset,metric,SASRec,GRU4Rec,TiSASRec,FEARec,DuoRec,BSARec,FAME,DIF-SR,FDSA,RouteRec
Beauty,HR@10,0.135,0.072,0.132,0.126,0.115,0.052,0.032,0.106,0.135,0.162
Beauty,NDCG@10,0.075,0.034,0.088,0.07,0.068,0.032,0.021,0.069,0.091,0.098
Beauty,MRR@20,0.059,0.025,0.077,0.054,0.057,0.026,0.019,0.059,0.081,0.082
Retail Rocket,HR@10,0.561,0.521,0.544,0.544,0.538,0.47,0.47,0.437,0.513,0.561
Retail Rocket,NDCG@10,0.41,0.386,0.396,0.394,0.386,0.396,0.393,0.39,0.365,0.415
Retail Rocket,MRR@20,0.367,0.348,0.355,0.352,0.344,0.374,0.371,0.374,0.324,0.374
Foursquare,HR@10,0.323,0.213,0.316,0.304,0.32,0.246,0.255,0.303,0.3,0.323
Foursquare,NDCG@10,0.201,0.146,0.202,0.193,0.196,0.164,0.165,0.198,0.2,0.204
Foursquare,MRR@20,0.168,0.128,0.17,0.162,0.161,0.141,0.14,0.169,0.172,0.171
ML-1M,HR@10,0.148,0.141,0.154,0.149,0.152,0.159,0.156,0.15,0.159,0.156
ML-1M,NDCG@10,0.077,0.074,0.084,0.072,0.081,0.085,0.085,0.076,0.084,0.077
ML-1M,MRR@20,0.061,0.059,0.069,0.055,0.065,0.068,0.069,0.06,0.066,0.059
LastFM,HR@10,0.399,0.309,0.378,0.377,0.383,0.345,0.331,0.362,0.366,0.379
LastFM,NDCG@10,0.327,0.267,0.32,0.317,0.308,0.302,0.29,0.315,0.317,0.325
LastFM,MRR@20,0.305,0.256,0.303,0.299,0.286,0.29,0.278,0.302,0.303,0.31
KuaiRec,HR@10,0.106,0.095,0.101,0.101,0.1,0.092,0.101,0.092,0.097,0.106
KuaiRec,NDCG@10,0.094,0.079,0.092,0.092,0.092,0.089,0.092,0.087,0.087,0.097
KuaiRec,MRR@20,0.092,0.075,0.089,0.09,0.091,0.088,0.09,0.086,0.084,0.095
All,AvgRank↓,3.42,9.06,3.72,5.92,5.69,6.56,6.86,6.42,5.14,2.22
