paper_section,panel,behavior_group,stage,expert_family,usage,split,selection_rule,run_id,source_path,notes,status
Q2,Q2_profile,repeat-heavy,macro,memory,0.42,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,macro,focus,0.18,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,macro,tempo,0.15,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,macro,exposure,0.25,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,mid,memory,0.39,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,mid,focus,0.23,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,mid,tempo,0.12,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,mid,exposure,0.26,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,micro,memory,0.33,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,micro,focus,0.31,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,micro,tempo,0.09,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,repeat-heavy,micro,exposure,0.27,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,fast-tempo,macro,memory,0.16,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,fast-tempo,macro,focus,0.14,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,fast-tempo,macro,tempo,0.44,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,fast-tempo,macro,exposure,0.26,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,fast-tempo,mid,memory,0.18,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,fast-tempo,mid,focus,0.19,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,fast-tempo,mid,tempo,0.37,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,fast-tempo,mid,exposure,0.26,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,focused,macro,memory,0.21,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,focused,macro,focus,0.38,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,focused,macro,tempo,0.1,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,focused,macro,exposure,0.31,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,exploration-heavy,macro,memory,0.14,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,exploration-heavy,macro,focus,0.17,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,exploration-heavy,macro,tempo,0.24,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
Q2,Q2_profile,exploration-heavy,macro,exposure,0.45,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/group_profile.csv,Placeholder profile until diag logging is exported.,placeholder_requires_logging
