paper_section,panel,case_name,stage,expert_group,expert_member,usage,split,selection_rule,run_id,source_path,notes,status
Q2,Q2_intragroup,repeat-heavy user,macro,memory,e1,0.30,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,macro,memory,e2,0.11,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,macro,memory,e3,0.05,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,macro,memory,e4,0.02,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,mid,memory,e1,0.24,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,mid,memory,e2,0.10,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,mid,memory,e3,0.04,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,mid,memory,e4,0.01,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,micro,memory,e1,0.18,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,micro,memory,e2,0.09,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,micro,memory,e3,0.05,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,repeat-heavy user,micro,memory,e4,0.03,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,macro,exposure,e1,0.07,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,macro,exposure,e2,0.13,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,macro,exposure,e3,0.17,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,macro,exposure,e4,0.10,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,mid,exposure,e1,0.06,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,mid,exposure,e2,0.11,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,mid,exposure,e3,0.15,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,mid,exposure,e4,0.09,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,micro,exposure,e1,0.04,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,micro,exposure,e2,0.09,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,micro,exposure,e3,0.14,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,exploratory user,micro,exposure,e4,0.10,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,macro,focus,e1,0.09,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,macro,focus,e2,0.18,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,macro,focus,e3,0.07,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,macro,focus,e4,0.04,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,mid,focus,e1,0.07,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,mid,focus,e2,0.20,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,mid,focus,e3,0.09,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,mid,focus,e4,0.05,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,micro,focus,e1,0.05,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,micro,focus,e2,0.22,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,micro,focus,e3,0.12,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
Q2,Q2_intragroup,focused user,micro,focus,e4,0.07,test,external_grouping,template_profile,experiments/run/fmoe_n4/diag_exports/intragroup_profile.csv,Placeholder case profile until within-family expert weights are exported for representative sessions.,placeholder_requires_logging
