stage,expert_label,usage
macro,E1,0.12
macro,E2,0.14
macro,E3,0.11
macro,E4,0.13
mid,E1,0.18
mid,E2,0.24
mid,E3,0.2
mid,E4,0.19
micro,E1,0.26
micro,E2,0.31
micro,E3,0.24
micro,E4,0.19
