dataset,metric,SASRec,GRU4Rec,TiSASRec,FEARec,DuoRec,BSARec,FAME,DIF-SR,FDSA,RouteRec
Beauty,HR@5,0.097,0.076,0.099,0.093,0.096,0.09,0.088,0.091,0.095,0.105
Beauty,HR@10,0.117,0.091,0.119,0.113,0.116,0.109,0.107,0.11,0.114,0.127
Beauty,HR@20,0.142,0.111,0.145,0.137,0.14,0.132,0.129,0.134,0.139,0.154
Beauty,NDCG@5,0.074,0.058,0.075,0.071,0.073,0.069,0.067,0.07,0.072,0.08
Beauty,NDCG@10,0.09,0.071,0.092,0.087,0.089,0.084,0.082,0.085,0.088,0.098
Beauty,NDCG@20,0.098,0.077,0.101,0.095,0.097,0.092,0.09,0.093,0.096,0.107
Beauty,MRR@5,0.066,0.052,0.068,0.064,0.066,0.062,0.06,0.063,0.065,0.072
Beauty,MRR@10,0.072,0.056,0.073,0.069,0.071,0.067,0.066,0.068,0.07,0.078
Beauty,MRR@20,0.075,0.059,0.077,0.073,0.075,0.071,0.069,0.071,0.074,0.082
Retail Rocket,HR@5,0.441,0.345,0.45,0.426,0.436,0.412,0.402,0.417,0.431,0.479
Retail Rocket,HR@10,0.534,0.418,0.545,0.516,0.528,0.499,0.487,0.505,0.522,0.58
Retail Rocket,HR@20,0.647,0.506,0.661,0.626,0.64,0.605,0.591,0.612,0.633,0.703
Retail Rocket,NDCG@5,0.338,0.264,0.345,0.327,0.334,0.316,0.308,0.319,0.33,0.367
Retail Rocket,NDCG@10,0.409,0.32,0.418,0.396,0.405,0.383,0.374,0.387,0.401,0.445
Retail Rocket,NDCG@20,0.451,0.353,0.461,0.436,0.446,0.421,0.412,0.426,0.441,0.49
Retail Rocket,MRR@5,0.303,0.237,0.309,0.293,0.299,0.283,0.276,0.286,0.296,0.329
Retail Rocket,MRR@10,0.327,0.256,0.334,0.316,0.323,0.305,0.298,0.309,0.32,0.355
Retail Rocket,MRR@20,0.344,0.269,0.352,0.333,0.34,0.322,0.314,0.325,0.337,0.374
Foursquare,HR@5,0.201,0.158,0.206,0.195,0.199,0.188,0.184,0.191,0.197,0.219
Foursquare,HR@10,0.244,0.191,0.249,0.236,0.241,0.228,0.223,0.231,0.239,0.265
Foursquare,HR@20,0.295,0.231,0.302,0.286,0.292,0.276,0.27,0.279,0.289,0.321
Foursquare,NDCG@5,0.155,0.121,0.158,0.15,0.153,0.144,0.141,0.146,0.151,0.168
Foursquare,NDCG@10,0.187,0.146,0.191,0.181,0.185,0.175,0.171,0.177,0.183,0.203
Foursquare,NDCG@20,0.206,0.161,0.211,0.199,0.204,0.193,0.188,0.195,0.202,0.224
Foursquare,MRR@5,0.138,0.108,0.141,0.134,0.137,0.129,0.126,0.131,0.135,0.15
Foursquare,MRR@10,0.149,0.117,0.152,0.144,0.147,0.139,0.136,0.141,0.146,0.162
Foursquare,MRR@20,0.157,0.123,0.161,0.152,0.156,0.147,0.144,0.149,0.154,0.171
ML-1M,HR@5,0.07,0.055,0.071,0.068,0.069,0.065,0.064,0.066,0.068,0.076
ML-1M,HR@10,0.084,0.066,0.086,0.081,0.083,0.078,0.076,0.079,0.082,0.091
ML-1M,HR@20,0.102,0.08,0.104,0.099,0.101,0.095,0.093,0.097,0.1,0.111
ML-1M,NDCG@5,0.053,0.042,0.055,0.052,0.053,0.05,0.049,0.05,0.052,0.058
ML-1M,NDCG@10,0.064,0.05,0.066,0.062,0.064,0.06,0.059,0.061,0.063,0.07
ML-1M,NDCG@20,0.071,0.055,0.072,0.069,0.07,0.066,0.065,0.067,0.069,0.077
ML-1M,MRR@5,0.048,0.037,0.049,0.046,0.047,0.045,0.044,0.045,0.047,0.052
ML-1M,MRR@10,0.052,0.04,0.053,0.05,0.051,0.048,0.047,0.049,0.05,0.056
ML-1M,MRR@20,0.054,0.042,0.055,0.053,0.054,0.051,0.05,0.051,0.053,0.059
LastFM,HR@5,0.365,0.286,0.373,0.353,0.361,0.341,0.333,0.345,0.357,0.397
LastFM,HR@10,0.442,0.346,0.451,0.427,0.437,0.413,0.403,0.418,0.432,0.48
LastFM,HR@20,0.536,0.42,0.548,0.519,0.531,0.501,0.49,0.507,0.525,0.583
LastFM,NDCG@5,0.28,0.219,0.286,0.271,0.277,0.261,0.255,0.264,0.274,0.304
LastFM,NDCG@10,0.339,0.266,0.347,0.328,0.336,0.317,0.31,0.321,0.332,0.369
LastFM,NDCG@20,0.374,0.292,0.382,0.361,0.369,0.349,0.341,0.353,0.365,0.406
