early_stopped,epochs_run,feature_ablation.feature_shuffle_delta_mrr,feature_ablation.feature_zero_delta_mrr,feature_ablation.route_change_under_feature_shuffle,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,0.0,0.0,0.0,0.0,0.14564195275306702,0.0,1.342788629101274,0.1673354208469391,0.08719053864479065,3.9169158531141615,0.0,0.0,0.0,0.5334899995859042,0.0661,ok,0.1398,0.127,1
True,11,0.0,0.0,0.0,0.0,0.1620900183916092,0.0,1.3357122545188207,0.14602550864219666,0.05392220988869667,3.8975974456510882,0.0,0.0,0.0,0.5553024969978053,0.0664,ok,0.1462,0.1366,2
True,11,0.0,0.0,0.0,0.0,0.1204810810375858,0.0,1.3339347023729415,0.13389189541339874,0.0195179283618927,3.942768202666534,0.0,0.0,0.0,0.47049912349717726,0.0665,ok,0.1495,0.1434,3
True,17,0.0005000000000000004,0.0,0.0,0.0,0.14368344209691536,0.0,1.0687180962893563,-0.02066599205136299,-0.2508687376976013,3.919090750882701,0.0,0.0,0.0,0.3896193079078499,0.0758,ok,0.1785,0.1559,4
True,26,0.00040000000000001146,0.0,0.0,0.0,0.2847028970718384,0.0,1.0501516949459604,0.029217205941677094,-0.13327503204345703,3.700086662116878,0.0,0.0,0.0,0.4970288624787776,0.0758,ok,0.1791,0.1562,5
True,22,0.0002999999999999947,0.0,0.0,0.0,0.28439152240753174,0.0,1.003447199439763,0.30628299713134766,-0.03417208790779114,3.700693068662667,0.0,0.0,0.0,0.469253385233343,0.0759,ok,0.1788,0.1572,6
True,11,0.0,0.0,0.0,0.0,0.12466032803058624,0.0,1.3335078952113268,0.1363624632358551,0.021921569481492043,3.938790707982469,0.0,0.0,0.0,0.48166245669247865,0.0667,ok,0.1508,0.1451,7
True,17,0.00020000000000000573,0.0,0.0,0.0,0.28261077404022217,0.0,0.9680746949062763,0.47237375378608704,0.16089792549610138,3.7041537121205095,0.0,0.0,0.0,0.4263979184783359,0.0758,ok,0.1783,0.1575,8
True,17,0.0003000000000000086,0.0,0.0,0.0,0.2563113272190094,0.0,0.9606995364391383,0.4030531942844391,0.10473009943962097,3.7534168640725536,0.0,0.0,0.0,0.42699490662139217,0.0757,ok,0.1783,0.1573,9
True,62,0.0003999999999999976,0.0,0.0,0.0,0.27801476585953033,0.0,1.0293503084582523,0.20393991470336914,-0.05558906868100166,3.713013039087607,0.0,0.0,0.0,0.47233839910555303,0.0759,ok,0.1783,0.1565,10
