stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
macro,macro@1,best_valid,session,final,final.expert,expert,12,ScalarGroupConditionalProductWrapper,,,,0.9247941925989108,0.9918037288431575,0.6340507854506546,0.0,0.9972514102326329,0.0027523740761539865,11.90164474611789,0.09090652604679686,0.6645465533297668,2.2980272388743583
macro,macro@1,best_valid,session,final,final.group,group,4,ScalarGroupConditionalProductWrapper,,,,0.9494065089588053,0.996568218929741,0.5557140687022396,0.0,0.9987791883936046,0.00122155740393189,3.986272875718964,0.05868217349052429,0.6667855515266797,1.3161568897801126
macro,macro@1,best_valid,session,final,final.intra.Exposure,intra,3,ScalarGroupConditionalProductWrapper,,,,0.9979604996446276,0.9985126655835351,0.731810616417999,0.0,0.9999496428765535,5.035839140901219e-05,2.9955379967506053,0.038594251279704235,0.8212070776119994,1.0963716685149547
macro,macro@1,best_valid,session,final,final.intra.Focus,intra,3,ScalarGroupConditionalProductWrapper,,,,0.8504293444072193,0.9987768608699182,0.6356327646674195,0.0,0.9960882717103567,0.003919399109392188,2.9963305826097546,0.03499435808526402,0.7570885097782797,0.9342921284097354
macro,macro@1,best_valid,session,final,final.intra.Memory,intra,3,ScalarGroupConditionalProductWrapper,,,,0.9989933245557351,0.9983220289412668,0.8742049574986624,0.0,0.9999869788492007,1.3021235575166299e-05,2.9949660868238004,0.04099640686820725,0.9161366383324417,1.0975063426543399
macro,macro@1,best_valid,session,final,final.intra.Tempo,intra,3,ScalarGroupConditionalProductWrapper,,,,0.8019084311951725,0.9352014936943832,0.5828478868216131,0.0,0.9979096975722184,0.0020924901591132003,2.8056044810831495,0.2632268675104897,0.7218985912144088,0.8809864568975819
