model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,candidate_id,candidate_source,source_stage,transfer_from_dataset,result_path,timestamp_utc
FEARec,0.049500,0.046000,0.049500,0.046000,0.049500,0.046000,P23_SH_C18_MFEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S1,SH_MOVIELENS1M_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S1,movielens1m,XFER_LASTFM0_03_FAD_H2_R1_C1,1,5,run_complete,3,False,True,XFER_lastfm0.03_FAD_H2_R1_C1,final_transfer,Final_all_datasets,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c18_mfearec_xfer_lastfm0_03_fad_h2_r1_c1_s1_20260409_082528_707198_pid491652.json,2026-04-09T08:37:00.422718Z
FEARec,0.062000,0.061200,0.062000,0.061200,0.062000,0.061200,P23_SH_C18_MFEAREC_ML1M_FEA_STAGEH_REC1_S1,SH_MOVIELENS1M_FEAREC_ML1M_FEA_STAGEH_REC1_S1,movielens1m,ML1M_FEA_STAGEH_REC1,1,4,run_complete,3,False,True,ML1M_FEA_STAGEH_REC1,manual,stageh_manual_bank,movielens1m,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c18_mfearec_ml1m_fea_stageh_rec1_s1_20260409_082831_039712_pid491701.json,2026-04-09T08:37:12.441331Z
FEARec,0.062000,0.061200,0.062000,0.061200,0.058600,0.055700,P23_SH_C18_MFEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,SH_MOVIELENS1M_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2,1,6,run_complete,3,False,True,XFER_foursquare_FAD_H1_R1_C2,final_transfer,Final_all_datasets,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c18_mfearec_xfer_foursquare_fad_h1_r1_c2_s1_20260409_082817_193976_pid491689.json,2026-04-09T08:38:16.511093Z
FEARec,0.062000,0.061200,0.062000,0.061200,0.049500,0.050200,P23_SH_C18_MFEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_LIGHT_S1,SH_MOVIELENS1M_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_LIGHT_S1,movielens1m,XFER_LASTFM0_03_FAD_H2_R1_C1_LIGHT,1,7,run_complete,3,False,True,XFER_lastfm0.03_FAD_H2_R1_C1_LIGHT,stageh_screen_variant,Final_all_datasets_variant,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c18_mfearec_xfer_lastfm0_03_fad_h2_r1_c1_light_s1_20260409_082856_141506_pid491729.json,2026-04-09T08:40:19.643140Z
FEARec,0.063700,0.063700,0.063700,0.063700,0.063700,0.063700,P23_SH_C18_MFEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_LIGHT_S1,SH_MOVIELENS1M_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_LIGHT_S1,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2_LIGHT,1,6,run_complete,3,False,True,XFER_foursquare_FAD_H1_R1_C2_LIGHT,stageh_screen_variant,Final_all_datasets_variant,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c18_mfearec_xfer_foursquare_fad_h1_r1_c2_light_s1_20260409_083821_716182_pid491801.json,2026-04-09T08:47:46.108091Z
FEARec,0.063700,0.063700,0.063700,0.063700,0.048800,0.047000,P23_SH_C18_MFEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_WDHI_S1,SH_MOVIELENS1M_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_WDHI_S1,movielens1m,XFER_LASTFM0_03_FAD_H2_R1_C1_WDHI,1,4,run_complete,3,False,True,XFER_lastfm0.03_FAD_H2_R1_C1_WDHI,stageh_screen_variant,Final_all_datasets_variant,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c18_mfearec_xfer_lastfm0_03_fad_h2_r1_c1_wdhi_s1_20260409_083717_400163_pid491773.json,2026-04-09T08:48:25.153845Z
FEARec,0.063700,0.063700,0.063700,0.063700,0.050600,0.049400,P23_SH_C18_MFEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_TAU_S1,SH_MOVIELENS1M_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_TAU_S1,movielens1m,XFER_LASTFM0_03_FAD_H2_R1_C1_TAU,1,5,run_complete,3,False,True,XFER_lastfm0.03_FAD_H2_R1_C1_TAU,stageh_screen_variant,Final_all_datasets_variant,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c18_mfearec_xfer_lastfm0_03_fad_h2_r1_c1_tau_s1_20260409_083705_665466_pid491761.json,2026-04-09T08:48:52.186680Z
FEARec,0.063700,0.063700,0.063700,0.063700,0.061900,0.058200,P23_SH_C18_MFEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_TAU_S1,SH_MOVIELENS1M_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_TAU_S1,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2_TAU,1,7,run_complete,3,False,True,XFER_foursquare_FAD_H1_R1_C2_TAU,stageh_screen_variant,Final_all_datasets_variant,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c18_mfearec_xfer_foursquare_fad_h1_r1_c2_tau_s1_20260409_084024_784813_pid491822.json,2026-04-09T08:49:15.222374Z
FEARec,0.065800,0.063800,0.065800,0.063800,0.065800,0.063800,P23_SH_C12_MFEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,SH_MOVIELENS1M_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,movielens1m,XFER_FOURSQUARE_FAD_H1_R1_C2,1,5,run_complete,5,False,True,XFER_foursquare_FAD_H1_R1_C2,final_transfer,Final_all_datasets,foursquare,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c12_mfearec_xfer_foursquare_fad_h1_r1_c2_s1_20260410_003325_145339_pid517128.json,2026-04-10T01:05:17.909979Z
FEARec,0.065800,0.063800,0.065800,0.063800,0.054400,0.053900,P23_SH_C12_MFEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_LIGHT_S1,SH_MOVIELENS1M_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_LIGHT_S1,movielens1m,XFER_LASTFM0_03_FAD_H2_R1_C1_LIGHT,1,7,run_complete,5,False,True,XFER_lastfm0.03_FAD_H2_R1_C1_LIGHT,stageh_screen_variant,Final_all_datasets_variant,lastfm0.03,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageh_targetedrecovery_anchor2_core5/P23/movielens1m/FEARec/movielens1m_FEARec_p23_sh_c12_mfearec_xfer_lastfm0_03_fad_h2_r1_c1_light_s1_20260410_003325_066588_pid517130.json,2026-04-10T01:09:10.156017Z
