global_best_valid_mrr20,global_best_test_mrr20,model,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,profile_id,parent_profile_id,concept_id,detail_id,parent_run_phase,lr_band_id,lr_lo,lr_hi,lr_center,stage_id,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
0.007600,0.000000,GRU4Rec,0.007600,0.000000,0.007600,0.000000,D3,C8,FOCUS,D3,P18_SC_D01_M01_P02_GRU4REC_B7_C8_S1,"LR4,LR5",7.301607e-04,7.387200e-03,2.322465e-03,D,P19_SC_D01_M01_P01_GRU4REC_C8_D3_S1,SC_AMAZON_BEAUTY_GRU4REC_C8_D3_S1,amazon_beauty,C8_D3,1,6,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p01_gru4rec_c8_d3_s1_20260404_051506_136891_pid87994.json,2026-04-04T05:15:29.230525Z
0.007600,0.002000,GRU4Rec,0.007600,0.002000,0.004900,0.002000,D1,C8,FOCUS,D1,P18_SC_D01_M01_P02_GRU4REC_B7_C8_S1,"LR4,LR5",9.067355e-04,7.344000e-03,2.580516e-03,D,P19_SC_D01_M01_P01_GRU4REC_C8_D1_S1,SC_AMAZON_BEAUTY_GRU4REC_C8_D1_S1,amazon_beauty,C8_D1,1,4,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p01_gru4rec_c8_d1_s1_20260404_051506_192974_pid87992.json,2026-04-04T05:15:35.314542Z
0.013000,0.002000,GRU4Rec,0.013000,0.002000,0.013000,0.000500,D2,C8,FOCUS,D2,P18_SC_D01_M01_P02_GRU4REC_B7_C8_S1,"LR4,LR5",9.248702e-04,8.398080e-03,2.786958e-03,D,P19_SC_D01_M01_P01_GRU4REC_C8_D2_S1,SC_AMAZON_BEAUTY_GRU4REC_C8_D2_S1,amazon_beauty,C8_D2,1,5,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p01_gru4rec_c8_d2_s1_20260404_051506_136889_pid87993.json,2026-04-04T05:15:43.401881Z
0.013000,0.002000,GRU4Rec,0.013000,0.002000,0.005200,0.000000,D4,C8,FOCUS,D4,P18_SC_D01_M01_P02_GRU4REC_B7_C8_S1,"LR4,LR5",7.398962e-04,1.000000e-02,2.720103e-03,D,P19_SC_D01_M01_P01_GRU4REC_C8_D4_S1,SC_AMAZON_BEAUTY_GRU4REC_C8_D4_S1,amazon_beauty,C8_D4,1,7,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p01_gru4rec_c8_d4_s1_20260404_051506_116688_pid87995.json,2026-04-04T05:15:47.478745Z
0.013000,0.002000,GRU4Rec,0.013000,0.002000,0.002900,0.000000,D5,C8,FOCUS,D5,P18_SC_D01_M01_P02_GRU4REC_B7_C8_S1,"LR4,LR5",5.254944e-04,7.128000e-03,1.935387e-03,D,P19_SC_D01_M01_P01_GRU4REC_C8_D5_S1,SC_AMAZON_BEAUTY_GRU4REC_C8_D5_S1,amazon_beauty,C8_D5,1,6,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p01_gru4rec_c8_d5_s1_20260404_051534_306840_pid88200.json,2026-04-04T05:15:59.564099Z
0.013000,0.002000,GRU4Rec,0.013000,0.002000,0.009900,0.000000,D6,C8,FOCUS,D6,P18_SC_D01_M01_P02_GRU4REC_B7_C8_S1,"LR4,LR5",8.074264e-04,9.979200e-03,2.838568e-03,D,P19_SC_D01_M01_P01_GRU4REC_C8_D6_S1,SC_AMAZON_BEAUTY_GRU4REC_C8_D6_S1,amazon_beauty,C8_D6,1,4,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p01_gru4rec_c8_d6_s1_20260404_051540_594979_pid88245.json,2026-04-04T05:16:12.654350Z
0.013000,0.002000,GRU4Rec,0.013000,0.002000,0.012700,0.000500,D7,C8,FOCUS,D7,P18_SC_D01_M01_P02_GRU4REC_B7_C8_S1,"LR4,LR5",7.426988e-04,1.000000e-02,2.725250e-03,D,P19_SC_D01_M01_P01_GRU4REC_C8_D7_S1,SC_AMAZON_BEAUTY_GRU4REC_C8_D7_S1,amazon_beauty,C8_D7,1,5,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p01_gru4rec_c8_d7_s1_20260404_051548_551145_pid88292.json,2026-04-04T05:16:31.745752Z
0.013000,0.005800,GRU4Rec,0.013000,0.005800,0.004200,0.005800,D8,C8,FOCUS,D8,P18_SC_D01_M01_P02_GRU4REC_B7_C8_S1,"LR4,LR5",7.139349e-04,7.223040e-03,2.270855e-03,D,P19_SC_D01_M01_P01_GRU4REC_C8_D8_S1,SC_AMAZON_BEAUTY_GRU4REC_C8_D8_S1,amazon_beauty,C8_D8,1,7,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p01_gru4rec_c8_d8_s1_20260404_051552_562006_pid88323.json,2026-04-04T05:16:33.826152Z
0.013000,0.005800,GRU4Rec,0.013000,0.005800,0.008800,0.000000,D1,C7,FOCUS,D1,P18_SC_D01_M01_P02_GRU4REC_B7_C7_S1,"LR4,LR5",1.418227e-03,8.500000e-03,3.472021e-03,D,P19_SC_D01_M01_P02_GRU4REC_C7_D1_S1,SC_AMAZON_BEAUTY_GRU4REC_C7_D1_S1,amazon_beauty,C7_D1,1,6,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p02_gru4rec_c7_d1_s1_20260404_051604_633292_pid88391.json,2026-04-04T05:16:40.908968Z
0.013000,0.005800,GRU4Rec,0.013000,0.005800,0.007000,0.002200,D2,C7,FOCUS,D2,P18_SC_D01_M01_P02_GRU4REC_B7_C7_S1,"LR4,LR5",1.446592e-03,9.720000e-03,3.749783e-03,D,P19_SC_D01_M01_P02_GRU4REC_C7_D2_S1,SC_AMAZON_BEAUTY_GRU4REC_C7_D2_S1,amazon_beauty,C7_D2,1,4,run_complete,12,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/staged_microwide_anchor2_core5/P19/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p19_sc_d01_m01_p02_gru4rec_c7_d2_s1_20260404_051617_988040_pid88494.json,2026-04-04T05:16:52.995424Z
