dataset,group,support_sessions,support_session_pct,core_score_mean,offaxis_mid_mean,status
KuaiRecLargeStrictPosV2_0.2,memory_plus,737,0.20087217225402018,0.4686126264360362,0.7134313942355323,weak
KuaiRecLargeStrictPosV2_0.2,memory_minus,137,0.03733987462523849,0.9953709581203798,0.7120876136090943,usable
KuaiRecLargeStrictPosV2_0.2,focus_plus,1154,0.31452711910602343,0.5872562307100525,0.6847935874635481,borderline
KuaiRecLargeStrictPosV2_0.2,focus_minus,266,0.07249931861542655,0.9479398764859523,0.6056359981357735,usable
KuaiRecLargeStrictPosV2_0.2,tempo_plus,673,0.1834287271736168,0.8113864069877589,0.7258449645213333,usable
KuaiRecLargeStrictPosV2_0.2,tempo_minus,495,0.1349141455437449,0.8353010613588745,0.583144726455102,usable
KuaiRecLargeStrictPosV2_0.2,exposure_plus,553,0.15072226764786045,0.657722433007115,0.6015357850570261,borderline
KuaiRecLargeStrictPosV2_0.2,exposure_minus,771,0.21013900245298447,0.6757859822987746,0.5972978395941665,borderline
lastfm0.03,memory_plus,605,0.16073326248671627,0.3617781856875096,0.7517241383594102,weak
lastfm0.03,memory_minus,201,0.053400637619553666,0.9950728112923388,0.7662560395362967,usable
lastfm0.03,focus_plus,1057,0.2808182784272051,1.0,0.6322319346958747,usable
lastfm0.03,focus_minus,696,0.1849096705632306,0.8294396031874679,0.6084411711532213,usable
lastfm0.03,tempo_plus,693,0.18411264612114772,0.8097272112957394,0.6021424523981244,usable
lastfm0.03,tempo_minus,1260,0.33475026567481403,0.8584670712665089,0.5693054492065469,usable
lastfm0.03,exposure_plus,619,0.1644527098831031,0.6825205125278971,0.5543244250423683,borderline
lastfm0.03,exposure_minus,1169,0.3105738575982997,0.5999874474810094,0.5355758278012794,borderline
beauty,memory_plus,177,0.2778649921507064,0.0399999999999999,0.7292333767261129,weak
beauty,memory_minus,53,0.08320251177394035,0.9923166474907532,0.7012073804863875,usable
beauty,focus_plus,229,0.35949764521193095,0.7033316981946314,0.5539770226570289,borderline
beauty,focus_minus,108,0.1695447409733124,0.91103979005295,0.4793740710563884,weak
beauty,tempo_plus,188,0.29513343799058084,0.8081886236146831,0.5134741933207615,borderline
beauty,tempo_minus,114,0.17896389324960754,0.9367599493815232,0.4977161848738898,weak
beauty,exposure_plus,364,0.5714285714285714,0.5259294551135575,0.5260167255173279,weak
beauty,exposure_minus,95,0.14913657770800628,0.6824248501897872,0.4511513810977406,weak
foursquare,memory_plus,362,0.0951129795060431,0.3033187905422462,0.7689856509042944,weak
foursquare,memory_minus,289,0.07593273778244876,0.9765413319514076,0.7889204296492094,usable
foursquare,focus_plus,753,0.197845507094062,0.8252164772348632,0.6497854697435052,usable
foursquare,focus_minus,298,0.07829742511823437,0.9343420743355264,0.6391031404105599,usable
foursquare,tempo_plus,417,0.10956384655806621,0.7335569402096808,0.6200461653863338,borderline
foursquare,tempo_minus,378,0.09931686810299527,0.8375052390956954,0.639870377468649,usable
foursquare,exposure_plus,626,0.1644771413557541,0.6816873679381823,0.6264002396603691,borderline
foursquare,exposure_minus,606,0.15922228060956384,0.6558031079085309,0.6049458347436609,borderline
movielens1m,memory_plus,710,0.3255387436955525,0.0143061311532907,0.7816309486745163,weak
movielens1m,memory_minus,1101,0.5048143053645117,0.995918367346,0.7732612764695815,usable
movielens1m,focus_plus,958,0.43924805135259054,0.7457790462043252,0.5658034237111378,borderline
movielens1m,focus_minus,586,0.26868408986703346,0.8605720730100557,0.5568072954020699,usable
movielens1m,tempo_plus,784,0.35946813388353965,0.7405169330711758,0.535325273555286,borderline
movielens1m,tempo_minus,892,0.4089867033470885,0.9545407824023776,0.5348068385943305,borderline
movielens1m,exposure_plus,1085,0.4974782209995415,0.6628526708200467,0.5045944972127897,borderline
movielens1m,exposure_minus,1323,0.6066024759284732,0.5859486884765146,0.5076460302022981,borderline
retail_rocket,memory_plus,2118,0.09223131858561226,0.5900223185339181,0.5967198339751002,borderline
retail_rocket,memory_minus,2202,0.0958892179062881,0.9640129991425525,0.6305363497010696,usable
retail_rocket,focus_plus,16458,0.7166869883295593,1.0,0.7134016445107617,usable
retail_rocket,focus_minus,1415,0.06161818498519422,0.4581802122158802,0.7076757182480362,weak
retail_rocket,tempo_plus,3156,0.13743250304824944,0.7836771852635499,0.5069270169897335,borderline
retail_rocket,tempo_minus,3640,0.15850897056261976,0.8695226519746142,0.5507547457879515,usable
retail_rocket,exposure_plus,3788,0.1649538407942867,0.7475114988945413,0.4978170721285239,weak
retail_rocket,exposure_minus,3634,0.15824769203971434,0.6478781231117561,0.4855523184954745,weak
