dataset,model,rank,enabled,tag,result_json,notes,config_rank,seed_count,mean_valid_score,mean_test_score,routing_mode,rank_total,rank_topk,rank_dense,use_for_default,use_for_topk_ablation,source_run_phase
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,true,kuaireclargestrictposv2_0_2_top01_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,curated q4 candidate: best dense reference for portability sweep,1,1,0.026737916365,0.353445793798,dense,1,,1,true,false,S2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R13
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,4,true,kuaireclargestrictposv2_0_2_top04_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed1_20260419_121502_896905_pid395277.json,curated q4 candidate: strong top-k prior config for portability sweep,4,1,0.025866666667,0.351692223865,topk,4,1,,true,true,S3_KUAIRECLARGESTRICTPOSV2_0_2_TOPK_G4K2_C2_SEED1
foursquare,featured_moe_n3,1,true,foursquare_top01_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/foursquare/FMoEN3/foursquare_FeaturedMoE_N3_s2_foursquare_featured_moe_n3_r01_20260418_112650_188577_pid127656.json,curated q4 candidate: best dense reference for portability sweep,1,1,0.266377777778,0.229977777778,dense,1,,1,true,false,S2_FOURSQUARE_FEATURED_MOE_N3_R01
foursquare,featured_moe_n3,4,true,foursquare_top04_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/foursquare_FeaturedMoE_N3_s2_foursquare_topk_g4k2_20260419_111743_434154_pid377519.json,curated q4 candidate: strong top-k prior config for portability sweep,4,1,0.268420044851,0.226376934507,topk,4,1,,true,true,S2_FOURSQUARE_TOPK_G4K2
