early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0488,ok,0.0526,0.0473,1
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0942,ok,0.135,0.0912,2
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1629,ok,0.1748,0.165,3
True,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1622,ok,0.1724,0.1626,4
True,19,1.0,1.0,0.0,0.27091387084935703,0.0,2.1412853304602146,0.4287678301334381,0.2805384397506714,0.0,0.17720775638665276,1.0745762375816286,2.9086604479542943,0.7273683884745133,4.452445911820912,8.384617969923562,4.452445911820912,0.0,1.0,0.0030276753013111658,0.9969792362080555,0.0049170328234506705,0.9950950359934172,0.004165993080482827,0.9958426726307495,0.0007063463806227325,0.9992939030232567,0.0007597892026914697,0.9992409912922119,0.0013301116730911043,0.9986707725333658,0.0,0.0,6.121988039175539,4.452445911820912,0.5496270619912723,0.1636,ok,0.1743,0.1649,5
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1624,ok,0.1732,0.1642,6
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1619,ok,0.1729,0.1653,7
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1564,ok,0.1718,0.1582,8
True,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1613,ok,0.1754,0.1637,9
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0474,ok,0.0488,0.0459,10
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0615,ok,0.0824,0.0591,11
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0507,ok,0.0663,0.0498,12
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0887,ok,0.1282,0.0859,13
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1612,ok,0.1729,0.1613,14
True,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1594,ok,0.1735,0.158,15
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1629,ok,0.1748,0.1647,16
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0478,ok,0.0524,0.0458,17
True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1621,ok,0.1754,0.165,18
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1341,ok,0.1664,0.1318,19
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0925,ok,0.1318,0.0903,20
