avg_epoch_time_sec,early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_eval_targets_per_sec,test_eval_time_sec,test_hr@10,test_mrr@20,trial
22.42969879082271,True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0191,ok,11987.041736812422,0.22574377059936523,0.3595,0.3402,1
22.307123678071157,True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0193,ok,11696.39767263074,0.2313532829284668,0.3595,0.3399,2
22.421439255986893,True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0183,ok,11418.44573822394,0.2369849681854248,0.3673,0.3412,3
22.16196628979274,True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,ok,12201.99861098867,0.22176694869995117,0.3651,0.3408,4
22.222808395113265,True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0195,ok,12303.105019544419,0.21994447708129883,0.3595,0.3401,5
22.178561724149265,True,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194,ok,11969.053482110938,0.22608304023742676,0.346,0.323,6
22.17746329307556,True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0189,ok,12007.103497888404,0.22536659240722656,0.3628,0.3407,7
22.10396295785904,True,16,1.0,1.0,0.0,1.07304213832256,0.0,1.8383561662891228,0.4233117401599884,0.13674183189868927,0.0,0.24688723359662484,1.1145607930152732,3.7701939410255507,0.3071261820915602,4.5679235361889114,9.296188491273439,4.5679235361889114,0.09244660548940323,0.9116978893274842,0.10477862885489604,0.900523850518708,0.10073590230928145,0.9041830449741953,0.1044947517091937,0.9007795249473767,0.10122362318363283,0.9037309151032126,0.02648212447034253,0.9738654520407145,0.06041330935512825,0.9414481018366747,0.08019356674451629,0.9229376790532409,0.819371727748691,0.5045271346021591,9.528097313518147,4.5679235361889114,0.32315118901594586,0.0197,ok,11833.60350322954,0.22867083549499512,0.3595,0.3381,8
22.216116118431092,True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0188,ok,12094.364052529954,0.2237405776977539,0.3572,0.3385,9
22.150389126368932,True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0182,ok,12195.954116561128,0.221876859664917,0.3583,0.3289,10
