global_best_valid_mrr20,run_best_valid_mrr20,run_phase,run_id,exp_brief,setting_id,setting_key,setting_group,setting_desc,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc
0.079400,0.079400,P10_03_MEMORY_S1,03_MEMORY_S1,Memory | group_subset | Memory only,P10-03_Memory,Memory,group_subset,Memory only,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,3,running,0.161000,,,,,,2026-03-23T05:54:53.322267Z
0.079600,0.079600,P10_05_TEMPO_FOCUS_S1,05_TEMPO_FOCUS_S1,Tempo_Focus | group_subset | Tempo + Focus,P10-05_Tempo_Focus,Tempo_Focus,group_subset,Tempo + Focus,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,5,running,0.161700,,,,,,2026-03-23T05:55:38.374202Z
0.079800,0.079800,P10_06_TEMPO_MEMORY_S1,06_TEMPO_MEMORY_S1,Tempo_Memory | group_subset | Tempo + Memory,P10-06_Tempo_Memory,Tempo_Memory,group_subset,Tempo + Memory,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,6,running,0.162000,,,,,,2026-03-23T05:56:08.408459Z
0.081100,0.081100,P10_00_FULL_S1,00_FULL_S1,FULL | group_subset | All 4 families,P10-00_FULL,FULL,group_subset,All 4 families,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161700,,,,,,2026-03-23T05:56:14.415635Z
0.081200,0.081200,P10_00_FULL_S1,00_FULL_S1,FULL | group_subset | All 4 families,P10-00_FULL,FULL,group_subset,All 4 families,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161700,,,,,,2026-03-23T06:10:21.418275Z
0.081300,0.081300,P10_00_FULL_S1,00_FULL_S1,FULL | group_subset | All 4 families,P10-00_FULL,FULL,group_subset,All 4 families,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161800,,,,,,2026-03-23T06:25:16.480825Z
0.081300,0.080000,P10_03_MEMORY_S1,03_MEMORY_S1,Memory | group_subset | Memory only,P10-03_Memory,Memory,group_subset,Memory only,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete,0.159200,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_03_memory_s1_20260323_055126_916277_pid332367.json,2026-03-23T06:55:58.090243Z
0.081300,0.079400,P10_02_FOCUS_S1,02_FOCUS_S1,Focus | group_subset | Focus only,P10-02_Focus,Focus,group_subset,Focus only,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete,0.161300,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_02_focus_s1_20260323_055127_006839_pid332366.json,2026-03-23T06:58:10.721843Z
0.081300,0.079500,P10_01_TEMPO_S1,01_TEMPO_S1,Tempo | group_subset | Tempo only,P10-01_Tempo,Tempo,group_subset,Tempo only,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,run_complete,0.161200,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_01_tempo_s1_20260323_055126_868719_pid332365.json,2026-03-23T07:07:41.790188Z
0.081300,0.080100,P10_06_TEMPO_MEMORY_S1,06_TEMPO_MEMORY_S1,Tempo_Memory | group_subset | Tempo + Memory,P10-06_Tempo_Memory,Tempo_Memory,group_subset,Tempo + Memory,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.162100,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_06_tempo_memory_s1_20260323_055127_002357_pid332370.json,2026-03-23T07:08:36.239977Z
0.081300,0.079800,P10_05_TEMPO_FOCUS_S1,05_TEMPO_FOCUS_S1,Tempo_Focus | group_subset | Tempo + Focus,P10-05_Tempo_Focus,Tempo_Focus,group_subset,Tempo + Focus,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.161700,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_05_tempo_focus_s1_20260323_055126_820646_pid332369.json,2026-03-23T07:10:18.775744Z
0.081300,0.079200,P10_04_EXPOSURE_S1,04_EXPOSURE_S1,Exposure | group_subset | Exposure only,P10-04_Exposure,Exposure,group_subset,Exposure only,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.159200,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_04_exposure_s1_20260323_055127_033587_pid332368.json,2026-03-23T07:24:59.241942Z
0.081300,0.081300,P10_00_FULL_S1,00_FULL_S1,FULL | group_subset | All 4 families,P10-00_FULL,FULL,group_subset,All 4 families,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.161800,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_00_full_s1_20260323_055126_851301_pid332364.json,2026-03-23T07:27:20.891334Z
