model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
GRU4Rec,0.011600,0.020800,0.011600,0.020800,0.011600,0.020800,P14_FAD_D00_M02_GRU4REC_H2_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_GRU4REC_H2_S1,KuaiRecLargeStrictPosV2_0.2,H2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/GRU4Rec/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p14_fad_d00_m02_gru4rec_h2_s1_20260327_164545_562926_pid313922.json,2026-03-27T16:55:25.138568Z
GRU4Rec,0.011600,0.028700,0.011600,0.028700,0.011600,0.028700,P14_FAD_D00_M02_GRU4REC_H3_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_GRU4REC_H3_S1,KuaiRecLargeStrictPosV2_0.2,H3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/GRU4Rec/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_p14_fad_d00_m02_gru4rec_h3_s1_20260327_164545_645165_pid313921.json,2026-03-27T16:56:54.298425Z
SASRec,0.012400,0.078800,0.012400,0.078800,0.012400,0.078800,P14_FAD_D00_M01_SASREC_H2_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_SASREC_H2_S1,KuaiRecLargeStrictPosV2_0.2,H2,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/SASRec/KuaiRecLargeStrictPosV2_0.2_SASRec_p14_fad_d00_m01_sasrec_h2_s1_20260327_164545_670022_pid313919.json,2026-03-27T16:58:51.483112Z
SASRec,0.013000,0.078800,0.013000,0.078800,0.013000,0.077700,P14_FAD_D00_M01_SASREC_H3_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_SASREC_H3_S1,KuaiRecLargeStrictPosV2_0.2,H3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/SASRec/KuaiRecLargeStrictPosV2_0.2_SASRec_p14_fad_d00_m01_sasrec_h3_s1_20260327_164545_725251_pid313920.json,2026-03-27T17:05:57.990021Z
DuoRec,0.013000,0.078800,0.012600,0.071900,0.012600,0.071900,P14_FAD_D00_M04_DUOREC_H1_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_DUOREC_H1_S1,KuaiRecLargeStrictPosV2_0.2,H1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/DuoRec/KuaiRecLargeStrictPosV2_0.2_DuoRec_p14_fad_d00_m04_duorec_h1_s1_20260327_165856_553807_pid315007.json,2026-03-27T17:08:33.220095Z
TiSASRec,0.013000,0.078800,0.011800,0.075800,0.011800,0.075800,P14_FAD_D00_M03_TISASREC_H2_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_TISASREC_H2_S1,KuaiRecLargeStrictPosV2_0.2,H2,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/TiSASRec/KuaiRecLargeStrictPosV2_0.2_TiSASRec_p14_fad_d00_m03_tisasrec_h2_s1_20260327_165659_336676_pid314980.json,2026-03-27T17:15:32.725881Z
TiSASRec,0.013000,0.078800,0.012300,0.075800,0.012300,0.066300,P14_FAD_D00_M03_TISASREC_H3_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_TISASREC_H3_S1,KuaiRecLargeStrictPosV2_0.2,H3,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/TiSASRec/KuaiRecLargeStrictPosV2_0.2_TiSASRec_p14_fad_d00_m03_tisasrec_h3_s1_20260327_165530_241649_pid314953.json,2026-03-27T17:17:33.904700Z
DuoRec,0.013200,0.078800,0.013200,0.078200,0.013200,0.078200,P14_FAD_D00_M04_DUOREC_H2_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_DUOREC_H2_S1,KuaiRecLargeStrictPosV2_0.2,H2,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/DuoRec/KuaiRecLargeStrictPosV2_0.2_DuoRec_p14_fad_d00_m04_duorec_h2_s1_20260327_170603_149977_pid315054.json,2026-03-27T17:17:43.991205Z
SIGMA,0.013200,0.320500,0.009100,0.320500,0.009100,0.320500,P14_FAD_D00_M05_SIGMA_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_SIGMA_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/SIGMA/KuaiRecLargeStrictPosV2_0.2_SIGMA_p14_fad_d00_m05_sigma_h4_s1_20260327_170838_307741_pid315085.json,2026-03-27T17:38:42.355957Z
BSARec,0.013200,0.320500,0.013000,0.076900,0.013000,0.076900,P14_FAD_D00_M06_BSAREC_H4_S1,FAD_KUAIRECLARGESTRICTPOSV2_0_2_BSAREC_H4_S1,KuaiRecLargeStrictPosV2_0.2,H4,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/KuaiRecLargeStrictPosV2_0.2/BSARec/KuaiRecLargeStrictPosV2_0.2_BSARec_p14_fad_d00_m06_bsarec_h4_s1_20260327_171739_024624_pid315157.json,2026-03-27T17:46:07.893598Z
