dataset,model_option,model_label,pair_id,combo_id,combo_rank,combo_kind,combo_theme,combo_source,source_axis,source_phase,selection_score,hparam_id,architecture_id,lr_lo,lr_hi,wd_lo,wd_hi,params_json
beauty,bsarec,BSARec,P001,C01,1,existing_primary,carry_best_seed,PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,0.03848006312201838,,,0.000191183812076232,0.0011471028724573918,4.8698999999999996e-05,0.000125226,"{""dropout"": 0.12, ""embedding_size"": 256, ""hidden_size"": 256, ""inner_size"": 512, ""max_len"": 8, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 6.957e-05}"
beauty,bsarec,BSARec,P001,C02,2,existing_secondary,carry_alt_seed,PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K28,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K28,0.03259809505473216,,,0.000191183812076232,0.0011471028724573918,0.00021735,0.0005589000000000001,"{""dropout"": 0.185, ""embedding_size"": 96, ""hidden_size"": 96, ""inner_size"": 192, ""max_len"": 12, ""num_heads"": 2, ""num_layers"": 2, ""weight_decay"": 0.0003105}"
beauty,bsarec,BSARec,P001,C03,3,existing_tertiary,carry_third_seed,PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K46,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K46,0.0318388078598667,,,0.000191183812076232,0.0011471028724573918,7.647499999999999e-05,0.00019665,"{""dropout"": 0.12, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""max_len"": 12, ""num_heads"": 2, ""num_layers"": 1, ""weight_decay"": 0.00010925}"
beauty,bsarec,BSARec,P001,C04,4,existing_quaternary,carry_fourth_seed,PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K49,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K49,0.029958104068998386,,,0.000191183812076232,0.0011471028724573918,0.000108675,0.00027945000000000004,"{""dropout"": 0.13, ""embedding_size"": 320, ""hidden_size"": 320, ""inner_size"": 640, ""max_len"": 20, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 0.00015525}"
beauty,bsarec,BSARec,P001,C05,5,long_context_stable,len32_regup,variant_from:PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,0.03848006312201838,,,0.000143387859057174,0.0014912337341946094,5.2175e-05,0.00025044,"{""dropout"": 0.15, ""embedding_size"": 256, ""hidden_size"": 256, ""inner_size"": 512, ""max_len"": 32, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.00010435}"
beauty,bsarec,BSARec,P001,C06,6,long_context_extreme,len48_regup,variant_from:PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,0.03848006312201838,,,0.000143387859057174,0.0014912337341946094,6.609e-05,0.000317232,"{""dropout"": 0.17, ""embedding_size"": 256, ""hidden_size"": 256, ""inner_size"": 512, ""max_len"": 48, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.00013218}"
beauty,bsarec,BSARec,P001,C07,7,wide_context,len32_hidden150,variant_from:PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,0.03848006312201838,,,0.000143387859057174,0.0014912337341946094,4.174e-05,0.00020035199999999997,"{""dropout"": 0.14, ""embedding_size"": 320, ""hidden_size"": 320, ""inner_size"": 800, ""max_len"": 32, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 8.348e-05}"
beauty,bsarec,BSARec,P001,C08,8,wide_context_extreme,len48_hidden175,variant_from:PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,0.03848006312201838,,,0.000143387859057174,0.0014912337341946094,4.696e-05,0.00022540799999999997,"{""dropout"": 0.17, ""embedding_size"": 320, ""hidden_size"": 320, ""inner_size"": 960, ""max_len"": 48, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 9.392e-05}"
beauty,bsarec,BSARec,P001,C09,9,compact_long,len64_hidden075,variant_from:PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K34,0.03848006312201838,,,0.00011184253006459572,0.0014969692485568963,5.35675e-05,0.00045915,"{""dropout"": 0.18, ""embedding_size"": 192, ""hidden_size"": 192, ""inner_size"": 336, ""max_len"": 64, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.00015305}"
beauty,bsarec,BSARec,P001,C10,10,alt_long,alt_len48,variant_from:PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K28,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K28,0.03259809505473216,,,0.00011184253006459572,0.0014969692485568963,0.00017388,0.0014904000000000002,"{""dropout"": 0.215, ""embedding_size"": 96, ""hidden_size"": 96, ""inner_size"": 192, ""max_len"": 48, ""num_heads"": 2, ""num_layers"": 2, ""weight_decay"": 0.0004968}"
beauty,bsarec,BSARec,P001,C11,11,alt_wide,alt_hidden150,variant_from:PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K28,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K28,0.03259809505473216,,,0.00011184253006459572,0.0014969692485568963,0.00013584549999999998,0.00116439,"{""dropout"": 0.205, ""embedding_size"": 144, ""hidden_size"": 144, ""inner_size"": 360, ""max_len"": 40, ""num_heads"": 2, ""num_layers"": 2, ""weight_decay"": 0.00038813}"
beauty,bsarec,BSARec,P001,C12,12,head_shift,head_relayout,variant_from:PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K46,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K46,0.0318388078598667,,,0.00012426947784955082,0.0016632991650632181,4.9707e-05,0.00042606,"{""dropout"": 0.14, ""embedding_size"": 144, ""hidden_size"": 144, ""inner_size"": 288, ""max_len"": 40, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.00014202}"
beauty,bsarec,BSARec,P001,C13,13,lowreg_bigdim,len48_lowreg,variant_from:PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K46,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_BSAREC_K46,0.0318388078598667,,,0.00010515109664192761,0.001835364595931827,1.77525e-05,0.000248535,"{""dropout"": 0.11, ""embedding_size"": 176, ""hidden_size"": 176, ""inner_size"": 484, ""max_len"": 48, ""num_heads"": 2, ""num_layers"": 1, ""weight_decay"": 7.101e-05}"
