dataset,model,model_label,pair_id,combo_id,combo_kind,best_valid_mrr20,seen_test_mrr20,test_mrr20,avg_epoch_time_sec,test_inference_time_sec,result_path
beauty,bsarec,BSARec,P001,C05,long_context_stable,0.046333128204905843,0.01503941758314313,0.01503941758314313,1.5779004437582833,0.05868339538574219,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_BSARec_beauty_3model_aggr16_dbeauty_mbsarec_p001_c05_s1_20260416_155544_873324_pid383756.json
beauty,fame,FAME,P002,C04,existing_quaternary,0.01789876596485994,0.008404966593215664,0.008404966593215664,1.5186558008193969,0.031697988510131836,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_FAME_beauty_3model_aggr16_dbeauty_mfame_p002_c04_s1_20260416_155544_790462_pid383754.json
beauty,difsr,DIFSR,P003,C08,wide_context_extreme,0.02621578648836019,0.017400158072867163,0.017400158072867163,0.88033122091151,0.027688264846801758,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_DIFSR_beauty_3model_aggr16_dbeauty_mdifsr_p003_c08_s1_20260416_161232_272823_pid388797.json
