global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,setting_id,setting_key,setting_desc,setting_group,setting_detail,hparam_id,run_id
0.080400,0.080400,P12_A01_H1_S1,"P12-01_ATTN_MACRO_ONLY | layout_variants | [attn, macro_ffn, attn, mid_ffn, micro_ffn]",wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,1,running,0.160900,,,,,,2026-03-24T03:23:57.854105Z,P12,A,layout_composition,01,P12-01_ATTN_MACRO_ONLY,ATTN_MACRO_ONLY,layout_variants,"[attn, macro_ffn, attn, mid_ffn, micro_ffn]",1,A01_H1_S1
0.080500,0.080500,P12_A05_H1_S1,"P12-05_MACRO_REPEATED | layout_variants | [macro, macro_ffn, mid, micro]",wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,5,running,0.160700,,,,,,2026-03-24T03:24:24.887173Z,P12,A,layout_composition,05,P12-05_MACRO_REPEATED,MACRO_REPEATED,layout_variants,"[macro, macro_ffn, mid, micro]",1,A05_H1_S1
0.081300,0.081300,P12_A07_H1_S1,"P12-07_MICRO_REPEATED | layout_variants | [macro, mid, micro, micro_ffn]",wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,7,running,0.161700,,,,,,2026-03-24T03:25:54.994383Z,P12,A,layout_composition,07,P12-07_MICRO_REPEATED,MICRO_REPEATED,layout_variants,"[macro, mid, micro, micro_ffn]",1,A07_H1_S1
0.081400,0.081400,P12_A06_H1_S1,"P12-06_MID_REPEATED | layout_variants | [macro, mid, mid_ffn, micro]",wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,6,running,0.161800,,,,,,2026-03-24T03:27:55.132554Z,P12,A,layout_composition,06,P12-06_MID_REPEATED,MID_REPEATED,layout_variants,"[macro, mid, mid_ffn, micro]",1,A06_H1_S1
0.082300,0.082300,P12_A07_H1_S1,"P12-07_MICRO_REPEATED | layout_variants | [macro, mid, micro, micro_ffn]",wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,7,running,0.161900,,,,,,2026-03-24T04:02:03.572915Z,P12,A,layout_composition,07,P12-07_MICRO_REPEATED,MICRO_REPEATED,layout_variants,"[macro, mid, micro, micro_ffn]",1,A07_H1_S1
0.082300,0.077400,P12_A03_H1_S1,"P12-03_NO_ATTN_ONLY_MOEFFN | layout_variants | [macro_ffn, mid_ffn, micro_ffn]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete,0.159300,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a03_h1_s1_20260324_031952_589128_pid14977.json,2026-03-24T04:46:10.242507Z,P12,A,layout_composition,03,P12-03_NO_ATTN_ONLY_MOEFFN,NO_ATTN_ONLY_MOEFFN,layout_variants,"[macro_ffn, mid_ffn, micro_ffn]",1,A03_H1_S1
0.082300,0.080800,P12_A01_H1_S1,"P12-01_ATTN_MACRO_ONLY | layout_variants | [attn, macro_ffn, attn, mid_ffn, micro_ffn]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,run_complete,0.161400,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a01_h1_s1_20260324_031952_488329_pid14975.json,2026-03-24T04:52:02.125317Z,P12,A,layout_composition,01,P12-01_ATTN_MACRO_ONLY,ATTN_MACRO_ONLY,layout_variants,"[attn, macro_ffn, attn, mid_ffn, micro_ffn]",1,A01_H1_S1
0.082300,0.081500,P12_A05_H1_S1,"P12-05_MACRO_REPEATED | layout_variants | [macro, macro_ffn, mid, micro]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.161300,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a05_h1_s1_20260324_031952_540081_pid14979.json,2026-03-24T04:52:32.597348Z,P12,A,layout_composition,05,P12-05_MACRO_REPEATED,MACRO_REPEATED,layout_variants,"[macro, macro_ffn, mid, micro]",1,A05_H1_S1
0.082300,0.080900,P12_A02_H1_S1,"P12-02_ATTN_MICRO_BEFORE | layout_variants | [attn, macro_ffn, mid_ffn, attn, micro_ffn]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete,0.162000,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a02_h1_s1_20260324_031952_499359_pid14976.json,2026-03-24T04:54:12.136576Z,P12,A,layout_composition,02,P12-02_ATTN_MICRO_BEFORE,ATTN_MICRO_BEFORE,layout_variants,"[attn, macro_ffn, mid_ffn, attn, micro_ffn]",1,A02_H1_S1
0.082300,0.080200,P12_A00_H1_S1,"P12-00_ATTN_ONESHOT | layout_variants | [attn, macro_ffn, mid_ffn, micro_ffn]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.161500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a00_h1_s1_20260324_031952_464892_pid14974.json,2026-03-24T04:55:06.650525Z,P12,A,layout_composition,00,P12-00_ATTN_ONESHOT,ATTN_ONESHOT,layout_variants,"[attn, macro_ffn, mid_ffn, micro_ffn]",1,A00_H1_S1
0.082300,0.080200,P12_A04_H1_S1,"P12-04_LAYER_PLUS_MOEFFN | layout_variants | [layer, macro_ffn, mid_ffn, micro_ffn]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.161200,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a04_h1_s1_20260324_031952_506857_pid14978.json,2026-03-24T04:57:31.255048Z,P12,A,layout_composition,04,P12-04_LAYER_PLUS_MOEFFN,LAYER_PLUS_MOEFFN,layout_variants,"[layer, macro_ffn, mid_ffn, micro_ffn]",1,A04_H1_S1
0.082300,0.081400,P12_A06_H1_S1,"P12-06_MID_REPEATED | layout_variants | [macro, mid, mid_ffn, micro]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.161800,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a06_h1_s1_20260324_031952_549401_pid14980.json,2026-03-24T05:02:02.034669Z,P12,A,layout_composition,06,P12-06_MID_REPEATED,MID_REPEATED,layout_variants,"[macro, mid, mid_ffn, micro]",1,A06_H1_S1
0.082300,0.082300,P12_A07_H1_S1,"P12-07_MICRO_REPEATED | layout_variants | [macro, mid, micro, micro_ffn]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.161900,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a07_h1_s1_20260324_031952_479478_pid14981.json,2026-03-24T05:29:55.560477Z,P12,A,layout_composition,07,P12-07_MICRO_REPEATED,MICRO_REPEATED,layout_variants,"[macro, mid, micro, micro_ffn]",1,A07_H1_S1
0.082300,0.080000,P12_A13_H1_S1,P12-13_BUNDLE_MIDMICRO_SUM | bundle_pair_then_follow | bundle_mid_micro_sum -> macro,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.159700,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a13_h1_s1_20260324_045239_813117_pid18429.json,2026-03-24T06:09:13.883231Z,P12,A,layout_composition,13,P12-13_BUNDLE_MIDMICRO_SUM,BUNDLE_MIDMICRO_SUM,bundle_pair_then_follow,bundle_mid_micro_sum -> macro,1,A13_H1_S1
0.082300,0.080200,P12_A10_H1_S1,P12-10_BUNDLE_MACROMID_SUM | bundle_pair_then_follow | bundle_macro_mid_sum -> micro,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete,0.161600,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a10_h1_s1_20260324_045419_568971_pid18562.json,2026-03-24T06:17:53.952288Z,P12,A,layout_composition,10,P12-10_BUNDLE_MACROMID_SUM,BUNDLE_MACROMID_SUM,bundle_pair_then_follow,bundle_macro_mid_sum -> micro,1,A10_H1_S1
0.082300,0.080300,P12_A12_H1_S1,P12-12_BUNDLE_MACROMID_LEARNED | bundle_pair_then_follow | bundle_macro_mid_learned -> micro,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.161500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a12_h1_s1_20260324_045738_525811_pid18808.json,2026-03-24T06:35:07.636461Z,P12,A,layout_composition,12,P12-12_BUNDLE_MACROMID_LEARNED,BUNDLE_MACROMID_LEARNED,bundle_pair_then_follow,bundle_macro_mid_learned -> micro,1,A12_H1_S1
0.082300,0.080900,P12_A09_H1_S1,"P12-09_MID_NOLOCALATTN | layout_variants | [macro, mid_ffn, micro]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,run_complete,0.162200,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a09_h1_s1_20260324_045209_288986_pid18336.json,2026-03-24T06:36:50.224383Z,P12,A,layout_composition,09,P12-09_MID_NOLOCALATTN,MID_NOLOCALATTN,layout_variants,"[macro, mid_ffn, micro]",1,A09_H1_S1
0.082300,0.081000,P12_A08_H1_S1,"P12-08_MACRO_NOLOCALATTN | layout_variants | [macro_ffn, mid, micro]",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.161900,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a08_h1_s1_20260324_045513_765576_pid18645.json,2026-03-24T06:37:47.734681Z,P12,A,layout_composition,08,P12-08_MACRO_NOLOCALATTN,MACRO_NOLOCALATTN,layout_variants,"[macro_ffn, mid, micro]",1,A08_H1_S1
0.082300,0.080100,P12_A14_H1_S1,P12-14_BUNDLE_MIDMICRO_MEAN | bundle_pair_then_follow | bundle_mid_micro_mean -> macro,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.161500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a14_h1_s1_20260324_050209_167667_pid19023.json,2026-03-24T06:39:15.343272Z,P12,A,layout_composition,14,P12-14_BUNDLE_MIDMICRO_MEAN,BUNDLE_MIDMICRO_MEAN,bundle_pair_then_follow,bundle_mid_micro_mean -> macro,1,A14_H1_S1
0.082300,0.080200,P12_A11_H1_S1,P12-11_BUNDLE_MACROMID_MEAN | bundle_pair_then_follow | bundle_macro_mid_mean -> micro,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete,0.161300,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a11_h1_s1_20260324_044617_382710_pid18083.json,2026-03-24T06:47:31.387909Z,P12,A,layout_composition,11,P12-11_BUNDLE_MACROMID_MEAN,BUNDLE_MACROMID_MEAN,bundle_pair_then_follow,bundle_macro_mid_mean -> micro,1,A11_H1_S1
0.082300,0.080200,P12_A15_H1_S1,P12-15_BUNDLE_MIDMICRO_LEARNED | bundle_pair_then_follow | bundle_mid_micro_learned -> macro,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.161700,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a15_h1_s1_20260324_053002_827970_pid20021.json,2026-03-24T07:13:06.649077Z,P12,A,layout_composition,15,P12-15_BUNDLE_MIDMICRO_LEARNED,BUNDLE_MIDMICRO_LEARNED,bundle_pair_then_follow,bundle_mid_micro_learned -> macro,1,A15_H1_S1
0.082300,0.080800,P12_A18_H1_S1,P12-18_BUNDLE_MACROMICRO_LEARNED | bundle_pair_then_follow | bundle_macro_micro_learned -> mid,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete,0.161600,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a18_h1_s1_20260324_061801_231754_pid21847.json,2026-03-24T07:54:55.095556Z,P12,A,layout_composition,18,P12-18_BUNDLE_MACROMICRO_LEARNED,BUNDLE_MACROMICRO_LEARNED,bundle_pair_then_follow,bundle_macro_micro_learned -> mid,1,A18_H1_S1
0.082300,0.077300,P12_A21_H1_S1,P12-21_BUNDLE_ALL_LEARNED | bundle_all | bundle_macro_mid_micro_learned,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.159300,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a21_h1_s1_20260324_060921_310353_pid21491.json,2026-03-24T08:01:20.054087Z,P12,A,layout_composition,21,P12-21_BUNDLE_ALL_LEARNED,BUNDLE_ALL_LEARNED,bundle_all,bundle_macro_mid_micro_learned,1,A21_H1_S1
0.082300,0.077600,P12_A22_H1_S1,P12-22_BUNDLE_MACROMID_THEN_MIDMICRO_LEARNED | bundle_chain | bundle_macro_mid_learned -> bundle_mid_micro_learned,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.159500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a22_h1_s1_20260324_063922_558986_pid22928.json,2026-03-24T08:02:44.603188Z,P12,A,layout_composition,22,P12-22_BUNDLE_MACROMID_THEN_MIDMICRO_LEARNED,BUNDLE_MACROMID_THEN_MIDMICRO_LEARNED,bundle_chain,bundle_macro_mid_learned -> bundle_mid_micro_learned,1,A22_H1_S1
0.082300,0.080700,P12_A17_H1_S1,P12-17_BUNDLE_MACROMICRO_MEAN | bundle_pair_then_follow | bundle_macro_micro_mean -> mid,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,run_complete,0.161700,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a17_h1_s1_20260324_063657_352131_pid22665.json,2026-03-24T08:09:24.547089Z,P12,A,layout_composition,17,P12-17_BUNDLE_MACROMICRO_MEAN,BUNDLE_MACROMICRO_MEAN,bundle_pair_then_follow,bundle_macro_micro_mean -> mid,1,A17_H1_S1
0.082300,0.076600,P12_A19_H1_S1,P12-19_BUNDLE_ALL_SUM | bundle_all | bundle_macro_mid_micro_sum,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete,0.158900,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a19_h1_s1_20260324_064738_582539_pid23276.json,2026-03-24T08:11:28.148760Z,P12,A,layout_composition,19,P12-19_BUNDLE_ALL_SUM,BUNDLE_ALL_SUM,bundle_all,bundle_macro_mid_micro_sum,1,A19_H1_S1
0.082300,0.077200,P12_A20_H1_S1,P12-20_BUNDLE_ALL_MEAN | bundle_all | bundle_macro_mid_micro_mean,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.159200,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a20_h1_s1_20260324_063514_957634_pid22527.json,2026-03-24T08:13:40.776655Z,P12,A,layout_composition,20,P12-20_BUNDLE_ALL_MEAN,BUNDLE_ALL_MEAN,bundle_all,bundle_macro_mid_micro_mean,1,A20_H1_S1
0.082300,0.080300,P12_A16_H1_S1,P12-16_BUNDLE_MACROMICRO_SUM | bundle_pair_then_follow | bundle_macro_micro_sum -> mid,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.161500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a16_h1_s1_20260324_063755_054363_pid22782.json,2026-03-24T08:19:26.646665Z,P12,A,layout_composition,16,P12-16_BUNDLE_MACROMICRO_SUM,BUNDLE_MACROMICRO_SUM,bundle_pair_then_follow,bundle_macro_micro_sum -> mid,1,A16_H1_S1
0.082300,0.077500,P12_A23_H1_S1,P12-23_BUNDLE_MACROMICRO_THEN_MIDMICRO_LEARNED | bundle_chain | bundle_macro_micro_learned -> bundle_mid_micro_learned,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.159600,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a23_h1_s1_20260324_071313_828096_pid24328.json,2026-03-24T08:54:26.638563Z,P12,A,layout_composition,23,P12-23_BUNDLE_MACROMICRO_THEN_MIDMICRO_LEARNED,BUNDLE_MACROMICRO_THEN_MIDMICRO_LEARNED,bundle_chain,bundle_macro_micro_learned -> bundle_mid_micro_learned,1,A23_H1_S1
0.082300,0.077200,P12_A26_H1_S1,P12-26_BUNDLE_MACROMID_THEN_MIDMICRO_SUM | bundle_chain | bundle_macro_mid_sum -> bundle_mid_micro_sum,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete,0.157500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p12_a26_h1_s1_20260324_075502_347556_pid25802.json,2026-03-24T09:14:16.533802Z,P12,A,layout_composition,26,P12-26_BUNDLE_MACROMID_THEN_MIDMICRO_SUM,BUNDLE_MACROMID_THEN_MIDMICRO_SUM,bundle_chain,bundle_macro_mid_sum -> bundle_mid_micro_sum,1,A26_H1_S1
