stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
macro,macro@1,best_valid,session,final,final.expert,expert,12,FlatJointWrapper,,,,0.943178007570688,0.9916918724103785,0.0523717102709417,0.6946470515514896,0.9675253322818618,0.03301367118390875,11.900302468924542,0.09153036872952078,0.13134073441502989,2.3437093029461997
macro,macro@1,best_valid,session,final,final.group,group,4,FlatJointWrapper,,,,0.9708626362417091,0.9986927930274675,0.07304298320523772,0.0,0.9898327233969355,0.010219316395630793,3.99477117210987,0.03617800027132034,0.3047822374039283,1.3459013980438728
macro,macro@1,best_valid,session,final,final.intra.Exposure,intra,3,FlatJointWrapper,,,,0.8964801309902736,0.9856873019705854,0.18710503842869344,0.0,0.9789531912451813,0.021271450418821523,2.957061905911756,0.12050109742578574,0.45807002561912896,0.9848840884527114
macro,macro@1,best_valid,session,final,final.intra.Focus,intra,3,FlatJointWrapper,,,,0.9105246480324967,0.9973249363423661,0.05273270708795901,0.0,0.9756102784970465,0.02469207713104223,2.991974809027098,0.051789978838265575,0.36848847139197266,1.0003135674637063
macro,macro@1,best_valid,session,final,final.intra.Memory,intra,3,FlatJointWrapper,,,,0.9089700882009815,0.991105039831548,0.04927412467976094,0.0,0.9764917555869326,0.023788971520365684,2.973315119494644,0.0947353178341592,0.3661827497865073,0.9986057089293339
macro,macro@1,best_valid,session,final,final.intra.Tempo,intra,3,FlatJointWrapper,,,,0.9370485708026118,0.9993437070271954,0.07604611443210933,0.0,0.9809147961852106,0.019269677230384065,2.998031121081586,0.025625849310283385,0.38403074295473955,1.0294530749626387
